business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A.S. SECOND CHOICE - SECOND HAND AUTOMOBILE DEALER,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 93047 13430,N/A,4.5,16.0,"Dumuhi Chowk, Pirpainti Road, Godda, Amdiha, Jharkhand 814133",822117,24.8499627,87.2243678,ChIJW1jmUOSL8DkRws8EHfA2IOA,https://www.google.com/maps/place/?q=place_id:ChIJW1jmUOSL8DkRws8EHfA2IOA,part_383,2026-09-20 20:53:50
USHA HONDA,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 70704 69017,N/A,4.2,126.0,"QF2V+Q95, More, Karkat, Latehar, Jharkhand 829206",Karkat,23.7517832,84.4930394,ChIJZa1hhiRsizkRs1UhbdqAJlE,https://www.google.com/maps/place/?q=place_id:ChIJZa1hhiRsizkRs1UhbdqAJlE,part_383,2026-09-20 20:53:50
WHEELER DEALER (Main Branch),Two Wheeler Showroom and Dealer,Motor scooter dealer,Motor scooter dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 91177 55553,https://www.justdial.com/Ranchi/Wheeler-Dealer-Near-Daladili/0651PX651-X651-170109141542-B8D2_BZDET,4.5,189.0,"Daladili chowk, Simaliya, Ranchi Ring Rd, Ranchi, Jharkhand 835222",822117,23.3736165,85.23252049999999,ChIJL_bSMdjf9DkR67Ha88j91k0,https://www.google.com/maps/place/?q=place_id:ChIJL_bSMdjf9DkR67Ha88j91k0,part_383,2026-09-20 20:53:50
Ranchi Motors,Two Wheeler Showroom and Dealer,Used motorcycle dealer,Used motorcycle dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 96931 25637,https://ranchimotors.com/,3.8,94.0,"B/123, Purulia Rd, Kantatoli, Kathartoli, Ranchi, Jharkhand 834010","Kantatoli, Kathartoli",23.362821999999998,85.3500866,ChIJafsSAODh9DkR-ern6PPwaic,https://www.google.com/maps/place/?q=place_id:ChIJafsSAODh9DkR-ern6PPwaic,part_383,2026-09-20 20:53:50
Jaypee enterprises,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 87774 35030,N/A,4.3,23.0,"Court Road, Chaibasa, Jharkhand 833201",822117,22.550503799999998,85.80755339999999,ChIJb6C7f1knHjoRupPFCQdwPpM,https://www.google.com/maps/place/?q=place_id:ChIJb6C7f1knHjoRupPFCQdwPpM,part_383,2026-09-20 20:53:50
Sangeeta Automobiles - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 94311 61283,https://dealers.heromotocorp.com/locator/gumla/Sisai/sangeeta-automobiles-hero-motocorp-in-Sisai-gumla--4MUzac/home,4.7,32.0,"SVI BuildingGround floor, Main Rd, Sisai, Jharkhand 835224",822117,23.1678879,84.76181179999999,ChIJxciqk3HaijkREfJ5c5pdPp8,https://www.google.com/maps/place/?q=place_id:ChIJxciqk3HaijkREfJ5c5pdPp8,part_383,2026-09-20 20:53:50
JPS BAJAJ,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 90601 37510,https://www.bajajauto.com/,3.8,169.0,"ROAD, South Redma, Ranchi, Rerma, Jharkhand 822102",South Redma,24.031439199999998,84.0857942,ChIJe4ReXlB3jDkRDF6T14g9f4w,https://www.google.com/maps/place/?q=place_id:ChIJe4ReXlB3jDkRDF6T14g9f4w,part_383,2026-09-20 20:53:50
Premsons Honda chandwa,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Auto parts store, Honda dealer",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 90655 27793,http://www.premsonshonda.com/,4.9,367.0,"MP9P+GWM, Indra Gandhi chowk, Chandwa, Jharkhand 829203",822117,23.668798499999998,84.73729089999999,ChIJxVWOWXk4izkRETVmLKejIYI,https://www.google.com/maps/place/?q=place_id:ChIJxVWOWXk4izkRETVmLKejIYI,part_383,2026-09-20 20:53:50
ROYAL AUTOMOBILE,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 88251 01145,N/A,5.0,4.0,"Mako More, Latehar, Jharkhand 829206",822117,23.7504258,84.493956,ChIJu-pTzT1tizkRWFMW4Lr_NPA,https://www.google.com/maps/place/?q=place_id:ChIJu-pTzT1tizkRWFMW4Lr_NPA,part_383,2026-09-20 20:53:50
Maa Kamakhya Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 97980 82497,N/A,4.8,381.0,"Main Rd, near Asvath Kunj, Ghatshila, Jharkhand 832303",822117,22.5823233,86.4806007,ChIJ7zp9nU8d9jkRXZ9vOmAm1cM,https://www.google.com/maps/place/?q=place_id:ChIJ7zp9nU8d9jkRXZ9vOmAm1cM,part_383,2026-09-20 20:53:50
Shah Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 97713 45007,N/A,4.5,22.0,"Ward No. 3, Chakradharpur, Jharkhand 833102",Ward No. 3,22.680996999999998,85.6127194,ChIJtwjzYW2C9TkR5G5JOtISgF8,https://www.google.com/maps/place/?q=place_id:ChIJtwjzYW2C9TkR5G5JOtISgF8,part_383,2026-09-20 20:53:50
SS POWERBIKES - Yamaha Showroom,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 70917 77030,http://sspowerbikes.com/?utm_source=gmb&utm_medium=referral,4.8,824.0,"Ratu Rd, opp. Krishi Bazar Samiti, Panchsheel Colony, Pandra, Ranchi, Jharkhand 834005",Panchsheel Colony,23.3886751,85.2792066,ChIJVcD37qDh9DkR7HcS6BKYJTg,https://www.google.com/maps/place/?q=place_id:ChIJVcD37qDh9DkR7HcS6BKYJTg,part_383,2026-09-20 20:53:50
SHYAMA TVS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 70913 08401,https://dealers.tvsmotor.com/tvs-motors/tvs-shyama-automobiles-two-wheeler-dealer-kandi-palamau-199030/Home,3.0,3.0,"Kandi, Jharkhand 822120",822117,24.4774329,83.76364749999999,ChIJu4LcrmY9jDkRH05oNFKJQ1Y,https://www.google.com/maps/place/?q=place_id:ChIJu4LcrmY9jDkRH05oNFKJQ1Y,part_383,2026-09-20 20:53:51
Gupta Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 92790 80230,https://www.honda2wheelersindia.com/,4.6,17.0,"Hat bazar road, Jaintgarh-Noamundi Rd, Jaintgarh, Jharkhand 833214",822117,22.0735499,85.6720746,ChIJCUfJB_VNHjoRQ7nx2CxybFs,https://www.google.com/maps/place/?q=place_id:ChIJCUfJB_VNHjoRQ7nx2CxybFs,part_383,2026-09-20 20:53:51
CN Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Honda dealer, Motor scooter dealer, Two Wheeler Repair Shop",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 92340 02350,https://cnhondaranchi.com/,4.1,1519.0,"no.1, DEO DAMODAR PALACE, 194/A, Bariatu Rd, opp. AROGYA BHAWAN, Ranchi, Jharkhand 834009",Sarhul Nagar,23.3894916,85.3421513,ChIJ09AHRkPh9DkRj-y6rPr8HFo,https://www.google.com/maps/place/?q=place_id:ChIJ09AHRkPh9DkRj-y6rPr8HFo,part_383,2026-09-20 20:53:51
Sah Motors Best showroom in godda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 88771 32660,http://www.yamaha-motor-india.com/,4.6,,"Jharkhand State Highway 16, Godda, Jharkhand 814133",822117,24.8373481,87.2145367,ChIJvUffQ-f18DkRXaFvzdtKnRg,https://www.google.com/maps/place/?q=place_id:ChIJvUffQ-f18DkRXaFvzdtKnRg,part_383,2026-09-20 20:53:52
Venus Motors - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Two Wheeler Repair Shop",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 78087 72288,https://www.venusmotors.in/,4.6,,"Ward No.6, Main Road, Chakradharpur, Jharkhand 833102",822117,22.677245499999998,85.6171253,ChIJh3cZQhOC9TkRwuN_euucYdA,https://www.google.com/maps/place/?q=place_id:ChIJh3cZQhOC9TkRwuN_euucYdA,part_383,2026-09-20 20:53:52
