business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hyd Drone Videography & Editing Services,Videographer and Drone Rental,Aerial photographer,"Aerial photographer, Service establishment",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 87507 31082,https://reydaar.com/video-production/,,,"Hyd Drone Videography & Editing Services, 822117, India",822117,21.0680074,82.7525294,ChIJg4Hs9eXA-koRVP7M_75oWzY,https://www.google.com/maps/place/?q=place_id:ChIJg4Hs9eXA-koRVP7M_75oWzY,part_383,2026-09-20 20:54:00
Amar's Drone Videography,Videographer and Drone Rental,Aerial photographer,"Aerial photographer, Video production service",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 97311 79546,http://www.placesandspaces.in/,4.9,34.0,"737,37th A cross, 16th Main Rd, Bengaluru, Karnataka 560041","4th T Block East, Pattabhirama Nagar, Jayanagar",12.9219644,77.5888734,ChIJwcCtwb8VrjsRSZkjwLuH6nI,https://www.google.com/maps/place/?q=place_id:ChIJwcCtwb8VrjsRSZkjwLuH6nI,part_383,2026-09-20 20:54:00
Lovehurt Studio,Videographer and Drone Rental,Photography studio,"Photography studio, Wedding photographer",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 82923 31113,N/A,4.8,26.0,"Lambodra Hi Street infront of Govinda sweets Saraidhela, Steel Gate, Dhanbad, Jharkhand 826007","Steel Gate, Lohar Kulli",23.8153126,86.45576679999999,ChIJFTk1PQW99jkRzFACwSGpsEU,https://www.google.com/maps/place/?q=place_id:ChIJFTk1PQW99jkRzFACwSGpsEU,part_383,2026-09-20 20:54:01
DRONE ON RENT MIDNAPORE,Videographer and Drone Rental,Drone shop,Drone shop,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,N/A,N/A,4.0,24.0,"near khan hardware, Sepoi bazar, bara astana, Midnapore, West Bengal 721101","Sepoi bazar, bara astana",22.433174299999997,87.32457099999999,ChIJyye94DRbHToRNY7ctZf10KM,https://www.google.com/maps/place/?q=place_id:ChIJyye94DRbHToRNY7ctZf10KM,part_383,2026-09-20 20:54:01
Drone Photography and video services,Videographer and Drone Rental,Video production service,Video production service,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,N/A,N/A,,,"7GX7+W2W, Paratwada, Civil Lines, Achalpur, Maharashtra 444805","Paratwada, Civil Lines",21.2998694,77.51258969999999,ChIJmaGPip711jsRpm_cH8t3tzc,https://www.google.com/maps/place/?q=place_id:ChIJmaGPip711jsRpm_cH8t3tzc,part_383,2026-09-20 20:54:01
A2Z Camera Rentals,Videographer and Drone Rental,Camera store,Camera store,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 97039 40606,http://www.a2zcamerarentals.com/,5.0,622.0,"flat no :102, Ala Enclave, House no :8-2-293/k/10, Srinagar Colony, Kamalapuri Colony, Hyderabad, Telangana 500034","Srinagar Colony, Sri Nagar Colony, Kamalapuri Colony, Jubilee Hills",17.4286913,78.4268902,ChIJ5R3SJNWRyzsRquDsFOXRBLo,https://www.google.com/maps/place/?q=place_id:ChIJ5R3SJNWRyzsRquDsFOXRBLo,part_383,2026-09-20 20:54:02
Drone4Rent | Drone photography in Hyderabad,Videographer and Drone Rental,Equipment rental agency,Equipment rental agency,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 72720 71713,https://drone4rents.in/,4.5,12.0,"Mirras appartment, Neelima Greens Main Rd, Pragathi Enclave, Miyapur, Hyderabad, Telangana 500049",Pragathi Enclave,17.503261,78.3555109,ChIJj863A26SyzsR-VLjFowy9Z8,https://www.google.com/maps/place/?q=place_id:ChIJj863A26SyzsR-VLjFowy9Z8,part_383,2026-09-20 20:54:02
ACCORD EQUIPS Camera Rentals & Video Production,Videographer and Drone Rental,Video production service,"Video production service, Model portfolio studio, Photographer, Photography service, Photography studio, Camera store",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 80808 05915,https://accordequips.com/,4.7,817.0,"A9, Agarwal Indl Estate, Gr. floor Captain Sawant Marg 139G, 102, Swami Vivekanand Rd, Jogeshwari West, Mumbai, Maharashtra 400102","Shastri Nagar, Jogeshwari West",19.138741,72.8426897,ChIJ___zOKfJ5zsRjppx_TSHMkY,https://www.google.com/maps/place/?q=place_id:ChIJ___zOKfJ5zsRjppx_TSHMkY,part_383,2026-09-20 20:54:02
Hyderabad Camera Rentals - Camera Rentals in Hyderabad,Videographer and Drone Rental,Photography service,"Photography service, Appliance Rental Agency, Cinema equipment supplier, Equipment rental agency, Movie rental store, Movie studio, Moving supply store, Photo shop, Photographer, Camera store",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 74162 52999,https://www.hyderabadcamerarentals.com/,4.8,842.0,"2nd Floor, Sriman Chambers, Phase 3, Kamalapuri Colony, Jubilee Hills, Hyderabad, Telangana 500045","Phase 3, Kamalapuri Colony, Jubilee Hills",17.4295567,78.4280347,ChIJg3f8JyyRyzsRXH1lKu0w-vI,https://www.google.com/maps/place/?q=place_id:ChIJg3f8JyyRyzsRXH1lKu0w-vI,part_383,2026-09-20 20:54:02
DRONE PILOT VIDEO & CINEMATIC,Videographer and Drone Rental,Photography studio,"Photography studio, Aerial photographer, Drone service",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 79994 70434,N/A,5.0,3.0,"At post, near by Ek Danta School, Chapora, Madhya Pradesh 450445",822117,21.199773999999998,76.1847141,ChIJa7St2rDN2TsRALE8eZ0SroY,https://www.google.com/maps/place/?q=place_id:ChIJa7St2rDN2TsRALE8eZ0SroY,part_383,2026-09-20 20:54:02
VCAMS Camera Rentals In Bangalore,Videographer and Drone Rental,Equipment rental agency,"Equipment rental agency, Camera store, Cinema equipment supplier, Movie rental store, Movie studio, Photography studio",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 99019 99694,http://vcams.in/,4.5,280.0,"No.3, 2nd cross Rd, 2nd main Rd, Kanakapura Main Rd, J P Nagar, Vivekananda Colony, 1st Phase, Bengaluru, Karnataka 560111","J P Nagar, Vivekananda Colony, 1st Phase, Banashankari",12.9121644,77.57238629999999,ChIJgXTnnzkVrjsRGJVq-nmC3tE,https://www.google.com/maps/place/?q=place_id:ChIJgXTnnzkVrjsRGJVq-nmC3tE,part_383,2026-09-20 20:54:02
WeAero - Drone Operator / FPV Pilot,Videographer and Drone Rental,Aerial photographer,"Aerial photographer, Service establishment",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 70206 75987,http://www.weaero.in/,5.0,49.0,"WeAero - Drone Operator / FPV Pilot, 822117, India",822117,21.0680074,82.7525294,ChIJuaXIdOzAvzsR_GJxBXcLy9U,https://www.google.com/maps/place/?q=place_id:ChIJuaXIdOzAvzsR_GJxBXcLy9U,part_383,2026-09-20 20:54:02
Video Sreedhar Camera Rental Store,Videographer and Drone Rental,Photography service,Photography service,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 94973 77433,https://www.videosreedhar.in/,4.7,122.0,"PRS Rd, Housing Board, Thycaud, Thiruvananthapuram, Keralam 695014","Housing Board, Thycaud",8.4938063,76.9564082,ChIJFxFctci7BTsRShZd7mUq8TU,https://www.google.com/maps/place/?q=place_id:ChIJFxFctci7BTsRShZd7mUq8TU,part_383,2026-09-20 20:54:02
Pixception Camera Rental Company,Videographer and Drone Rental,Equipment rental agency,Equipment rental agency,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 98456 45400,http://www.pixception.com/,4.8,149.0,"227 1st floor, 37th Cross Road, 16th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041","4th T Block East, Pattabhirama Nagar, Jayanagar",12.9224964,77.58657339999999,ChIJBcKYiaAVrjsR1UvAahX4yPk,https://www.google.com/maps/place/?q=place_id:ChIJBcKYiaAVrjsR1UvAahX4yPk,part_383,2026-09-20 20:54:02
Gadget Rental India,Videographer and Drone Rental,Business center,"Business center, Movie rental store",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 99156 36434,https://gadgetrentalindia.com/,4.9,233.0,"Plot No. A-28 (J, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055","Phase 7, Industrial Area, Sector 73",30.714691,76.7039442,ChIJRb_Z5S7vDzkRX1PTR8L6738,https://www.google.com/maps/place/?q=place_id:ChIJRb_Z5S7vDzkRX1PTR8L6738,part_383,2026-09-20 20:54:02
Drony Aerials - Aerial Videography Solutions,Videographer and Drone Rental,Aerial photographer,"Aerial photographer, Camera repair shop, Drone shop, Service establishment",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 91108 72614,https://dronyaerials.com/,5.0,13.0,"Drony Aerials - Aerial Videography Solutions, 822117, India",822117,21.0680074,82.7525294,ChIJjSmEIbtbozsRvYGcCSDoCbg,https://www.google.com/maps/place/?q=place_id:ChIJjSmEIbtbozsRvYGcCSDoCbg,part_383,2026-09-20 20:54:02
