business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Webude Digitals : Website Development, Branding & Digital Advertising Agency",Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Graphic designer, Marketing consultant, Web hosting company, Website designer",822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 75207 84102,https://webude.com/,5.0,,"Webude Digitals : Website Development, Branding & Digital Advertising Agency, 822118, India",822118,21.0680074,82.7525294,ChIJM1Q-5rtDEgIRk1KTtfr2bKY,https://www.google.com/maps/place/?q=place_id:ChIJM1Q-5rtDEgIRk1KTtfr2bKY,part_383,2026-09-20 20:54:54
Move to Digital,Digital Marketing Agencies,Website designer,"Website designer, Service establishment",822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 89048 07700,https://www.movetodigital.in/,,,"Move to Digital, 822118, India",822118,23.597282,84.15203319999999,ChIJq2Mi6exy2GMROgH8vdN-fU0,https://www.google.com/maps/place/?q=place_id:ChIJq2Mi6exy2GMROgH8vdN-fU0,part_383,2026-09-20 20:54:54
MB Digital Services,Digital Marketing Agencies,Marketing agency,"Marketing agency, Photography service",822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",N/A,https://mbdigitalservices.blogspot.com/,,,"Shop no 34, Sadik chowk, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0363467,84.0665776,ChIJSa11NaN3jDkRJk1jwsqyBNU,https://www.google.com/maps/place/?q=place_id:ChIJSa11NaN3jDkRJk1jwsqyBNU,part_383,2026-09-20 20:54:54
Stusmm,Digital Marketing Agencies,Internet marketing service,Internet marketing service,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 84343 90536,https://www.stusmm.shop/,,,"Medininagar, Shahpur, Jharkhand 822110",822118,24.025996199999998,84.0563962,ChIJ3UTdj0qJizkRfeubrVtiffs,https://www.google.com/maps/place/?q=place_id:ChIJ3UTdj0qJizkRfeubrVtiffs,part_383,2026-09-20 20:54:54
PALAMU.COM,Digital Marketing Agencies,Marketing agency,Marketing agency,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 93349 64086,https://palamu.com/,,,"PETROL PUMP JANAKPURI, IN FRONT OF, PANKI ROAD, North Redma, Medininagar, Jharkhand 822102",North Redma,24.039405199999997,84.08108949999999,ChIJ_dEXYk93jDkRrxT6g6kK9Os,https://www.google.com/maps/place/?q=place_id:ChIJ_dEXYk93jDkRrxT6g6kK9Os,part_383,2026-09-20 20:54:54
WebClause,Digital Marketing Agencies,Website designer,Website designer,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 70615 71706,https://webclause.com/,5.0,,"Chainpur, Hansa, Jharkhand 822110",822118,24.0143482,84.0425528,ChIJA-NKJBCJizkRT5ccTuaWSLc,https://www.google.com/maps/place/?q=place_id:ChIJA-NKJBCJizkRT5ccTuaWSLc,part_383,2026-09-20 20:54:54
Digital marketer raj,Digital Marketing Agencies,E - Commerce Agency,"E - Commerce Agency, Service establishment",822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",N/A,http://www.instagram.com/digitalmarketerraj,,,"Digital marketer raj, 822118, India",822118,24.0465305,84.074884,ChIJI1LOD2HXJ64RROzwuF8HFpM,https://www.google.com/maps/place/?q=place_id:ChIJI1LOD2HXJ64RROzwuF8HFpM,part_383,2026-09-20 20:54:54
Mazda Creation,Digital Marketing Agencies,Public relations firm,Public relations firm,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 88770 51212,https://mazdacreation.in/,4.2,,"Hamidiya School Kund Muhalla, Near, Medininagar, Jharkhand 822101",Daltenganj,24.0452112,84.057233,ChIJicCBbDN2jDkRQyucmowXuCw,https://www.google.com/maps/place/?q=place_id:ChIJicCBbDN2jDkRQyucmowXuCw,part_383,2026-09-20 20:54:54
CYBER WORLD,Digital Marketing Agencies,Internet marketing service,Internet marketing service,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",N/A,N/A,4.0,,"Mahendra Arcade Rd, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0382571,84.0621572,ChIJ-TsPPfd3jDkRNiQAChf8120,https://www.google.com/maps/place/?q=place_id:ChIJ-TsPPfd3jDkRNiQAChf8120,part_383,2026-09-20 20:54:55
Sorav Jain,Digital Marketing Agencies,Internet marketing service,Internet marketing service,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 91764 02555,https://soravjain.com/,4.7,,"1A, Sapna Trade Centre, 135, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600008",Purasaiwakkam,13.0785851,80.25346379999999,ChIJg-q25gpmUjoRuPRB0fY3M7U,https://www.google.com/maps/place/?q=place_id:ChIJg-q25gpmUjoRuPRB0fY3M7U,part_383,2026-09-20 20:54:55
JD Advertising Agency,Digital Marketing Agencies,Advertising agency,Advertising agency,822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 82954 75617,https://www.jdadvertising.in/,4.9,,"Shiv Rasgulla Bhandar, Sec-5, near Ganpat Nagar, Rewari, Haryana 123401","Vikash Nagar, Sector 5",28.1959791,76.62515239999999,ChIJfXGp3upRDTkRRlYNjJsAqY0,https://www.google.com/maps/place/?q=place_id:ChIJfXGp3upRDTkRRlYNjJsAqY0,part_383,2026-09-20 20:54:55
echoVME Digital,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant",822118,Jharkhand Circle,Ranchi Region,Palamau Division,"Lesliganj SO, Ashehar BO, Bansdih BO",+91 91764 02555,https://echovme.in/,4.0,,"1st Floor, Sapna Trade Centre, 135, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",Purasaiwakkam,13.0786742,80.25367899999999,ChIJG1_K_GhmUjoRI6CE708WASE,https://www.google.com/maps/place/?q=place_id:ChIJG1_K_GhmUjoRI6CE708WASE,part_383,2026-09-20 20:54:55
