business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A To Z Comuter & Stationery,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",N/A,N/A,,,"8RGC+Q3M, Majhiaon Rd, Manjhiaon, Majhiaon Kalan, Jharkhand 822134",822120,24.326958899999997,83.8201802,ChIJJR3CBcIWjDkR4oe_hnIcf8A,https://www.google.com/maps/place/?q=place_id:ChIJJR3CBcIWjDkR4oe_hnIcf8A,part_383,2026-09-20 20:56:06
New book centre,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",N/A,N/A,3.6,13.0,"23R6+2GV, Engineering Rd, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0401021,84.0612275,ChIJO6YxqbB3jDkRynvX5f6RkfA,https://www.google.com/maps/place/?q=place_id:ChIJO6YxqbB3jDkRynvX5f6RkfA,part_383,2026-09-20 20:56:06
Isha Stationary,Bookstore and Stationery Shop,Stationery store,Stationery store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",+91 97081 61578,N/A,4.0,1.0,"Rehla, Station Road, Rehla, Jharkhand 822124",822120,24.2183456,83.88610039999999,ChIJ5xhfsfgTjDkRhXKll6W2aV4,https://www.google.com/maps/place/?q=place_id:ChIJ5xhfsfgTjDkRhXKll6W2aV4,part_383,2026-09-20 20:56:06
Ganga Press & Stationery,Bookstore and Stationery Shop,Print shop,Print shop,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",+91 77638 22767,N/A,5.0,4.0,"23Q6+F4M, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0387229,84.0603175,ChIJe_RkewB3jDkRe0m9GblUpyw,https://www.google.com/maps/place/?q=place_id:ChIJe_RkewB3jDkRe0m9GblUpyw,part_383,2026-09-20 20:56:06
Shiv Sagar Pustak Bhandar,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",+91 98529 09701,http://www.shivsagar.in/,3.5,16.0,"Suraj Complex Near Memorial Road Belwatikatt Chowk Suraj Complex Near Memorial Road, Chowk, Belwatika, Jharkhand 822101",Belwatika,24.0314478,84.0721667,ChIJxVJVOXN3jDkRNi453Nml6B8,https://www.google.com/maps/place/?q=place_id:ChIJxVJVOXN3jDkRNi453Nml6B8,part_383,2026-09-20 20:56:06
New pustk sadan rehla,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",+91 91100 95585,N/A,4.1,12.0,"Unnamed Road, Garhwa Road, Jharkhand 822124",822120,24.2160376,83.88261469999999,ChIJm9BAQHkSjDkRMiNyvyeFAPI,https://www.google.com/maps/place/?q=place_id:ChIJm9BAQHkSjDkRMiNyvyeFAPI,part_383,2026-09-20 20:56:06
Novelty Book Store,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",+91 94311 93051,N/A,3.7,23.0,"Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0400451,84.06286829999999,ChIJVbJubtJ3jDkRwSwxmT9ucD0,https://www.google.com/maps/place/?q=place_id:ChIJVbJubtJ3jDkRwSwxmT9ucD0,part_383,2026-09-20 20:56:06
Rehla,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",N/A,N/A,4.8,5.0,"6VCQ+69G, Bisrampur Pandu Road., Ketat Kalan, Ramjani Bigha, Jharkhand 822124",822120,24.2205573,83.8884587,ChIJDW4uIlYTjDkRQLhMVJw_o-0,https://www.google.com/maps/place/?q=place_id:ChIJDW4uIlYTjDkRQLhMVJw_o-0,part_383,2026-09-20 20:56:06
Radhe stationery,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",N/A,N/A,,,"8XF6+MFG, Pandu, Jharkhand 822132",822120,24.3241811,83.96119639999999,ChIJ8eM9UgBrjDkRvuWCoQqsNQQ,https://www.google.com/maps/place/?q=place_id:ChIJ8eM9UgBrjDkRvuWCoQqsNQQ,part_383,2026-09-20 20:56:06
Radhe stationery,Bookstore and Stationery Shop,Book store,Book store,822120,Jharkhand Circle,Ranchi Region,Palamau Division,"Mohammad Ganj SO, Belhath BO, Goradih BO",+91 99551 59974,N/A,,,"Main road, Pandu, Jharkhand 822132",822120,24.3241811,83.96119639999999,ChIJ0U9QMq5rjDkRCoYpw9b2P5I,https://www.google.com/maps/place/?q=place_id:ChIJ0U9QMq5rjDkRCoYpw9b2P5I,part_383,2026-09-20 20:56:06
