business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hiro Fashion Shop,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 91426 24662,N/A,,,"Shri Banshidhar Nagar, Jharkhand 822121",822121,24.283264499999998,83.4939601,ChIJKWRMZLmljjkR0MqfN-pj4ro,https://www.google.com/maps/place/?q=place_id:ChIJKWRMZLmljjkR0MqfN-pj4ro,part_383,2026-09-20 20:56:27
Radhe Samosa Dukan,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 92340 02599,N/A,5.0,1.0,"Future Vision Acamdy, Bansidhar Rd, Shri Banshidhar Nagar, Chekharia, Jharkhand 822121",822121,24.2814248,83.4938682,ChIJD8DD9hqljjkRs-dFxi_zBfw,https://www.google.com/maps/place/?q=place_id:ChIJD8DD9hqljjkRs-dFxi_zBfw,part_383,2026-09-20 20:56:27
Raaz Gharana Fashion Shop,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 96614 36031,N/A,,,"Ramna, Baghaundha alias Ramna, Jharkhand 822128",822121,24.2318543,83.6015611,ChIJc3zrThodjDkRd1iSAOLep1c,https://www.google.com/maps/place/?q=place_id:ChIJc3zrThodjDkRd1iSAOLep1c,part_383,2026-09-20 20:56:27
Sahjadi Vstralay,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 73525 41853,N/A,3.0,2.0,"Gali Mein, Ps Nagar Untari, near Jorhi Mahua, Po, Vill, Koindi, Bhojpur, Jharkhand 822121","Po, Vill",24.2887003,83.5660929,ChIJsyi5THSnjjkRoeYzExwbJw0,https://www.google.com/maps/place/?q=place_id:ChIJsyi5THSnjjkRoeYzExwbJw0,part_383,2026-09-20 20:56:27
Boy Zone,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 70611 20918,N/A,5.0,1.0,"Bishunpura, Jharkhand 822128",822121,24.2948956,83.6559544,ChIJeeOYe08djDkR8g9Z_17kKUY,https://www.google.com/maps/place/?q=place_id:ChIJeeOYe08djDkR8g9Z_17kKUY,part_383,2026-09-20 20:56:27
Sarfraj Fashion Vastralay,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 70246 44275,N/A,,,"PS Dhurki, Sagma PO, Dist, near Primary School, Jharkhand 822121",822121,24.2249421,83.45844679999999,ChIJURhZVJmljjkR5hOvS8AlVcM,https://www.google.com/maps/place/?q=place_id:ChIJURhZVJmljjkR5hOvS8AlVcM,part_383,2026-09-20 20:56:27
Aarif,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",N/A,N/A,2.5,2.0,"Dhurki Nagar, Khala, Jharkhand 822121",Dhurki Nagar,24.115662,83.42699999999999,ChIJ2RB8eyRXJToR31htpGtx0to,https://www.google.com/maps/place/?q=place_id:ChIJ2RB8eyRXJToR31htpGtx0to,part_383,2026-09-20 20:56:27
Gupta Khaini Dukan,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 90065 93944,N/A,,,"Sabji Bajar, Shri Banshidhar Nagar, Jharkhand 822121",822121,24.281740799999998,83.495933,ChIJQ0NJnESljjkR5pZ6y9szTvU,https://www.google.com/maps/place/?q=place_id:ChIJQ0NJnESljjkR5pZ6y9szTvU,part_383,2026-09-20 20:56:27
Satyendra Kumar,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 70041 89703,N/A,,,"Satyendra, Marchwar Rd, Marchwar, Shri Banshidhar Nagar, Jharkhand 822121",822121,24.2813156,83.5026954,ChIJ1Yb4VsWljjkRgWKrpgfPNEM,https://www.google.com/maps/place/?q=place_id:ChIJ1Yb4VsWljjkRgWKrpgfPNEM,part_383,2026-09-20 20:56:27
Bittu Raja Singer Store,Kids Wear Store,Baby store,Baby store,822121,Jharkhand Circle,Ranchi Region,Palamau Division,"Nagar Utari SO, Adhaura BO, Amba Khorya  BO",+91 74886 39035,N/A,,,"Sabji Bajar, Shri Banshidhar Nagar, Jharkhand 822121",822121,24.2833582,83.4955331,ChIJ0WigTDaljjkRq9fngVXW5lU,https://www.google.com/maps/place/?q=place_id:ChIJ0WigTDaljjkRq9fngVXW5lU,part_383,2026-09-20 20:56:27
