business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Iron Fitness Gym,Gym and Fitness Center,Gym,Gym,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",N/A,N/A,4.6,33.0,"bajrangbali more Katari, Katari hill, near khankah, Islamganj Main Rd, Katari, Aliganj, Gaya, Bihar 823001","Katari, Aliganj",24.794545499999998,84.9693229,ChIJQww9yTwr8zkROT-eDrsQnRo,https://www.google.com/maps/place/?q=place_id:ChIJQww9yTwr8zkROT-eDrsQnRo,part_383,2026-09-20 21:08:46
THE MAHAVEER GYM,Gym and Fitness Center,Gym,Gym,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 88099 66333,N/A,4.9,69.0,"Janardhan Prasad Singh complex, Siddharthpuri Colony Road No. 1, Manpur, Gaya, Bihar 823003",823002,24.793978499999998,85.022716,ChIJO1o4QQAr8zkRwHgv1LVzHDQ,https://www.google.com/maps/place/?q=place_id:ChIJO1o4QQAr8zkRwHgv1LVzHDQ,part_383,2026-09-20 21:08:46
ironstone fitness studio,Gym and Fitness Center,Fitness center,Fitness center,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 70047 60197,N/A,4.8,,"ward no 27, bandar bagicha, Maharani chowk, Bazar Samiti, Fatwah, Ranipur, Bihar 803201",Bazar Samiti,25.5011668,85.297292,ChIJ1ZC5hm2f8jkRtHyo8PmpgJI,https://www.google.com/maps/place/?q=place_id:ChIJ1ZC5hm2f8jkRtHyo8PmpgJI,part_383,2026-09-20 21:08:47
The Wellness Club Gym Xpress,Gym and Fitness Center,Gym,"Gym, Aerobics Class, Fitness center, Gymnastics club, Physical fitness program, Sauna, Weightlifting area",823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 86788 10188,https://wellnessclub.co.in/,4.8,,"RK Palace, mathiapur more, Ram Krishna Puram Rd, near meridian school, Saguna More, rk puram, Danapur, Bihar 801503","Saguna More, Balaji Nagar, rk puram",25.617018899999998,85.03267919999999,ChIJAST10ZtX7TkRAFcJkG7rptg,https://www.google.com/maps/place/?q=place_id:ChIJAST10ZtX7TkRAFcJkG7rptg,part_383,2026-09-20 21:08:47
Aghori vamachara gym,Gym and Fitness Center,Gym,Gym,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 87892 05796,https://www.aghorivamacharagym.in/,5.0,,"2nd Floor, 923M+VG, Gandhi Maidan Path, Rahmat Ganj, Masaurhi, Bihar 804452",Rahmat Ganj,25.354594499999997,85.0338371,ChIJf176HACx8jkRYJJ990WWNFg,https://www.google.com/maps/place/?q=place_id:ChIJf176HACx8jkRYJJ990WWNFg,part_383,2026-09-20 21:08:47
Muscle's Beach Gym,Gym and Fitness Center,Gym,Gym,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 95047 99710,N/A,5.0,,"06, Purvi Tej Pratap Nagar Path, Vrindavan Colony, Beur, Patna, Bihar 800032","Vrindavan Colony, Beur",25.578925299999998,85.1120938,ChIJH37XHcCn8jkRes5n2AxQnRE,https://www.google.com/maps/place/?q=place_id:ChIJH37XHcCn8jkRes5n2AxQnRE,part_383,2026-09-20 21:08:47
FITMAXX FITNESS CENTRE,Gym and Fitness Center,Gym,Gym,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 73986 45050,N/A,4.9,,"Medical College PGI, Saddar Pur, Mamrejpur, Uttar Pradesh 224227",823002,26.5115737,82.61266479999999,ChIJNYwkglXrkDkRxKLGcADwbTs,https://www.google.com/maps/place/?q=place_id:ChIJNYwkglXrkDkRxKLGcADwbTs,part_383,2026-09-20 21:08:47
ULTIMATE POWER GYM,Gym and Fitness Center,Fitness center,Fitness center,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 90317 11500,N/A,4.9,,"ward no-10, R S market, Old Bypass Rd, Naya Tola Madhopur, Bakhtiarpur, Satbhaiya Ram Nagar, Bihar 803212",Naya Tola Madhopur,25.460921,85.5378648,ChIJvV0UwdCH8jkRiWW0po7n8bI,https://www.google.com/maps/place/?q=place_id:ChIJvV0UwdCH8jkRiWW0po7n8bI,part_383,2026-09-20 21:08:47
A K Fitness Club,Gym and Fitness Center,Gym,Gym,823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 82712 34543,N/A,5.0,,"New purandarpur Dupulwa, H4RJ+G9C, near Durga Mandir, Dopulwa, Purandarpur, Jakkanpur, Gardanibagh, Patna, Bihar 800001","Dopulwa, Purandarpur, Jakkanpur, Gardanibagh",25.5913084,85.13091659999999,ChIJXXNCPABZ7TkRrd33PytmHBA,https://www.google.com/maps/place/?q=place_id:ChIJXXNCPABZ7TkRrd33PytmHBA,part_383,2026-09-20 21:08:47
Hulk Fitness Gym,Gym and Fitness Center,Gym,"Gym, Fitness center, Health counselor",823002,Bihar Circle,Patna HQ Region,Gaya Division,"Gaya RS SO, Churi BO, Kesru Dharampur BO",+91 79032 08915,https://hulkfitnesspatna.com/,4.9,,"Mithilesh Market, near Ramvilas Chowk, Indra Nagar, Mithapur, Patna, Bihar 800001","Indra Nagar, Mithapur",25.590091599999997,85.14011359999999,ChIJK14fL1NZ7TkR6veq4owIU2I,https://www.google.com/maps/place/?q=place_id:ChIJK14fL1NZ7TkR6veq4owIU2I,part_383,2026-09-20 21:08:47
