business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAN Physiotherapy center - सन आयुर्वेद फिजियोथैरेपी सेंटर,Therapy Center,Physiotherapy Center,Physiotherapy Center,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",+91 95072 94381,N/A,5.0,2.0,"Shree Krishna Babu chawk, road, Wazirganj - Fatehpur Rd, Pura, Wazirganj, Bihar 805131",823311,24.8060701,85.243157,ChIJZTunQAAh8zkRHyg6qp_jr4s,https://www.google.com/maps/place/?q=place_id:ChIJZTunQAAh8zkRHyg6qp_jr4s,part_383,2026-09-20 21:11:47
South korean therapy centre,Therapy Center,Hospital,Hospital,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",N/A,N/A,2.3,4.0,"Q6WV+JM3, Nahar Rd, Bihar 805131",823311,24.7965071,85.2441819,ChIJDwc9BQAh8zkRQMZTHW68Ym0,https://www.google.com/maps/place/?q=place_id:ChIJDwc9BQAh8zkRQMZTHW68Ym0,part_383,2026-09-20 21:11:47
पंचमुखी ई क्लिनिक फिजियोथेरेपी सेन्टर,Therapy Center,Physiotherapy Center,Physiotherapy Center,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",N/A,N/A,5.0,4.0,"WCVF+PW9, Pandpa, Nardiganj, Panrupa, Bihar 805109",Pandpa,24.944280799999998,85.4248463,ChIJP-NJagDl8jkRztBpnxXeGP8,https://www.google.com/maps/place/?q=place_id:ChIJP-NJagDl8jkRztBpnxXeGP8,part_383,2026-09-20 21:11:47
Buniyad Kendra,Therapy Center,Physiotherapist,Physiotherapist,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",N/A,N/A,5.0,1.0,"X37R+GV6, SDO Office Rd, Saidpur, Khizar Sarai, Bihar 824233",823311,24.9639483,85.09220669999999,ChIJo0uRKwDR8jkRfDglXU5x32w,https://www.google.com/maps/place/?q=place_id:ChIJo0uRKwDR8jkRfDglXU5x32w,part_383,2026-09-20 21:11:47
Modern Physiotherapy centre by Dr kundan kumar shahi,Therapy Center,Physiotherapy Center,Physiotherapy Center,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",N/A,N/A,5.0,1.0,"Khushi xray, near project kanya college, Hisua, Bihar 805103",823311,24.834950499999998,85.4152395,ChIJzzJ7A5vj8jkRIYq0dC74_3g,https://www.google.com/maps/place/?q=place_id:ChIJzzJ7A5vj8jkRIYq0dC74_3g,part_383,2026-09-20 21:11:47
Satyam Physiotherapy Clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",+91 93349 87492,N/A,5.0,2.0,"R225+R9X, Mani Road, Murarpur, Gaya, Bihar 823001",Murarpur,24.8021024,85.008471,ChIJXw0hvRYq8zkR4GU8Moygekk,https://www.google.com/maps/place/?q=place_id:ChIJXw0hvRYq8zkR4GU8Moygekk,part_383,2026-09-20 21:11:47
Happy Health Physiotherapy and spine centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",+91 62055 06875,N/A,4.9,,"P.G road, near raj Darbar hotel.peter England wle building me, Jehanabad, Bihar 804408",823311,25.2201472,84.988905,ChIJQ4sY8Ra18jkROmD50JxVjho,https://www.google.com/maps/place/?q=place_id:ChIJQ4sY8Ra18jkROmD50JxVjho,part_383,2026-09-20 21:11:48
Natural Health Care Center,Therapy Center,Physiotherapist,"Physiotherapist, Acupuncturist",823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",+91 84348 09382,N/A,,,"New Godown, Toothwari, Murarpur, Gaya, Bihar 823001","Toothwari, Murarpur",24.8035246,85.01248389999999,ChIJfTy4VQAr8zkR_8QY2ccK0S8,https://www.google.com/maps/place/?q=place_id:ChIJfTy4VQAr8zkR_8QY2ccK0S8,part_383,2026-09-20 21:11:48
Care & Reiki Healing Centre,Therapy Center,Reiki therapist,Reiki therapist,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",+91 74940 20479,N/A,5.0,1.0,"power ganj bairagi more, Janta Colony Bairagi, Gewalbigha, Gaya, Bihar 823001","Janta Colony Bairagi, Gewalbigha",24.8080167,85.0044841,ChIJu6qTEQAr8zkRaiOoro4ujv8,https://www.google.com/maps/place/?q=place_id:ChIJu6qTEQAr8zkRaiOoro4ujv8,part_383,2026-09-20 21:11:48
Saksham Rehabilitation & Child Development Centre,Therapy Center,Rehabilitation center,Rehabilitation center,823311,Bihar Circle,Patna HQ Region,Gaya Division,"Atri SO, Ayer BO, Bairka BO",+91 87891 35212,N/A,5.0,7.0,"Dakbanglow Road, near Dr. Balmukund, Kaghzi Mohalla, Bihar Sharif, Bihar 803101",Kaghzi Mohalla,25.2096566,85.51937319999999,ChIJgfaib8fz8jkR479zmJrZxz4,https://www.google.com/maps/place/?q=place_id:ChIJgfaib8fz8jkR479zmJrZxz4,part_383,2026-09-20 21:11:48
