business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
R.N marraige and banquet hall,Banquet Hall,Banquet hall,Banquet hall,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 77809 88203,N/A,4.8,41.0,"Ahri Rd, Srikrishna Nagar, Aurangabad, Bihar 824101",Srikrishna Nagar,24.765097899999997,84.37472369999999,ChIJ_QtrBQD9jDkRHaa97sHPo8Y,https://www.google.com/maps/place/?q=place_id:ChIJ_QtrBQD9jDkRHaa97sHPo8Y,part_383,2026-09-20 21:12:57
White Lily Banquet Hall,Banquet Hall,Banquet hall,Banquet hall,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 81021 68451,N/A,4.8,5.0,"Nawadih Rd, near Eidgah, Aurangabad, Bihar 824101",824101,24.7592003,84.3796751,ChIJTc-rxVb9jDkRfvkIXCyndno,https://www.google.com/maps/place/?q=place_id:ChIJTc-rxVb9jDkRfvkIXCyndno,part_383,2026-09-20 21:12:57
Devkriti Resort,Banquet Hall,Banquet hall,Banquet hall,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,4.4,169.0,"P9WQ+6W4 Sinha college more, Sinha College Road, near devkriti Resorts, Ramdih, Aurangabad, Bihar 824101",Ramdih,24.745562399999997,84.3899003,ChIJD3QJcVD9jDkRtVyZqjx2mkA,https://www.google.com/maps/place/?q=place_id:ChIJD3QJcVD9jDkRtVyZqjx2mkA,part_383,2026-09-20 21:12:57
Maa Vindhwasini Vivah Bhawan AND GUEST HOUSE,Banquet Hall,Banquet hall,"Banquet hall, Guest house",824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99551 74789,N/A,4.6,54.0,"Yodha Marg, Yodha Nagar, Aurangabad, Bihar 824101",Yodha Nagar,24.7493025,84.3703759,ChIJad_5pyT9jDkRlzgAn11oTzc,https://www.google.com/maps/place/?q=place_id:ChIJad_5pyT9jDkRlzgAn11oTzc,part_383,2026-09-20 21:12:57
Milan banquet hall,Banquet Hall,Marriage celebrant,Marriage celebrant,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,5.0,4.0,"Imam bada chowk, Pathan Toli Rd, Aurangabad, Bihar 824101",824101,24.748458499999998,84.37613069999999,ChIJW0UnZz39jDkRUs9ad9-NGtE,https://www.google.com/maps/place/?q=place_id:ChIJW0UnZz39jDkRUs9ad9-NGtE,part_383,2026-09-20 21:12:57
Shree Ram Utsav Hall,Banquet Hall,Banquet hall,Banquet hall,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99315 59856,N/A,5.0,4.0,"Sabun Factory, Ahri Rd, Bhaskar Nagar, Aurangabad, Kusi, Bihar 824101",Bhaskar Nagar,24.7694261,84.3751095,ChIJ0YaPcwD9jDkRdehQP9MW5gQ,https://www.google.com/maps/place/?q=place_id:ChIJ0YaPcwD9jDkRdehQP9MW5gQ,part_383,2026-09-20 21:12:57
🥇 The Celebration Palace – Mini Banquet & Rooftop,Banquet Hall,Event venue,Event venue,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,5.0,1.0,"New area, Near Road no. 4, nagar, Yodha Marg, near Aradhya Mart, near Jalsa Resort, Aurangabad, Bihar 824101",824101,24.7471164,84.3696054,ChIJR5suXsX9jDkR0Qt5lOnj_ow,https://www.google.com/maps/place/?q=place_id:ChIJR5suXsX9jDkR0Qt5lOnj_ow,part_383,2026-09-20 21:12:57
BASANT COMPLEX AND MARRIAGE HALL,Banquet Hall,Holiday apartment rental,Holiday apartment rental,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 62033 35979,N/A,5.0,5.0,"Tikri Rd, near Devi Temple, Aurangabad, Bihar 824101",824101,24.7459782,84.372845,ChIJhcH8FgD9jDkRmwIaMUemhjY,https://www.google.com/maps/place/?q=place_id:ChIJhcH8FgD9jDkRmwIaMUemhjY,part_383,2026-09-20 21:12:57
Naaz marriage hall,Banquet Hall,Marriage celebrant,Marriage celebrant,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,3.9,25.0,"Aurangabad, Bihar 824101",824101,24.7454191,84.3724184,ChIJL8Q0d6T9jDkRlF2NjsNC0Io,https://www.google.com/maps/place/?q=place_id:ChIJL8Q0d6T9jDkRlF2NjsNC0Io,part_383,2026-09-20 21:12:57
Paradise Marriage Hall,Banquet Hall,Hotel,Hotel,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,4.0,2.0,"P9WC+4Q4, Tikri Rd, Aurangabad, Bihar 824101",824101,24.7452732,84.371946,ChIJxeHn1HL9jDkRHQ6ml--AKac,https://www.google.com/maps/place/?q=place_id:ChIJxeHn1HL9jDkRHQ6ml--AKac,part_383,2026-09-20 21:12:57
Prinay Prangan Banquet Hall,Banquet Hall,Bed & breakfast,Bed & breakfast,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,,,"Q947+63V, Satyendra Nagar Rd, Aurangabad, Bihar 824101",824101,24.755607299999998,84.362675,ChIJBW66cwD9jDkR7ir7jX1EZO4,https://www.google.com/maps/place/?q=place_id:ChIJBW66cwD9jDkR7ir7jX1EZO4,part_383,2026-09-20 21:12:57
Sagun garden marriage hall,Banquet Hall,Villa,Villa,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,5.0,3.0,"P9XX+P7M, Aurangabad, Bihar 824101",824101,24.7501471,84.398381,ChIJzTI2SgD9jDkRGKd8KtWMuiE,https://www.google.com/maps/place/?q=place_id:ChIJzTI2SgD9jDkRGKd8KtWMuiE,part_383,2026-09-20 21:12:57
Devi marriage hall,Banquet Hall,Wedding venue,Wedding venue,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,4.0,5.0,"Old GT Rd, Aurangabad, Bihar 824101",824101,24.7450597,84.3857232,ChIJlYoY-gv9jDkRR2Oriic23sY,https://www.google.com/maps/place/?q=place_id:ChIJlYoY-gv9jDkRR2Oriic23sY,part_383,2026-09-20 21:12:57
Ashirwad Resort & Marriage Hall,Banquet Hall,Resort hotel,Resort hotel,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,4.5,,"P8PW+Q9X, NH139, Chatra, Bihar 824102",824101,24.737379999999998,84.34637,ChIJb4rcIQD_jDkROv1_tSCM-mo,https://www.google.com/maps/place/?q=place_id:ChIJb4rcIQD_jDkROv1_tSCM-mo,part_383,2026-09-20 21:12:58
Karishma panchwati marriage vatika lane 2,Banquet Hall,Resort hotel,Resort hotel,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99315 29608,N/A,4.3,12.0,"Ward No 31, Baijnath bigha, Singha College Road, Kali nagar, Aurangabad, Bihar 824101",Kali nagar,24.7513029,84.39674649999999,ChIJKTc2Y039jDkRkBvdY-aoZmg,https://www.google.com/maps/place/?q=place_id:ChIJKTc2Y039jDkRkBvdY-aoZmg,part_383,2026-09-20 21:12:59
Gitanjali Resort,Banquet Hall,Resort hotel,Resort hotel,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,3.9,22.0,"Q988+6XW, Aurangabad, Bihar 824101",824101,24.7661552,84.36734229999999,ChIJff_8HyD9jDkRJdWysoEZ7M0,https://www.google.com/maps/place/?q=place_id:ChIJff_8HyD9jDkRJdWysoEZ7M0,part_383,2026-09-20 21:12:59
Utsav Banquet Hall,Banquet Hall,Banquet hall,Banquet hall,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,4.0,20.0,"P8PX+WP, Karma Bala, Bihar 824102",824101,24.737327,84.34935109999999,ChIJhd7Lqkf_jDkR5psUITZ3XTU,https://www.google.com/maps/place/?q=place_id:ChIJhd7Lqkf_jDkR5psUITZ3XTU,part_383,2026-09-20 21:12:59
Hotel Sky View,Banquet Hall,Hotel,"Hotel, Restaurant",824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 92882 09696,https://sites.google.com/view/hotel-skyview-restaurant/home,4.1,1163.0,"Old GT Rd, opp. Singh Kothi, Aurangabad, Bihar 824101",824101,24.755393299999998,84.3708241,ChIJk6uLkcv9jDkRSyNryDTs7uU,https://www.google.com/maps/place/?q=place_id:ChIJk6uLkcv9jDkRSyNryDTs7uU,part_383,2026-09-20 21:12:59
HOTEL SHUBHAM INTERNATIONAL,Banquet Hall,Hotel,Hotel,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 94702 73622,N/A,4.1,113.0,"M.G ROAD KUNDA HOUSE NEW AREA, Bihar 824101",824101,24.750951699999998,84.3699333,ChIJHxmT66X9jDkRDXAQx4chqSE,https://www.google.com/maps/place/?q=place_id:ChIJHxmT66X9jDkRDXAQx4chqSE,part_383,2026-09-20 21:12:59
