business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Concept Commerce Coaching Center,Commerce and CA Coaching,Coaching Center,Coaching Center,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 77820 40404,N/A,4.6,79,"Naga Bigha, Aurangabad, Bihar 824101",Naga Bigha,24.7520217,84.3708175,ChIJIxmCozT8jDkRcSekS6F8v4g,https://www.google.com/maps/place/?q=place_id:ChIJIxmCozT8jDkRcSekS6F8v4g,part_383,2026-09-20 21:13:02
ABC - Academy of Banking and Commerce,Commerce and CA Coaching,Education center,Education center,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 82944 19666,http://www.abcabc.in/,4.0,1,"Q988+7V4, Karma Rd, Aurangabad, Bihar 824101",824101,24.765242,84.367149,ChIJmz8UVgD9jDkRcBONGzbAMk4,https://www.google.com/maps/place/?q=place_id:ChIJmz8UVgD9jDkRcBONGzbAMk4,part_383,2026-09-20 21:13:02
VIRAT CLASSES,Commerce and CA Coaching,Coaching Center,Coaching Center,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 90977 01332,N/A,4.5,129,"Tikri Rd, Aurangabad, Bihar 824101",824101,24.7464512,84.3783492,ChIJDZZMv5P9jDkRRmhVjRC1MeI,https://www.google.com/maps/place/?q=place_id:ChIJDZZMv5P9jDkRRmhVjRC1MeI,part_383,2026-09-20 21:13:02
Sachdeva IT Classes,Commerce and CA Coaching,Institute of technology,Institute of technology,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99395 06600,N/A,4.1,13,"v mart, MG Rd, near shiv mandir, Aurangabad, Bihar 824101",824101,24.7503963,84.3664206,ChIJJ_GBzKj9jDkROsJID27OKow,https://www.google.com/maps/place/?q=place_id:ChIJJ_GBzKj9jDkROsJID27OKow,part_383,2026-09-20 21:13:02
Legend Career Center,Commerce and CA Coaching,Education center,Education center,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 82100 70200,N/A,5.0,27,"Aurangabad, Bihar 824101",824101,24.764352199999998,84.36758549999999,ChIJe4CuJsP9jDkRpOR7XFxghkQ,https://www.google.com/maps/place/?q=place_id:ChIJe4CuJsP9jDkRpOR7XFxghkQ,part_383,2026-09-20 21:13:02
Oikos Education,Commerce and CA Coaching,Educational institution,Educational institution,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 97712 34577,https://www.oikosneet.com/,5.0,84,"Old GT Rd, near Yamunanagar Road, nagarthana, Aurangabad, Bihar 824101",nagarthana,24.747309599999998,84.38221539999999,ChIJ8VakOYH9jDkRJDWNgs0OmGE,https://www.google.com/maps/place/?q=place_id:ChIJ8VakOYH9jDkRJDWNgs0OmGE,part_383,2026-09-20 21:13:02
Jaju Professional Academy (Head Office),Commerce and CA Coaching,Coaching Center,Coaching Center,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 93597 94886,https://www.jajusprofessionalacademy.in/,4.8,514,"Sadhana Heights, Plot No 109, opp. ICICI Bank, near Pawan Gas, New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005",New Usmanpura,19.8684849,75.3296768,ChIJFRW6aXSY2zsRa7CmdnrSXx8,https://www.google.com/maps/place/?q=place_id:ChIJFRW6aXSY2zsRa7CmdnrSXx8,part_383,2026-09-20 21:13:02
VD Education,Commerce and CA Coaching,Coaching Center,"Coaching Center, Education center, Educational institution",824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99601 60005,http://www.connexedtech.com/,4.8,358,"Tapadiya circle, Nirala Bazar, Chhatrapati Sambhajinagar, Maharashtra 431001",Nirala Bazar,19.8802065,75.3239316,ChIJgY90r3OY2zsR8DueGC5AYIQ,https://www.google.com/maps/place/?q=place_id:ChIJgY90r3OY2zsR8DueGC5AYIQ,part_383,2026-09-20 21:13:02
Bhagwat Commerce Classes,Commerce and CA Coaching,Educational institution,Educational institution,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 92253 01545,N/A,4.9,108,"Plot no. 4-5, Bhagwat Commerce Classes, Sai Nagari, beside D-mart Mall, Chhatrapati Sambhajinagar, Maharashtra 431009","Mayurban Colony, Gadia Vihar",19.8577345,75.337192,ChIJYWBg-MyZ2zsRBebBUBxfjNw,https://www.google.com/maps/place/?q=place_id:ChIJYWBg-MyZ2zsRBebBUBxfjNw,part_383,2026-09-20 21:13:02
Supreme Commerce Classes,Commerce and CA Coaching,Coaching Center,"Coaching Center, Career guidance service, Education center, Distance Learning Center, Educational consultant, Educational institution, Studying center",824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 98226 04141,N/A,4.6,97,"CTS NO.20785, Khokadpura Rd, near Maruti Mandir, Khokadpura, Banjara Colony, Chhatrapati Sambhajinagar, Maharashtra 431001","Khokadpura, Banjara Colony",19.8790586,75.3304874,ChIJQ7Aab3KY2zsReOl5uB9ZNEw,https://www.google.com/maps/place/?q=place_id:ChIJQ7Aab3KY2zsReOl5uB9ZNEw,part_383,2026-09-20 21:13:02
