business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NEW NETWORK TRANSPORT PVT.LTD,Logistics and Transport Services,Logistics service,Logistics service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,https://newnetworktransport.in/,4.6,13.0,"Ashok Leyland service, near jank more, near Netaji hotel, Aurangabad, Bihar 824102",824101,24.7911269,84.3137617,ChIJ1a5vs3z_jDkRCBU9y6AuGFk,https://www.google.com/maps/place/?q=place_id:ChIJ1a5vs3z_jDkRCBU9y6AuGFk,part_383,2026-09-20 21:12:23
Shree Gurunanak Transport company,Logistics and Transport Services,Transportation service,Transportation service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 91620 70958,N/A,3.4,5.0,"near Deo More HP Petrol Pump, Narsiha, Bihar 824103",824101,24.704096999999997,84.474142,ChIJJ2um2ubljDkRRVTFgxCYGGY,https://www.google.com/maps/place/?q=place_id:ChIJJ2um2ubljDkRRVTFgxCYGGY,part_383,2026-09-20 21:12:23
V-Dart Xpress,Logistics and Transport Services,Transportation service,"Transportation service, Courier service, Customs warehouse, Delivery service, Door warehouse, Freight Forwarding Agency, Import export company, Logistics service, Warehouse",824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 93116 97997,http://sites.google.com/view/vdartxpresslimited,4.0,8.0,"VAIGYANIKA BHAWAN, Yamunanagar Rd, AKHADA, Aurangabad, Bihar 824101",AKHADA,24.7431836,84.3780361,ChIJe7xPgVH9jDkR2rvulQ9v_OU,https://www.google.com/maps/place/?q=place_id:ChIJe7xPgVH9jDkR2rvulQ9v_OU,part_383,2026-09-20 21:12:23
Prakash Transporter,Logistics and Transport Services,Transportation service,Transportation service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 90066 01068,N/A,3.7,3.0,"M8X5+MF7, Aurangabad, Bihar 824102",824101,24.6991697,84.3086797,ChIJebz98NT4jDkRGeSYZ7Ssbfk,https://www.google.com/maps/place/?q=place_id:ChIJebz98NT4jDkRGeSYZ7Ssbfk,part_383,2026-09-20 21:12:23
Safexpress Pvt. Ltd.,Logistics and Transport Services,Logistics service,Logistics service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 1800 11 3113,https://www.safexpress.com/,3.7,3.0,"Jasoiya More, Petrol Pump Ear LIC Buliding, opposite Parkash, Sonaura, Bihar 824102",824101,24.769292099999998,84.3492302,ChIJb0OrBuL_jDkRGc2g9dsxikY,https://www.google.com/maps/place/?q=place_id:ChIJb0OrBuL_jDkRGc2g9dsxikY,part_383,2026-09-20 21:12:23
JETLINE COURIER PVT LTD AURANGABAD BIHAR,Logistics and Transport Services,Courier service,Courier service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 70043 60732,https://www.jetlinecouriers.in/,5.0,5.0,"MAA VINDHYAVASINI MARRIAGE HALL, CHOWK, Yodha Marg, Yodha Nagar, Aurangabad, Bihar 824101",Yodha Nagar,24.749295699999998,84.37037939999999,ChIJgwV6Pkf9jDkRSq3NitTAcQ8,https://www.google.com/maps/place/?q=place_id:ChIJgwV6Pkf9jDkRSq3NitTAcQ8,part_383,2026-09-20 21:12:23
Ekart,Logistics and Transport Services,Shipping service,Shipping service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,N/A,2.6,26.0,"P9V7+2JF, Ratanua, Bihar 824101",824101,24.742566,84.36405189999999,ChIJfcWAOJT9jDkRARbLYhHZf-0,https://www.google.com/maps/place/?q=place_id:ChIJfcWAOJT9jDkRARbLYhHZf-0,part_383,2026-09-20 21:12:23
Maa Jagdamba Traders,Logistics and Transport Services,Transportation service,Transportation service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99393 75076,N/A,4.2,6.0,"Aurangabad, Bihar 824101",824101,24.7648449,84.3563523,ChIJ42PMUdj9jDkR6LMtedkkboc,https://www.google.com/maps/place/?q=place_id:ChIJ42PMUdj9jDkR6LMtedkkboc,part_383,2026-09-20 21:12:23
Trishul Transport,Logistics and Transport Services,Transportation service,"Transportation service, City department of transportation, Department of Transportation, Transportation escort service",824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",+91 99736 93023,http://trishultransport.in/,4.7,81.0,"TRISHUL BHAWAN, Gali Number 11, Gaurakshani, Sasaram, Kuraich, Bihar 821115",Gaurakshani,24.963556,84.0153885,ChIJWdwvmv-3jTkRpefWoJvvou4,https://www.google.com/maps/place/?q=place_id:ChIJWdwvmv-3jTkRpefWoJvvou4,part_383,2026-09-20 21:12:23
Blue Dart Courier Services,Logistics and Transport Services,Courier service,Courier service,824101,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Aurangabad BH HO, Aurangabad Kutchehry SO",N/A,https://www.bluedart.com/,1.8,21.0,"Khadi Bhandar market, Palika Bazar, MG Rd, opp. Central Bank, Gurdeo Nagar, Aurangabad, Bihar 824101",Gurdeo Nagar,24.7527589,84.37300789999999,ChIJmUqR8LP9jDkRvL0skl3Ej6k,https://www.google.com/maps/place/?q=place_id:ChIJmUqR8LP9jDkRvL0skl3Ej6k,part_383,2026-09-20 21:12:23
