business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Projector on Rent in Aurangabad,Sound and Light Rental,Event planner,"Event planner, Audiovisual equipment rental service, Service establishment",824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 98811 99369,N/A,4.9,,"Projector on Rent in Aurangabad, 824111, India",824111,19.8725022,75.31703139999999,ChIJiaeBufyZ2zsRtLgIqFPgziE,https://www.google.com/maps/place/?q=place_id:ChIJiaeBufyZ2zsRtLgIqFPgziE,part_383,2026-09-20 21:15:06
Prem light & Dj sound,Sound and Light Rental,Tent House Supplier,Tent House Supplier,824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",N/A,N/A,,,"Vill, MAHARAJGANJ, Bihar 821312",Vill,24.8163295,84.077095,ChIJMZbmiH-zjTkR4Nc7P2f6Fy8,https://www.google.com/maps/place/?q=place_id:ChIJMZbmiH-zjTkR4Nc7P2f6Fy8,part_383,2026-09-20 21:15:06
Bhagyalaxmi Sound And Light,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Event planner, Wedding planner",824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 86689 13182,N/A,5.0,,"Mama Chowk, Padampura, Chhatrapati Sambhajinagar, Maharashtra 431005","Mama Chowk, Padampura",19.869095599999998,75.31431789999999,ChIJuYWExr2Z2zsRT3KJg5xxgoA,https://www.google.com/maps/place/?q=place_id:ChIJuYWExr2Z2zsRT3KJg5xxgoA,part_383,2026-09-20 21:15:06
SUNNY Light Dj & Event Planeer (सनी लाइट डीजे एंड इवेंट प्लानर),Sound and Light Rental,Event management company,Event management company,824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 82717 76978,N/A,5.0,,"Hospital Road, Jehanabad, Bihar 804408",824111,25.2102625,84.986599,ChIJc68xkFG18jkRyY289gYtWGk,https://www.google.com/maps/place/?q=place_id:ChIJc68xkFG18jkRyY289gYtWGk,part_383,2026-09-20 21:15:06
Projector on Rent,Sound and Light Rental,Video conferencing equipment supplier,Video conferencing equipment supplier,824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 95958 28181,https://projectoronrentinaurangabad.blogspot.com/2022/09/projector-on-rent-in-aurangabad.html,4.7,,"Projector on rent shop, Azad Chowk Rd, near Kareem Pizza Shop, Rahemania Colony, Kiradpura, Chhatrapati Sambhajinagar, Maharashtra 431001","Rahemania Colony, Kiradpura",19.8865746,75.3507295,ChIJtwME8-Wj2zsRpep9mUo8tSs,https://www.google.com/maps/place/?q=place_id:ChIJtwME8-Wj2zsRpep9mUo8tSs,part_383,2026-09-20 21:15:06
Shri Ganesh Mandap Decorators And D J Sound,Sound and Light Rental,Tent House Supplier,"Tent House Supplier, DJ supply store, Interior decoration",824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 95520 29192,N/A,4.3,,"Shop No 2, Renuka Complex, MIDC, Bajaj Nagar, Waluj, Waladgaon, Maharashtra 431136","MIDC, Bajaj Nagar, Waluj",19.840456,75.2465759,ChIJdayOF9ib2zsRkxDNWlhvyuQ,https://www.google.com/maps/place/?q=place_id:ChIJdayOF9ib2zsRkxDNWlhvyuQ,part_383,2026-09-20 21:15:06
Ganpati dj sound & tent agrailkhurd,Sound and Light Rental,Tent House Supplier,Tent House Supplier,824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 70330 40422,https://youtube.com/@decentamit?si=H5hDU68zYkWMsvYZ,4.8,,"Agrail Khurdh, Bihar 843104",824111,25.9183357,85.5913279,ChIJOQSh-7J17TkRVsJirBKx-YI,https://www.google.com/maps/place/?q=place_id:ChIJOQSh-7J17TkRVsJirBKx-YI,part_383,2026-09-20 21:15:06
Surya Dj system,Sound and Light Rental,DJ service,"DJ service, Tent House Supplier",824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 70910 66277,N/A,4.7,,"Kateya, Lashkaripur, Kataiya, Bihar 841206",Kateya,26.0034969,84.61576269999999,ChIJ6SYRxI3BkjkR1jiga0FX4AQ,https://www.google.com/maps/place/?q=place_id:ChIJ6SYRxI3BkjkR1jiga0FX4AQ,part_383,2026-09-20 21:15:06
SAGAR DJ SOUNDS AND TENT LIGHTS,Sound and Light Rental,DJ service,DJ service,824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",+91 85400 75907,N/A,5.0,,"near A K Y ONLINE CENTRE, Kusa, Bihar 824234",824111,24.620740599999998,84.88862379999999,ChIJh1q-GEXNjDkRwBRK8lEI1k0,https://www.google.com/maps/place/?q=place_id:ChIJh1q-GEXNjDkRwBRK8lEI1k0,part_383,2026-09-20 21:15:06
Sanjay Light Tent Dj Sound,Sound and Light Rental,Lighting products wholesaler,"Lighting products wholesaler, Service establishment",824111,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Amba SO, Ballia BO, Bedauli BO",N/A,N/A,,,"Sanjay Light Tent Dj Sound, 824111, India",824111,24.913501,84.17628839999999,ChIJX1E5ccqujTkR9bD5mTpFjCw,https://www.google.com/maps/place/?q=place_id:ChIJX1E5ccqujTkR9bD5mTpFjCw,part_383,2026-09-20 21:15:06
