business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Orthocare Physiotherapy clinic Chhatauni,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Medical group",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 96939 71649,N/A,5.0,,"Bus Stand, Chhatauni, Motihari, Bihar 845401",Chhatauni,26.6475132,84.9315235,ChIJmdPCUFo1kzkR4R9ix2l4qBI,https://www.google.com/maps/place/?q=place_id:ChIJmdPCUFo1kzkR4R9ix2l4qBI,part_384,2026-09-20 20:19:29,2098
Jamui Physiotherapy Centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,4.6,,"पंजाब नेंशनल के पीछे, Razza Nagar, शांति नगर, Jamui, Bihar 811307","Razza Nagar, शांति नगर",24.9207705,86.2220614,ChIJHbvEFQAr8jkRAL_1G0brHUQ,https://www.google.com/maps/place/?q=place_id:ChIJHbvEFQAr8jkRAL_1G0brHUQ,part_384,2026-09-20 20:19:29,2099
Fracture clinic,Orthopedic and Physiotherapy Clinic,Orthopedic clinic,Orthopedic clinic,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 93355 66979,N/A,,,"plat bikram stand, Satpokhari, Dulahipur, Uttar Pradesh 232101",824206,25.303888099999998,83.0911096,ChIJ7xuNBAA7jjkRCdsLxqTChDA,https://www.google.com/maps/place/?q=place_id:ChIJ7xuNBAA7jjkRCdsLxqTChDA,part_384,2026-09-20 20:19:29,2100
Orthocare And Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Doctor,"Doctor, Service establishment",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,http://www.opc.com/,3.7,,"Orthocare And Physiotherapy Clinic, 824206, India",824206,26.967093,83.6017782,ChIJ44Ypk_D_kzkR5laKhKTjQZA,https://www.google.com/maps/place/?q=place_id:ChIJ44Ypk_D_kzkR5laKhKTjQZA,part_384,2026-09-20 20:19:29,2101
ADVANCE PHYSIO ORTHO REHAB CLINIC,Orthopedic and Physiotherapy Clinic,Medical clinic,Medical clinic,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"Vilemar Kundi, Dalla, Uttar Pradesh 231207",824206,24.457579499999998,83.0432883,ChIJm08_7HjmjjkR173DCo-hKaU,https://www.google.com/maps/place/?q=place_id:ChIJm08_7HjmjjkR173DCo-hKaU,part_384,2026-09-20 20:19:29,2102
"ORTHOCARE PHYSIOTHERAPY CLINIC - Best Physiotherapy Clinic in Motihari, Bihar | Physiotherapy Clinic near Motihari",Orthopedic and Physiotherapy Clinic,Orthopedic clinic,"Orthopedic clinic, Chiropractor, Medical Center, Pain control clinic, Pain management physician, Physiotherapist, Rehabilitation center, Sports massage therapist, Sports medicine clinic",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 96939 71649,https://orthocare-physiotherapy.grexa.site/,4.8,,"MS College Rd, near Green city, Chandmari, Motihari, Bihar 845401",Chandmari,26.6565296,84.90150109999999,ChIJAfAbeLo1kzkRofYw0BkKijY,https://www.google.com/maps/place/?q=place_id:ChIJAfAbeLo1kzkRofYw0BkKijY,part_384,2026-09-20 20:19:29,2103
Orthocare Physiotherapy & Rehab Clinic,Orthopedic and Physiotherapy Clinic,Doctor,Doctor,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 78004 47523,N/A,5.0,,"Seva sadan Gali, near government hospital, Kunda, Uttar Pradesh 230204",824206,25.7188384,81.51561819999999,ChIJo5eWnUEhmzkRfFHtWm90kEE,https://www.google.com/maps/place/?q=place_id:ChIJo5eWnUEhmzkRfFHtWm90kEE,part_384,2026-09-20 20:19:29,2104
Orthocare Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 82109 81407,N/A,4.9,,"HOUSE NO, Landmark, Notre Dame school, 274 A, Durga mandir road, near SD Vatika Palace and Bandana Marrige Hall, Gosain Tola, Patliputra Colony, Patna, Bihar 800013","Gosain Tola, Patliputra Colony",25.6309792,85.11220259999999,ChIJUzZNZytY7TkRRzimS4CgazI,https://www.google.com/maps/place/?q=place_id:ChIJUzZNZytY7TkRRzimS4CgazI,part_384,2026-09-20 20:19:29,2105
Physioga Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 87872 52164,N/A,5.0,,"6P5C+H55, Kachhawan, Uttar Pradesh 231501",824206,25.2088987,82.7204711,ChIJTYABLmXFjzkRFlz2ry0hc30,https://www.google.com/maps/place/?q=place_id:ChIJTYABLmXFjzkRFlz2ry0hc30,part_384,2026-09-20 20:19:29,2106
Om sai physiotherapy centre Mejaroad | Sirsa | Koraon | Mandaroad | Ramnagar,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 94510 13533,N/A,5.0,,"Pandey Market, Meja Rd, near LIC office, Meja Tehsil, Uttar Pradesh 212303",824206,25.2190697,82.08308819999999,ChIJ29JagzdbhTkRq4sZztaOv2w,https://www.google.com/maps/place/?q=place_id:ChIJ29JagzdbhTkRq4sZztaOv2w,part_384,2026-09-20 20:19:29,2107
