business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Raniganj market,Supermarket,Market,Market,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 76330 20951,http://www.raniganjmarket.com/,4.0,,"CHQR+6RJ, Unnamed Road, near Punjab National Bank, Raniganj, Bihar 824210",824206,24.436132,84.59093899999999,ChIJ_1wJv27rjDkRULSSSfbB4TU,https://www.google.com/maps/place/?q=place_id:ChIJ_1wJv27rjDkRULSSSfbB4TU,part_384,2026-09-20 20:19:18,204
PRAJAPATI KESHARI MARKET,Supermarket,Grocery store,Grocery store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"CFMQ+WVC, SH 69, Bikua Kala, Bihar 824206",824206,24.434824799999998,84.4896344,ChIJPwL1FNDsjDkReveFyHkc5j4,https://www.google.com/maps/place/?q=place_id:ChIJPwL1FNDsjDkReveFyHkc5j4,part_384,2026-09-20 20:19:18,205
Laxmi kitana imamganj,Supermarket,Grocery store,Grocery store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"FH4J+3MC, Imamganj, Bihar 824206",824206,24.4551759,84.581631,ChIJx1kLxgDrjDkRnBODsphKBug,https://www.google.com/maps/place/?q=place_id:ChIJx1kLxgDrjDkRnBODsphKBug,part_384,2026-09-20 20:19:18,206
SUPER MARKET,Supermarket,General store,General store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 72600 02099,N/A,,,"Sildaha Bazaar, Ghorighat, Bihar 823001",Sildaha Bazaar,24.3705225,84.5354883,ChIJqSYf3L6VjDkRJVbZ56BeVss,https://www.google.com/maps/place/?q=place_id:ChIJqSYf3L6VjDkRJVbZ56BeVss,part_384,2026-09-20 20:19:18,207
Agrawal Enterprises,Supermarket,Supermarket,Supermarket,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 99312 25503,N/A,4.3,,"Gaderiya, near Phulwari, Raniganj, Bihar 824210",824206,24.4394809,84.587232,ChIJVVVVFcnqjDkRXaV-J9fL2OM,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFcnqjDkRXaV-J9fL2OM,part_384,2026-09-20 20:19:18,208
Jaspal home,Supermarket,Grocery store,Grocery store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"FHJP+96Q, Panraria, Bihar 824206",824206,24.4809569,84.585599,ChIJXei9CQDrjDkRXemLeKXThDk,https://www.google.com/maps/place/?q=place_id:ChIJXei9CQDrjDkRXemLeKXThDk,part_384,2026-09-20 20:19:18,209
DHONI MOBILE. धोनी मोबाइल,Supermarket,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Electronics repair shop, Electronics wholesaler, Manufacturer, Mobile phone repair shop, Print shop, Refrigerator repair service, Refrigerator store, Wholesaler",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,http://dhonimobile.com/,4.9,600.0,"SH69 Imamganj. Dumariya mod . Bus stand, Bihar 824206",824206,24.4560233,84.58027039999999,ChIJGQAAN-rqjDkR6lrRTQLQnnA,https://www.google.com/maps/place/?q=place_id:ChIJGQAAN-rqjDkR6lrRTQLQnnA,part_384,2026-09-20 20:19:18,210
G Mart,Supermarket,Grocery store,Grocery store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,17.0,"Sinha Mansion, Main Road, Pratappur, Partabpura, Jharkhand 825404",824206,24.2981707,84.6371855,ChIJcS4akZm9jDkRFgFnUOp8S2o,https://www.google.com/maps/place/?q=place_id:ChIJcS4akZm9jDkRFgFnUOp8S2o,part_384,2026-09-20 20:19:18,211
Kishan Agency,Supermarket,Grocery store,Grocery store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,1.0,"GM86+JXM, Juri, Bihar 824217",824206,24.5165828,84.66241289999999,ChIJWQznNWTBjDkR4JknS4NJInE,https://www.google.com/maps/place/?q=place_id:ChIJWQznNWTBjDkR4JknS4NJInE,part_384,2026-09-20 20:19:18,212
Apna Bazar Super Mart,Supermarket,Grocery store,Grocery store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95766 07311,N/A,5.0,5.0,"NH 22, Hunterganj, Dewanbar, Jharkhand 825414",824206,24.4342023,84.81377429999999,ChIJSbwBYgC3jDkRwlOlbXhOr30,https://www.google.com/maps/place/?q=place_id:ChIJSbwBYgC3jDkRwlOlbXhOr30,part_384,2026-09-20 20:19:18,213
