business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ganpati Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 72508 61640,N/A,3.8,,"FH3M+FQJ, Imamganj, Bihar 824206",824206,24.453716999999997,84.5843805,ChIJycV40OrqjDkRlnoLbxrHpxE,https://www.google.com/maps/place/?q=place_id:ChIJycV40OrqjDkRlnoLbxrHpxE,part_384,2026-09-20 20:19:20,747
KUMAR SWEETS 2.o,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 83407 75589,N/A,4.6,,"Imamganj, Bihar 824206",824206,24.4533125,84.58443749999999,ChIJQeN-z-rqjDkRHdeautTaHB0,https://www.google.com/maps/place/?q=place_id:ChIJQeN-z-rqjDkRHdeautTaHB0,part_384,2026-09-20 20:19:20,748
Sree Ram Sweets,Sweet Stall / Mithai Shop,Hotel,Hotel,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,4.3,,"FH4J+74W, Imamganj, Bihar 824206",824206,24.4557386,84.5803406,ChIJ4zZgz3zrjDkRt2mKw_x-SQk,https://www.google.com/maps/place/?q=place_id:ChIJ4zZgz3zrjDkRt2mKw_x-SQk,part_384,2026-09-20 20:19:20,749
SRI RAM SWEETS,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"Imamganj Dumariya more, Bihar 824206",824206,24.455200899999998,84.5815836,ChIJ2enkhonrjDkR8fZr-UveFzs,https://www.google.com/maps/place/?q=place_id:ChIJ2enkhonrjDkR8fZr-UveFzs,part_384,2026-09-20 20:19:20,750
Om Sweets.,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,4.2,,"Rousbaganj, Sherghati, Bihar 824211",Rousbaganj,24.559072699999998,84.7897247,ChIJe_7v92vPjDkR4n-YU-H31kY,https://www.google.com/maps/place/?q=place_id:ChIJe_7v92vPjDkR4n-YU-H31kY,part_384,2026-09-20 20:19:20,751
Rohit Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"Sildaha Bazar, Ghorighat, Jharkhand 825404",Sildaha Bazar,24.3736988,84.53968379999999,ChIJ70C_BQCVjDkRzo-UUzOJs4A,https://www.google.com/maps/place/?q=place_id:ChIJ70C_BQCVjDkRzo-UUzOJs4A,part_384,2026-09-20 20:19:20,752
Sweets shop,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 70049 77680,N/A,5.0,,"Sherghati, Bihar 824211",824206,24.5577465,84.7878533,ChIJt5yMZQDPjDkRNAN1zwpzz0o,https://www.google.com/maps/place/?q=place_id:ChIJt5yMZQDPjDkRNAN1zwpzz0o,part_384,2026-09-20 20:19:20,753
Ekta CAKE SHOP & SWEETS,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 62024 43051,N/A,5.0,,"NH69 main road manjhauli bazar gaya dumaria rode Manjhauli, Dumariya, Gaya, Bihar 824206",824206,24.4602082,84.3818027,ChIJv7C_53bzjDkRX9gsBiu6YV8,https://www.google.com/maps/place/?q=place_id:ChIJv7C_53bzjDkRX9gsBiu6YV8,part_384,2026-09-20 20:19:20,754
Gopal Sweets and Chaat,Sweet Stall / Mithai Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Sweet shop",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 94304 42198,N/A,3.9,,"HPRH+F95, Paharpur, Gaya, Paharpur, Bihar 824211",Paharpur,24.5911348,84.7284696,ChIJZ7A2yuPEjDkRH63fb-j3cCQ,https://www.google.com/maps/place/?q=place_id:ChIJZ7A2yuPEjDkRH63fb-j3cCQ,part_384,2026-09-20 20:19:20,755
Siriram Sweets And Chart Bhandar,Sweet Stall / Mithai Shop,General store,General store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 85211 24473,N/A,,,"Dubhal Modh, Jamuna, Jamuna Dubhal Modh Imamganj Gaya, Imamganj, Bihar 824206",824206,24.455205799999998,84.5815837,ChIJsZrHcrXrjDkRLCrIrVimHA8,https://www.google.com/maps/place/?q=place_id:ChIJsZrHcrXrjDkRLCrIrVimHA8,part_384,2026-09-20 20:19:20,756
