business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Technosys IT Management Pvt. Ltd.,Telemarketing Firms,Telephone Marketing Agency,"Telephone Marketing Agency, Advertising agency, Business development service, Call center, Computer support and services, Marketing consultant, Software company, Telecommunications service provider, Marketing agency",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 79790 30298,http://www.technosysmanagement.com/,4.9,21.0,"House no-160c, Near Post Patlipu, Patliputra 800013, Patliputra Colony, Patna, Bihar 800013","New Patliputra Colony, Patliputra Colony",25.6284548,85.10633279999999,ChIJoW8kAIBX7TkRmUyrs3N5-F0,https://www.google.com/maps/place/?q=place_id:ChIJoW8kAIBX7TkRmUyrs3N5-F0,part_384,2026-09-20 20:19:56,6161
Technosaga Infotech Private Limited,Telemarketing Firms,Software company,"Software company, BPO Company, Computer support and services",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 91550 31859,http://technosagainfotech.com/,4.6,20.0,"Krishna apartment, M2/12 , Between Jamuna, &, Boring Rd, Patna, Bihar 800013",Anandpuri,25.6173656,85.1130123,ChIJHT5dLnJZ7TkR7o4DdfoY2ys,https://www.google.com/maps/place/?q=place_id:ChIJHT5dLnJZ7TkR7o4DdfoY2ys,part_384,2026-09-20 20:19:56,6162
BPO Mantra,Telemarketing Firms,BPO Company,BPO Company,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 91551 74281,http://www.bpomantra.com/,4.0,2.0,"1st Floor, Lalti Niwas, East Ram Krishna Nagar, Ramkrishan Nagar, Patna, Bihar 800027","East Ram Krishna Nagar, Ramkrishan Nagar",25.5819519,85.1423421,ChIJEVk9WfWn8jkRm3Br9tYk0to,https://www.google.com/maps/place/?q=place_id:ChIJEVk9WfWn8jkRm3Br9tYk0to,part_384,2026-09-20 20:19:56,6163
Sevki yadav Bahera,Telemarketing Firms,Marketing consultant,Marketing consultant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"FJJC+47C, Chuabar, Bihar 824206",824206,24.4803112,84.62062809999999,ChIJD2Xh6O7BjDkRWgPVOEm4XFA,https://www.google.com/maps/place/?q=place_id:ChIJD2Xh6O7BjDkRWgPVOEm4XFA,part_384,2026-09-20 20:19:56,6164
ORBITCART,Telemarketing Firms,E - Commerce Agency,E - Commerce Agency,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,1.0,"HM2H+CGR, Barheta, Jamuara Kalan, Bihar 824217",824206,24.5511064,84.67876389999999,ChIJ1zcOEgDDjDkRxWDuIYMTnG8,https://www.google.com/maps/place/?q=place_id:ChIJ1zcOEgDDjDkRxWDuIYMTnG8,part_384,2026-09-20 20:19:56,6165
Manish Ranjan & Sandeep Ranjan,Telemarketing Firms,Business to business service,"Business to business service, Condominium complex, School, Shopping mall, Store",824207,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Konch SO Gaya, Adai BO, Ahiyapur BO",N/A,http://manishranjan.com/,5.0,12.0,"vill+post, Law, Bihar 824236",vill+post,24.952084499999998,84.8804566,ChIJH1LoUMMtjTkRS4shgsYOnqU,https://www.google.com/maps/place/?q=place_id:ChIJH1LoUMMtjTkRS4shgsYOnqU,part_384,2026-09-20 20:20:36,9908
Ranjeet Ji Technical,Telemarketing Firms,Internet marketing service,Internet marketing service,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,,,"MH69+M24, Madanpur, Bihar 824208",824208,24.6616473,84.56759199999999,ChIJ9xKtP7LnjDkRaqcSz-oavcQ,https://www.google.com/maps/place/?q=place_id:ChIJ9xKtP7LnjDkRaqcSz-oavcQ,part_384,2026-09-20 20:21:18,12610
Vmac Technology Private Limited,Telemarketing Firms,Software company,"Software company, Aadhaar center, Data Entry Service Provider, Human resource consulting, Website designer",824209,Bihar Circle,Patna HQ Region,Gaya Division,"Paraiya SO, Kapasiya BO, Khanetu BO",N/A,N/A,5.0,15.0,"Rd Number 10, near Vishwanath Mandir&Magadh Medical Thana, Vir Kunwar Singh Colony, Neema Tola, Gaya, Bihar 823001","Vir Kunwar Singh Colony, Neema Tola",24.7686451,84.9575158,ChIJr_dsZNQr8zkRlZxYi71D8Pk,https://www.google.com/maps/place/?q=place_id:ChIJr_dsZNQr8zkRlZxYi71D8Pk,part_384,2026-09-20 20:21:59,15328
Navjot advertisement & Marketing Services,Telemarketing Firms,Market,"Market, Advertising agency",824209,Bihar Circle,Patna HQ Region,Gaya Division,"Paraiya SO, Kapasiya BO, Khanetu BO",+91 82106 30315,N/A,5.0,1.0,"Domuhan-Bodhgaya Rd, near Hotel MK, Plzaza, Bodh Gaya, Bihar 824231",824209,24.6965491,84.97626,ChIJYWtUVJkt8zkRYcgfEZHZNfY,https://www.google.com/maps/place/?q=place_id:ChIJYWtUVJkt8zkRYcgfEZHZNfY,part_384,2026-09-20 20:21:59,15329
Auralgix Technologies,Telemarketing Firms,Software company,"Software company, Design agency, Internet marketing service, Web hosting company, Website designer",824209,Bihar Circle,Patna HQ Region,Gaya Division,"Paraiya SO, Kapasiya BO, Khanetu BO",+91 87893 24115,https://auralgix.com/,,,"near H P gas agency, Mustafabad, Gaya, Bihar 823001",Mustafabad,24.782813299999997,84.9793582,ChIJhf0bhZYr8zkR6qkAYr1-9aM,https://www.google.com/maps/place/?q=place_id:ChIJhf0bhZYr8zkR6qkAYr1-9aM,part_384,2026-09-20 20:21:59,15330
