business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Animal Planet,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Aquarium shop, Bird shop, Dog breeder, Dog day care center, Kennel, Pet groomer, Pet store, Pet trainer, Tropical fish store",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 91357 49944,https://animal-planet.grexa.site/,4.4,,"Gautam Buddha Rd, opp. Sai nursing home, New Godwon, New godown, Gaya, Bihar 823001","New Godwon, New godown",24.8039278,85.00964499999999,ChIJeYLJ6xYq8zkRZvYqd_ObscE,https://www.google.com/maps/place/?q=place_id:ChIJeYLJ6xYq8zkRZvYqd_ObscE,part_384,2026-09-20 20:19:20
पशु दवाखाना & PET CARE,Pet Food and Pet Supplies,Oriental medicine store,Oriental medicine store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 73609 22057,N/A,5.0,,"kali mandir, Purani Chatti Rd, Purani Chatti Mohalla, Sherghati, Bihar 824211",Purani Chatti Mohalla,24.5592777,84.78958879999999,ChIJUVge_-TPjDkRQV5DgfGv0rI,https://www.google.com/maps/place/?q=place_id:ChIJUVge_-TPjDkRQV5DgfGv0rI,part_384,2026-09-20 20:19:20
Pk medical store animal medical,Pet Food and Pet Supplies,Pharmacy,Pharmacy,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"HR92+3JH, Sherghati, Bihar 824211",824206,24.5676758,84.80162279999999,ChIJx7NUOwDPjDkRmm6H-b1PK_U,https://www.google.com/maps/place/?q=place_id:ChIJx7NUOwDPjDkRmm6H-b1PK_U,part_384,2026-09-20 20:19:20
Easy Pick Pet Shop,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet store",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 81025 46990,http://easypick.co.in/,4.9,,"Gandhi Path, Dharamshala Rd, Hetimpur, Sasaram, Pratapganj, Bihar 821115",Hetimpur,24.952831399999997,84.0189596,ChIJ0fB1Hq2xjTkRVavjOEbQloY,https://www.google.com/maps/place/?q=place_id:ChIJ0fB1Hq2xjTkRVavjOEbQloY,part_384,2026-09-20 20:19:20
Mahek traders gud dukan,Pet Food and Pet Supplies,Animal feed store,Animal feed store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"Naya bazar, Sherghati, Bihar 824211",Naya bazar,24.5660283,84.8031902,ChIJYwREdsPPjDkRH71c2vbaQbw,https://www.google.com/maps/place/?q=place_id:ChIJYwREdsPPjDkRH71c2vbaQbw,part_384,2026-09-20 20:19:20
Pets Shop And Farm And Aquarium Accessories,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"HPRG+JVJ, chandiasthan, Sherghati, Jewainia, Bihar 824211",chandiasthan,24.591588899999998,84.7271528,ChIJo5rXkyLFjDkRK6C6NUIM9MI,https://www.google.com/maps/place/?q=place_id:ChIJo5rXkyLFjDkRK6C6NUIM9MI,part_384,2026-09-20 20:19:20
The Animal House,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,3.3,,"HQ4J+67H, Sherghati, Bihar 824211",824206,24.5555727,84.7807273,ChIJdXZZ2qzPjDkR1gurstu_S1c,https://www.google.com/maps/place/?q=place_id:ChIJdXZZ2qzPjDkR1gurstu_S1c,part_384,2026-09-20 20:19:20
Minza Pets,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"Masjid Gali, Sherghati, Bihar 824211",824206,24.5649615,84.7990773,ChIJp-gW6fnPjDkRvXjJlJRnj5c,https://www.google.com/maps/place/?q=place_id:ChIJp-gW6fnPjDkRvXjJlJRnj5c,part_384,2026-09-20 20:19:20
Siso,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"HPRG+JVH, Jewainia, Bihar 824211",824206,24.591569699999997,84.7272358,ChIJR9eW7uPEjDkRJlJQP24zOkI,https://www.google.com/maps/place/?q=place_id:ChIJR9eW7uPEjDkRJlJQP24zOkI,part_384,2026-09-20 20:19:20
Sangam Medical Hall,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 90652 40159,N/A,,,"Kaudiyari, near Bus Stand, Aurangabad, Kauriari, Bihar 824202",824206,24.5841378,84.37895499999999,ChIJY_Uvc3HxjDkRVvxglne1XXM,https://www.google.com/maps/place/?q=place_id:ChIJY_Uvc3HxjDkRVvxglne1XXM,part_384,2026-09-20 20:19:20
Pet's Planet Gaya,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 78707 90380,N/A,4.6,,"near devi mandir, opposite veterinary hospital, Bisar Talab, Jaiprakash Nagar, Gaya, Bihar 823001","Bisar Talab, Jaiprakash Nagar",24.7895112,85.00326659999999,ChIJ1weHsCUr8zkR8vUFwCA2GwM,https://www.google.com/maps/place/?q=place_id:ChIJ1weHsCUr8zkR8vUFwCA2GwM,part_384,2026-09-20 20:19:20
Pet's Lover Pet shop,Pet Food and Pet Supplies,Pet store,Pet store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 79924 89543,N/A,4.6,,"new ajit medical, Malahchak more, near Moti Mahal deluxe restaurant, Jehanabad, Bihar 804408",824206,25.2159746,84.98994069999999,ChIJiy58RxC18jkRgzGeBkgQSuU,https://www.google.com/maps/place/?q=place_id:ChIJiy58RxC18jkRgzGeBkgQSuU,part_384,2026-09-20 20:19:20
