business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr.Ravi Kumar clinic,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,https://www.canva.com/design/DAGfctSDnAM/y_-OkEIj8sDBrUvsdUTGmw/view?utm_content=DAGfctSDnAM&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hece8ef14f0,5.0,1.0,"MH78+7G9, Suggi Village Rd, Madanpur, Bihar 824208",824208,24.663097999999998,84.5664266,ChIJ9RQdTgDnjDkR_PtDJ2_PtEo,https://www.google.com/maps/place/?q=place_id:ChIJ9RQdTgDnjDkR_PtDJ2_PtEo,part_384,2026-09-20 20:20:49
Dhanvantri clinic and lakwa asptal,Clinics,Hospital,Hospital,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",+91 62037 31686,N/A,5.0,2.0,"Hospital road, Sarswatimohla, Madanpur, Bihar 824208",Sarswatimohla,24.653943299999998,84.58421179999999,ChIJNSOwqqPnjDkRQAVERFgqUFM,https://www.google.com/maps/place/?q=place_id:ChIJNSOwqqPnjDkRQAVERFgqUFM,part_384,2026-09-20 20:20:49
Arogyam Clinics,Clinics,Hospital,Hospital,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,,,"Arogyam Bhawan sanghat road, dist, Madanpur, Bihar 824208",824208,24.6553003,84.57724329999999,ChIJv4dm5mjnjDkR3cAgzMPftx4,https://www.google.com/maps/place/?q=place_id:ChIJv4dm5mjnjDkR3cAgzMPftx4,part_384,2026-09-20 20:20:49
Dr. Mojahid Hussain clinic (Health Clinic),Clinics,Hospital,Hospital,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,4.8,6.0,"MH9X+33V, Amas - Naudiha - Kasma Rd, Khiriawan, Bihar 824208",824208,24.6677298,84.5976577,ChIJvUNVISLnjDkRe5vGN6HLmd0,https://www.google.com/maps/place/?q=place_id:ChIJvUNVISLnjDkRe5vGN6HLmd0,part_384,2026-09-20 20:20:49
डॉ प्रमोद कुमार मिश्रा,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,5.0,1.0,"MH4R+89R, Amas - Naudiha - Kasma Rd, Madanpur, Bihar 824208",824208,24.6558712,84.5909049,ChIJc4vA0pvnjDkRxii1k4eufxc,https://www.google.com/maps/place/?q=place_id:ChIJc4vA0pvnjDkRxii1k4eufxc,part_384,2026-09-20 20:20:49
Karuna shechen clinic Madanpur,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,https://karuna-shechen.org/en/,5.0,1.0,"MH3V+2J8, Madanpur, Bihar 824208",824208,24.652533299999998,84.5940681,ChIJIwzkw6LnjDkR5nTwP2C_ttA,https://www.google.com/maps/place/?q=place_id:ChIJIwzkw6LnjDkR5nTwP2C_ttA,part_384,2026-09-20 20:20:49
Mohini clinic,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,,,"Nagmatiya post office, Madanpur, Banian, Bihar 824208",824208,24.662957499999997,84.56106249999999,ChIJkUAwQQDnjDkRF5WmIIg2QD4,https://www.google.com/maps/place/?q=place_id:ChIJkUAwQQDnjDkRF5WmIIg2QD4,part_384,2026-09-20 20:20:49
Pihu health care clinic,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,,,"HHVP+92H At men rod, parasdih, Bankey Bazar, Umga, Bihar PIN code 824217",parasdih,24.593428499999998,84.5850997,ChIJXYiVPgDpjDkRr5ATkd7VCYg,https://www.google.com/maps/place/?q=place_id:ChIJXYiVPgDpjDkRr5ATkd7VCYg,part_384,2026-09-20 20:20:49
Aradhya clinic Pirthu,Clinics,Hospital,Hospital,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,5.0,2.0,"PH2R+J6M, Road, Madanpur, Pirthu, Bihar 824208",824208,24.7015909,84.5905519,ChIJ59DQpnPnjDkRirvV1QF9blc,https://www.google.com/maps/place/?q=place_id:ChIJ59DQpnPnjDkRirvV1QF9blc,part_384,2026-09-20 20:20:49
Clinic,Clinics,Hospital,Hospital,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,,,"MH78+QG8, Suggi Village Rd, Madanpur, Banian, Bihar 824208",824208,24.664424999999998,84.5663404,ChIJS_IALADnjDkRoej3E7KpP58,https://www.google.com/maps/place/?q=place_id:ChIJS_IALADnjDkRoej3E7KpP58,part_384,2026-09-20 20:20:49
Brothers diagnostic centre madanpur,Clinics,Diagnostic center,Diagnostic center,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,4.0,2.0,"Singhpuri Sanghat Rd, Madanpur, Aurangabad, Bihar 824208",824208,24.6533469,84.5820505,ChIJ_zscU2fnjDkRK8zEPvSrv6M,https://www.google.com/maps/place/?q=place_id:ChIJ_zscU2fnjDkRK8zEPvSrv6M,part_384,2026-09-20 20:20:49
Managalam Clinic,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",+91 62045 71166,N/A,,,"Singhpuri Sanghat Rd, in front of jai hind public school, Sarswatimohla, Madanpur, Bihar 824208",Sarswatimohla,24.653371,84.5821567,ChIJY4vcksTnjDkR87Ysj5phDFw,https://www.google.com/maps/place/?q=place_id:ChIJY4vcksTnjDkR87Ysj5phDFw,part_384,2026-09-20 20:20:49
Dr Baijnath Singh,Clinics,Hospital,Hospital,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,2.9,13.0,"Sarswatimohla, Madanpur, Bihar 824208",Sarswatimohla,24.6538197,84.58305779999999,ChIJqaqqqqXnjDkREnQjjekrMxI,https://www.google.com/maps/place/?q=place_id:ChIJqaqqqqXnjDkREnQjjekrMxI,part_384,2026-09-20 20:20:49
नवजात शिशु केयर,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,4.0,1.0,"MH2G+V9C, Dev Madanpur Rd, Sarswatimohla, Madanpur, Bihar 824208",Sarswatimohla,24.652196699999998,84.5758822,ChIJr71DtbrnjDkRiw4VpPaBGwU,https://www.google.com/maps/place/?q=place_id:ChIJr71DtbrnjDkRiw4VpPaBGwU,part_384,2026-09-20 20:20:49
Anam Homoeo Clinic,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",+91 70334 82468,N/A,,,"Grand Trunk Rd, Madanpur, Bihar 824208",824208,24.6558894,84.5850672,ChIJXyTjYG3njDkRn7cO0C6Cy6Q,https://www.google.com/maps/place/?q=place_id:ChIJXyTjYG3njDkRn7cO0C6Cy6Q,part_384,2026-09-20 20:20:49
Dr BRC Clinic @home madanpur araria,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,5.0,1.0,"MH4G+4VH, Madanpur, Bihar 824208",824208,24.6553003,84.57724329999999,ChIJ8ymoMwDnjDkR7JmSdQet8lg,https://www.google.com/maps/place/?q=place_id:ChIJ8ymoMwDnjDkR7JmSdQet8lg,part_384,2026-09-20 20:20:49
डॉ. शैलेन्द्र कुमार,Clinics,Medical clinic,Medical clinic,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",+91 93049 57225,N/A,,,"पोस्ट ऑफिस के बगल में, थाना रोड, मदनपुर (औरंगाबाद, Madanpur, Bihar 824208",824208,24.6547186,84.5860483,ChIJx4nZbpjnjDkRIi8bgdn4TFU,https://www.google.com/maps/place/?q=place_id:ChIJx4nZbpjnjDkRIi8bgdn4TFU,part_384,2026-09-20 20:20:49
MOTHER CARE CLINIC,Clinics,Gynecologist,Gynecologist,824208,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Madanpur SO AurangabadBH, Ghatrain BO, Mahuawan BO",N/A,N/A,,,"near Paani Tanki, Banglapar, Khiriawan, Reganian, Bihar 824219",Banglapar,24.6261847,84.6264333,ChIJDY1IIwjnjDkRywZbx7zVFzA,https://www.google.com/maps/place/?q=place_id:ChIJDY1IIwjnjDkRywZbx7zVFzA,part_384,2026-09-20 20:20:49
