business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bihar Restaurant,Restaurant Chains,Family restaurant,Family restaurant,824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",N/A,N/A,5.0,,"MVG3+32V, near AANVI AUTOMOBILESRampur, Jalalpur, Dalsinghsarai, Gospur, Bihar 848114",Jalalpur,25.675062,85.85249449999999,ChIJxwsHXgCL7TkRqeP_bPgd0ak,https://www.google.com/maps/place/?q=place_id:ChIJxwsHXgCL7TkRqeP_bPgd0ak,part_384,2026-09-20 20:22:07
The Picante,Restaurant Chains,Restaurant,Restaurant,824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 76338 61920,N/A,4.5,1038.0,"H3HX+H96, more, Anisabad, Patna, Bihar 800002",Anisabad,25.578986999999998,85.09836899999999,ChIJHedfUPep8jkRdi9Ilus49b4,https://www.google.com/maps/place/?q=place_id:ChIJHedfUPep8jkRdi9Ilus49b4,part_384,2026-09-20 20:22:08
Tasty Kitchen,Restaurant Chains,Modern Indian restaurant,"Modern Indian restaurant, Chinese restaurant, Indian Muslim restaurant, North Indian restaurant, Restaurant",824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 62067 73176,N/A,4.5,2148.0,"Umber House, Danapur - Khagaul Rd, opposite Ford showroom, Saguna More, Kaliket Nagar, Danapur, Patna, Bihar 801503","Saguna More, Kaliket Nagar",25.613870799999997,85.0423911,ChIJbd-Z2f5X7TkRGM1SoruHgHg,https://www.google.com/maps/place/?q=place_id:ChIJbd-Z2f5X7TkRGM1SoruHgHg,part_384,2026-09-20 20:22:08
Nazeer Foods,Restaurant Chains,Mughlai restaurant,Mughlai restaurant,824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 97177 30533,https://www.nazeerfoods.com/,4.6,1267.0,"1st floor, Maa Durga Complex, Nears Girls High School, Kachahari Gali, Durgasthan, Bihar Sharif, Bihar 803101",Durgasthan,25.206363399999997,85.52366719999999,ChIJ7-TD_tj18jkRzT1E46N9L9E,https://www.google.com/maps/place/?q=place_id:ChIJ7-TD_tj18jkRzT1E46N9L9E,part_384,2026-09-20 20:22:08
Hot and cold,Restaurant Chains,Fast food restaurant,Fast food restaurant,824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",N/A,N/A,3.8,1851.0,"6G39+Q3M, Durgasthan, Bihar Sharif, Bihar 803101",Durgasthan,25.2045726,85.51767339999999,ChIJk_ZUvgnz8jkR4KGHDNZbTBk,https://www.google.com/maps/place/?q=place_id:ChIJk_ZUvgnz8jkR4KGHDNZbTBk,part_384,2026-09-20 20:22:08
New Hungry Hope,Restaurant Chains,Restaurant,"Restaurant, Banquet hall, Guest house",824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 612 354 4283,N/A,4.3,109.0,"Danapur - Khagaul Rd, near Vijay Path, near Danapur Station, Mustafapur, Patna, Bihar 801503",Mustafapur,25.5991574,85.0426337,ChIJSXr-ufhX7TkRM6dNu1yYJAw,https://www.google.com/maps/place/?q=place_id:ChIJSXr-ufhX7TkRM6dNu1yYJAw,part_384,2026-09-20 20:22:08
TERA & MERA RESTAURANT,Restaurant Chains,Restaurant,"Restaurant, Chinese restaurant",824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 81024 76228,N/A,4.3,151.0,"1st floor, Kamla Market, Ram Lakhan Path, West Ashok Nagar, Ram Lakhan Path, Kankarbagh, Mithapur, Patna, Bihar 800020","West Ashok Nagar, Ram Lakhan Path, Kankarbagh, Mithapur",25.5866349,85.1433624,ChIJXY1P5nhZ7TkR-GuDWRsxWQk,https://www.google.com/maps/place/?q=place_id:ChIJXY1P5nhZ7TkR-GuDWRsxWQk,part_384,2026-09-20 20:22:08
Kapil Dev's Elevens,Restaurant Chains,Indian restaurant,"Indian restaurant, Chinese restaurant, Mediterranean restaurant, Mexican restaurant, Non Vegetarian Restaurant, Vegetarian restaurant",824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",N/A,https://amzn.openinapp.co/so1eu,4.2,2350.0,"Ankit Chandradeep Complex, Sri Niwas Path, Bander Bagicha, Fraser Road Area, Patna, Bihar 800001","Bander Bagicha, Fraser Road Area",25.6089907,85.1366934,ChIJgfRbuPR-DRQR0CQ3YB2MlEA,https://www.google.com/maps/place/?q=place_id:ChIJgfRbuPR-DRQR0CQ3YB2MlEA,part_384,2026-09-20 20:22:08
The Food Junction,Restaurant Chains,Restaurant,Restaurant,824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 70700 87066,http://www.thefoodjuction.com/,3.8,25.0,"Ramjaipal, Bailey Rd, Rupaspur, Nehru Path, More, Danapur, Patna, Bihar 801503","Rupaspur, Nehru Path, More, Kaliket Nagar",25.6112532,85.0563961,ChIJR7kFJXpX7TkRj34eWQ0VoSY,https://www.google.com/maps/place/?q=place_id:ChIJR7kFJXpX7TkRj34eWQ0VoSY,part_384,2026-09-20 20:22:08
Afraa,Restaurant Chains,Indian restaurant,Indian restaurant,824210,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Raniganj SO Gaya, Bara BO, Bedauli BO",+91 62923 10680,N/A,4.3,1502.0,"2nd Floor, City centre mall, Christian Colony, Chajju Bagh, Patna, Bihar 800001","Christian Colony, Chajju Bagh",25.6179331,85.1355394,ChIJg0kPo7FZ7TkRzDUba9LYv-U,https://www.google.com/maps/place/?q=place_id:ChIJg0kPo7FZ7TkRzDUba9LYv-U,part_384,2026-09-20 20:22:08
