business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SurpriseV Balloon Decoration in Ghaziabad | Birthday Party Decoration Noida & Delhi NCR,Balloon Decorator,Event planner,"Event planner, Balloon artist, Service establishment",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 98104 16801,https://surprisev.com/,4.9,119.0,"SurpriseV Balloon Decoration in Ghaziabad | Birthday Party Decoration Noida & Delhi NCR, 824220, India",824220,28.6315602,77.2291652,ChIJ-SNAXlKq0YIRf5opfGIucxw,https://www.google.com/maps/place/?q=place_id:ChIJ-SNAXlKq0YIRf5opfGIucxw,part_384,2026-09-20 20:25:07
A1 Balloon & Flower Decoration,Balloon Decorator,Event planner,Event planner,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 85719 78539,https://a1eventplanner.com/,4.9,31.0,"Mama bhanja chowk, Shivaji Colony, Balmiki Basti, Sonipat, Haryana 131001","Shivaji Colony, Balmiki Basti",28.9948467,77.02450689999999,ChIJJYhzfFuxDTkRwBxB-IjO8W0,https://www.google.com/maps/place/?q=place_id:ChIJJYhzfFuxDTkRwBxB-IjO8W0,part_384,2026-09-20 20:25:07
Golu Baloon Decoration,Balloon Decorator,Event planner,Event planner,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 62035 10765,https://www.instagram.com/golu_balloon_decoration/profilecard/?igsh=NXFnY2kwdnhpc29q,4.9,32.0,"Nirala Nagar, Begusarai, Bihar 851101",Nirala Nagar,25.4158644,86.1261474,ChIJDYwOUDwb8jkRV1W1VslyAnk,https://www.google.com/maps/place/?q=place_id:ChIJDYwOUDwb8jkRV1W1VslyAnk,part_384,2026-09-20 20:25:07
Dev Balloons Decorator,Balloon Decorator,Event management company,"Event management company, Service establishment",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",N/A,N/A,5.0,104.0,"Dev Balloons Decorator, 824220, India",824220,21.0680074,82.7525294,ChIJFZHcyudJCTkRShmnEeidDQY,https://www.google.com/maps/place/?q=place_id:ChIJFZHcyudJCTkRShmnEeidDQY,part_384,2026-09-20 20:25:07
Shivu Decoration & Party Maker,Balloon Decorator,Balloon artist,Balloon artist,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 99971 66215,N/A,4.8,259.0,"Tilak Nagar, Khurbura Mohalla, Dehradun, Uttarakhand 248001","Tilak Nagar, Khurbura Mohalla",30.322592999999998,78.0296702,ChIJi9-fYNwpCTkR9xHRaTMncMA,https://www.google.com/maps/place/?q=place_id:ChIJi9-fYNwpCTkR9xHRaTMncMA,part_384,2026-09-20 20:25:07
R.D Balloon & Flower Decoration,Balloon Decorator,Balloon artist,Balloon artist,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 97188 42060,http://www.subhcelebration.com/,5.0,291.0,"F, 292, F Block, Mangolpuri, Delhi, 110083","F Block, Mangolpuri",28.6949768,77.0960547,ChIJ5SNroOsFDTkRFbBBkjv9Ru4,https://www.google.com/maps/place/?q=place_id:ChIJ5SNroOsFDTkRFbBBkjv9Ru4,part_384,2026-09-20 20:25:07
Monu Dj & Tent Decorations,Balloon Decorator,Balloon artist,"Balloon artist, Balloon store, Event management company, Event planner, Florist, Flower delivery, Flower designer, Party planner, Party store, Tent House Supplier",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 98114 12621,N/A,4.9,332.0,"82, Govind khand, Jhilmil Colony, Delhi, 110095","Govind khand, Jhilmil Colony",28.6720634,77.3101142,ChIJE3qUE7v7DDkRrB8FPjiRrAk,https://www.google.com/maps/place/?q=place_id:ChIJE3qUE7v7DDkRrB8FPjiRrAk,part_384,2026-09-20 20:25:07
Balloon magic,Balloon Decorator,Event planner,"Event planner, Balloon artist, Balloon store, Children's party service, Entertainment agency, Event management company, Helium gas supplier, Party equipment rental service, Party planner, Party store",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 99149 25565,https://bmdecoration.com/,5.0,,"89 Vcity, Bhabat Rd, Zirakpur, Punjab 140603",824220,30.6519448,76.7980431,ChIJsbvynArrDzkRtsgFL31lk4o,https://www.google.com/maps/place/?q=place_id:ChIJsbvynArrDzkRtsgFL31lk4o,part_384,2026-09-20 20:25:08
Saanvi Balloon Decoration,Balloon Decorator,Event management company,Event management company,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 98992 27620,N/A,5.0,,"G, 341, Street No. 5, Adhyapak Nagar, West Cabin Block, Nangloi, Delhi, 110041","Adhyapak Nagar, West Cabin Block, Nangloi",28.6838165,77.036729,ChIJpwXDvHgFDTkRGB8mggto3FM,https://www.google.com/maps/place/?q=place_id:ChIJpwXDvHgFDTkRGB8mggto3FM,part_384,2026-09-20 20:25:08
Mj Decorators - Balloon Decoration & Event Planner,Balloon Decorator,Balloon artist,Balloon artist,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 83938 15249,N/A,4.9,,"Jhanda Bazar, Tilak Nagar, Khurbura Mohalla, Dehradun, Uttarakhand 248001","Jhanda Bazar, Tilak Nagar, Khurbura Mohalla",30.3203291,78.0311131,ChIJ8cXwxY4pCTkR0wD8St0cnME,https://www.google.com/maps/place/?q=place_id:ChIJ8cXwxY4pCTkR0wD8St0cnME,part_384,2026-09-20 20:25:08
Shine Balloon Decoration,Balloon Decorator,Event management company,"Event management company, Wedding planner",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 90412 24906,N/A,4.9,,"Nabha Sahib, near Chandigarh, Zirakpur, Punjab 140603",824220,30.6347483,76.7984726,ChIJzzglCI_rDzkRuUXRDcuSBu4,https://www.google.com/maps/place/?q=place_id:ChIJzzglCI_rDzkRuUXRDcuSBu4,part_384,2026-09-20 20:25:08
