business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Generator wala rent sale purchase Rent repairing,Generator Sales and Rental,Mechanical engineer,Mechanical engineer,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 98969 99495,N/A,4.9,43,"Railway Rd, Ganaur, Haryana 131101",824220,29.1417595,77.0353088,ChIJYdDMFwu3DTkRNK-bq_eR704,https://www.google.com/maps/place/?q=place_id:ChIJYdDMFwu3DTkRNK-bq_eR704,part_384,2026-09-20 20:25:18
Perfect Power Solutions-Generator On Rent In Baddi-Generator On Rent In Pinjore-Generator On Hire In Shimla-Solan,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 92155 93248,http://www.silentgeneratoronrent.com/,5.0,13,"near Railway Crossing, Villages, Thakurdass, Manakpur, Pinjore, Haryana 134102","Villages, Thakurdass",30.795612199999997,76.8929935,ChIJP3R66x6NDzkRXQnuyu-6hZw,https://www.google.com/maps/place/?q=place_id:ChIJP3R66x6NDzkRXQnuyu-6hZw,part_384,2026-09-20 20:25:19
Top Gear generator sale,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 99148 15975,N/A,5.0,14,"Krishna enclave, Jhampur, Punjab 160014",824220,30.767483499999997,76.70912,ChIJsVHHrGLxDzkR_Z5NYXhf49M,https://www.google.com/maps/place/?q=place_id:ChIJsVHHrGLxDzkR_Z5NYXhf49M,part_384,2026-09-20 20:25:19
NP GENERATORS PVT LTD,Generator Sales and Rental,Electric generator shop,"Electric generator shop, Electronics hire shop",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 78274 72869,https://www.npgenerators.com/,5.0,39,"Plot No B-32/2, Tahirpur Rd, Pocket R, Dilshad Garden, New Delhi, Delhi, 110095","Pocket R, Dilshad Garden",28.6856777,77.3177745,ChIJh41dBcL7DDkRRS8ADVn615c,https://www.google.com/maps/place/?q=place_id:ChIJh41dBcL7DDkRRS8ADVn615c,part_384,2026-09-20 20:25:19
CHADHA GENERATOR PRIVATE LIMITED,Generator Sales and Rental,Electric generator shop,"Electric generator shop, Exporter, Manufacturer",824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 90342 80002,http://www.chadhagenerators.com/,4.5,239,"Pipli Road, near Police Station, Ladwa, Haryana 136132",824220,29.9939708,77.0375128,ChIJOzVKx2tbDjkRHO_BDoBu1nY,https://www.google.com/maps/place/?q=place_id:ChIJOzVKx2tbDjkRHO_BDoBu1nY,part_384,2026-09-20 20:25:20
Kataria Generator Rental Services - Generator On Rent In Chnadigarh - Generator On Rent In Mohali - Generator Rent Zirakpur,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 92563 57121,N/A,5.0,6,"Village - Nada, Nayagaon, Chandigarh, 160103",Village - Nada,30.7707873,76.79607879999999,ChIJp-moTJbzDzkRZ1tc6NR1rvc,https://www.google.com/maps/place/?q=place_id:ChIJp-moTJbzDzkRZ1tc6NR1rvc,part_384,2026-09-20 20:25:20
Generator sales and purchasing Rent,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 98911 69654,N/A,4.1,19,"Shop no 45, Rangpuri village, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037","Mahipalpur Extension, Mahipalpur",28.543793899999997,77.1317045,ChIJJ9OJ0DsdDTkRBRFF72wYrgc,https://www.google.com/maps/place/?q=place_id:ChIJJ9OJ0DsdDTkRBRFF72wYrgc,part_384,2026-09-20 20:25:20
Generator on Rent Nagla,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 98159 22494,N/A,4.9,48,"Vill, Old Kalka Ambala Road, near Zirakpur, Dhakoli, Nagla, Zirakpur, Punjab 160104",Dhakoli,30.6298963,76.84505229999999,ChIJkxAlUw6VDzkR-QR_dRgtB5A,https://www.google.com/maps/place/?q=place_id:ChIJkxAlUw6VDzkR-QR_dRgtB5A,part_384,2026-09-20 20:25:20
Om Generator,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 88513 98082,N/A,5.0,11,"F, 317, Gali No. 7, Block F, Ganga Vihar, Gokalpur, Delhi, 110094","Block F, Ganga Vihar, Gokalpur",28.7078959,77.2869888,ChIJORkN5cr7DDkRogrSPJRDETc,https://www.google.com/maps/place/?q=place_id:ChIJORkN5cr7DDkRogrSPJRDETc,part_384,2026-09-20 20:25:20
India Generator Co. - Generator Sale Purchase and Monthly Rent / Hire in Dehradun and Uttarakhand,Generator Sales and Rental,Electric generator shop,Electric generator shop,824220,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Dobhi SO, Amarut BO, Babahandeo BO",+91 93111 53376,https://www.indiagenerator.com/,5.0,31,"GREEN PARK, opposite DUN SCHOOL, Rampur, Roorkee, Uttarakhand 247667",Rampur,29.8845754,77.8813626,ChIJXW6I8fS1DjkRHxHPriITemM,https://www.google.com/maps/place/?q=place_id:ChIJXW6I8fS1DjkRHxHPriITemM,part_384,2026-09-20 20:25:20
