business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
COMRK COMPUTER EDUCATION PVT LTD,Computer Training Institute,Training center,Training center,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 90066 87219,N/A,4.9,39.0,"Bus Stand, R. K. COMPUTER CENTER Delha, near Shivraj Hospital In Fornt Of Indu Biology Class, Gaya, Bihar 823002",Jagdeo Nagar,24.8022045,84.99057359999999,ChIJqXDmQn4r8zkRVnoEAYG97fc,https://www.google.com/maps/place/?q=place_id:ChIJqXDmQn4r8zkRVnoEAYG97fc,part_384,2026-09-20 20:27:09
Computer Skill Education,Computer Training Institute,Computer training school,Computer training school,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 94302 86102,https://csegaya.com/,4.9,137.0,"Mirza ghalib College, ke Piche, White House Compound, Judges Colony, Gaya, Bihar 823001","White House Compound, Judges Colony",24.7907512,84.9926127,ChIJr50wm04r8zkRXyhMoQPVpRg,https://www.google.com/maps/place/?q=place_id:ChIJr50wm04r8zkRXyhMoQPVpRg,part_384,2026-09-20 20:27:09
ABHASH Computer Classes,Computer Training Institute,Computer training school,Computer training school,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 90060 29138,https://youtube.com/@abhashcomputerclasses?si=4axZMfuJi0hLD6dr,4.9,436.0,"Durga septic tank agency Ganga Mahal, Sinha Bhawan, Loyala convent school, Tootwari Rd, New Godown, Gaya, Bihar 823001",New Godown,24.8047097,85.0127827,ChIJkfDtoBAq8zkRROhUwb-5kQw,https://www.google.com/maps/place/?q=place_id:ChIJkfDtoBAq8zkRROhUwb-5kQw,part_384,2026-09-20 20:27:09
Horizon Computer Education,Computer Training Institute,Computer training school,Computer training school,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 93868 02672,http://horizongaya.com/,3.6,91.0,"Gautam Buddha Rd, Chand Chaura, Gaya, Bihar 823001",Chand Chaura,24.7788915,85.00476189999999,ChIJtzmT0TUq8zkRKW47vh8Iesk,https://www.google.com/maps/place/?q=place_id:ChIJtzmT0TUq8zkRKW47vh8Iesk,part_384,2026-09-20 20:27:09
AR Computer Institute,Computer Training Institute,Computer training school,Computer training school,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 99340 55745,https://arcomputer.co.in/,4.3,58.0,"Delha, A, R. Palace Complex, Tekari Rd, Jagdeo Nagar, Kharkhura, Gaya, Bihar 823002","Jagdeo Nagar, Kharkhura",24.8017839,84.9927695,ChIJf9Y3o2gq8zkRqT3_ddmznas,https://www.google.com/maps/place/?q=place_id:ChIJf9Y3o2gq8zkRqT3_ddmznas,part_384,2026-09-20 20:27:09
Computer's Hub,Computer Training Institute,Computer networking service,Computer networking service,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 77639 19460,N/A,5.0,100.0,"Nutan Nagar, Jaiprakash Nagar, Gaya, Bihar 823001","Nutan Nagar, Jaiprakash Nagar",24.787375899999997,85.0012177,ChIJ8UZdLG4r8zkRA5IzJ5TfV5A,https://www.google.com/maps/place/?q=place_id:ChIJ8UZdLG4r8zkRA5IzJ5TfV5A,part_384,2026-09-20 20:27:09
Shri Satyam Computers Classes,Computer Training Institute,Coaching Center,Coaching Center,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 79797 31378,N/A,4.8,209.0,"Shuvam Sarkar Rd, opposite BIIT GS CLASSES, Jagdeo Nagar, Delha, Gaya, Bihar 823002",Jagdeo Nagar,24.801003299999998,84.99176299999999,ChIJSdVJSGIr8zkRQC26XgTpEZI,https://www.google.com/maps/place/?q=place_id:ChIJSdVJSGIr8zkRQC26XgTpEZI,part_384,2026-09-20 20:27:09
Kushal Yuva Program,Computer Training Institute,Training center,"Training center, Education center, Educational institution",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 88731 88880,http://www.skillmissionbihar.org/,4.8,179.0,"HOUSE NO 330, Meena Devi College, near ASHA SINHA MORE, A P Colony, Gaya, Bihar 823001",A P Colony,24.7870548,84.9841079,ChIJCWrzue4r8zkRLBCdHjBjjps,https://www.google.com/maps/place/?q=place_id:ChIJCWrzue4r8zkRLBCdHjBjjps,part_384,2026-09-20 20:27:10
Star Career Foundation Institute,Computer Training Institute,Software Training Institute,"Software Training Institute, Coaching Center, Community center, Computer consultant, Education center, Educational consultant, English language school, School center, Institute of technology, Training center",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 62014 91381,https://sites.google.com/view/scfinstitute/home,5.0,43.0,"Chotki Delha, kunja Mahto Colony, near metro bazar compound, Jagdeo Nagar, Gaya, Bihar 823002",Jagdeo Nagar,24.8002529,84.9965117,ChIJ2VUXSrUr8zkRPRXb5prgqNw,https://www.google.com/maps/place/?q=place_id:ChIJ2VUXSrUr8zkRPRXb5prgqNw,part_384,2026-09-20 20:27:10
Ananya Computer & Typing Institute,Computer Training Institute,Educational institution,Educational institution,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 91422 52725,N/A,5.0,61.0,"above Mahmanna Palace, Tekari Rd, Chhotki, Delha, Gaya, Bihar 823002","Chhotki, Jagdeo Nagar",24.8018777,84.99203469999999,ChIJWfzC0gEr8zkR4Ux0D-LdYGw,https://www.google.com/maps/place/?q=place_id:ChIJWfzC0gEr8zkR4Ux0D-LdYGw,part_384,2026-09-20 20:27:10
