business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jacky electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 96935 70653,N/A,4.8,51.0,"Infront of Khatangi, Fatehpur road, kothi, Gaya, Bhusanda, Bihar 823003",kothi,24.7809921,85.0246615,ChIJa354uysp8zkRCOHldZ7IHgU,https://www.google.com/maps/place/?q=place_id:ChIJa354uysp8zkRCOHldZ7IHgU,part_384,2026-09-20 20:26:59
V.I.P. View,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical supply store",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 94302 01267,N/A,5.0,2.0,"QXQM+4V4 Asha Singh More, A P Colony, Gaya, Bihar 823001",A P Colony,24.787765,84.9846975,ChIJ8Xsdqlkq8zkRbMNFlfL9Z4I,https://www.google.com/maps/place/?q=place_id:ChIJ8Xsdqlkq8zkRbMNFlfL9Z4I,part_384,2026-09-20 20:26:59
MOONLIGHTGAYA Philips Light Lounge,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Landscape lighting designer, Lighting consultant, Lighting contractor",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 82922 18222,N/A,5.0,501.0,"Rd Number 4, near Natraj Stationary Jr DPS, A P Colony, Gaya, Bihar 823001",A P Colony,24.7835741,84.9840722,ChIJnbmhITor8zkRkAWCreIDHBk,https://www.google.com/maps/place/?q=place_id:ChIJnbmhITor8zkRkAWCreIDHBk,part_384,2026-09-20 20:26:59
Sunny Light House,Electrical Goods and Lighting Store,Lighting store,Lighting store,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 95046 18177,N/A,5.0,8.0,"Jama Masjid Rd, opp. Choti Masjid, Sarai, Murarpur, Gaya, Bihar 823001",Murarpur,24.7988298,85.0109945,ChIJF2ppzxcq8zkRMtrUzMwGRV8,https://www.google.com/maps/place/?q=place_id:ChIJF2ppzxcq8zkRMtrUzMwGRV8,part_384,2026-09-20 20:26:59
Havells Galaxy - Brite Enterprises,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical equipment supplier",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 80 4698 4890,https://partners.havells.com/havells/gaya/Dhamitola/havells-galaxy-brite-enterprises-in-Dhamitola-gaya--2egpZw/home,3.9,31.0,"28, Tekari Rd, nearby Shri Panchmukhi Mahadev Mandir, Dhamitola, Dulhingunj, Gaya, Bihar 823001","Dhamitola, Dulhingunj",24.7987289,85.0067041,ChIJleaYtkEq8zkRqJJaddQYVps,https://www.google.com/maps/place/?q=place_id:ChIJleaYtkEq8zkRqJJaddQYVps,part_384,2026-09-20 20:26:59
Moon Light & Jhumar,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical equipment supplier, Electrical installation service, Lighting contractor, Home automation company, Wire and cable supplier",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,5.0,1.0,"BomPolice More, Gurudwara Rd, near Gol Bagicha, Gol Bagicha, Gaya, Bihar 823002",Gol Bagicha,24.8012783,85.0050904,ChIJ_6e0aHEr8zkRScGUuOFQPco,https://www.google.com/maps/place/?q=place_id:ChIJ_6e0aHEr8zkRScGUuOFQPco,part_384,2026-09-20 20:26:59
New Vicky Electric,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 62051 44613,N/A,,,"Shaheed Road, in front of Amul Showroom, Dulhingunj, Gaya, Bihar 823001",Dulhingunj,24.7967746,85.0097361,ChIJlW5_kD0q8zkRBoRVy6rzERI,https://www.google.com/maps/place/?q=place_id:ChIJlW5_kD0q8zkRBoRVy6rzERI,part_384,2026-09-20 20:26:59
बिजली घर गुलशन,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 91555 78723,https://www.facebook.com/gulshan.kunar.9155578723,5.0,7.0,"Chintamani Rd, Ramna, Gaya, Bihar 823001",Ramna,24.7820353,85.00709619999999,ChIJVwJV3Y8r8zkRevvtIw-1jjQ,https://www.google.com/maps/place/?q=place_id:ChIJVwJV3Y8r8zkRevvtIw-1jjQ,part_384,2026-09-20 20:26:59
NA,Electrical Goods and Lighting Store,Appliance store,"Appliance store, Chimney services, Countertop store, Electrical supply store, Electronics store, Electronics wholesaler, Home improvement store, Kitchen supply store",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,https://houseofsujata.com/store-locator/sujata-in-bihar-gaya-holding-no-28-39767,,,"Ward 9, Holding, No. 28, Bangla Asthan Temple Rd, Ambedakar Nagar, Panchaiti Akhara, Gaya, Bihar 823002","Ambedakar Nagar, Panchaiti Akhara",24.805759199999997,85.0090656,ChIJ1-IhZEIr8zkRUVPVQR2cT6s,https://www.google.com/maps/place/?q=place_id:ChIJ1-IhZEIr8zkRUVPVQR2cT6s,part_384,2026-09-20 20:26:59
Shiv Trading Co.,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Appliance parts supplier, Electrical appliance wholesaler",824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 93085 95227,N/A,5.0,5.0,"Balagi Market Balagi Market, East Of Dighi Tank, Chand Chaura, Gaya, Bihar 823001",Chand Chaura,24.7903168,85.0056118,ChIJg40KBI8r8zkRsDa4DShI4Hc,https://www.google.com/maps/place/?q=place_id:ChIJg40KBI8r8zkRsDa4DShI4Hc,part_384,2026-09-20 20:26:59
ADITI ELECTRIC & ONLINE CENTRE,Electrical Goods and Lighting Store,Electronics store,Electronics store,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 72505 35348,https://www.facebook.com/Aditielectricparsatari?mibextid=ZbWKwL,4.6,38.0,"Parsatari, Bagai, Jharkhand 825409",824232,24.5140164,85.2828969,ChIJ7faHoHwV8zkRS-YSi_az_nM,https://www.google.com/maps/place/?q=place_id:ChIJ7faHoHwV8zkRS-YSi_az_nM,part_384,2026-09-20 20:27:00
ELECTRIC POINT,Electrical Goods and Lighting Store,Electrical products wholesaler,Electrical products wholesaler,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,4.8,,"Opps cafe, 11 to 11, Golamber, Phulwari Sharif, thana, Patna, Bihar 801505","Golamber, Phulwari Sharif",25.5767456,85.0684437,ChIJ8WLyM9Gp8jkRomztTSET1os,https://www.google.com/maps/place/?q=place_id:ChIJ8WLyM9Gp8jkRomztTSET1os,part_384,2026-09-20 20:27:01
Buddha Electronic And Electrician,Electrical Goods and Lighting Store,Electrical installation service,Electrical installation service,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,5.0,,"Nagmatia Colony, Gaya, Bihar 823002",Nagmatia Colony,24.7913957,85.0002336,ChIJlXgRRgwr8zkRr8lpIsCtHVQ,https://www.google.com/maps/place/?q=place_id:ChIJlXgRRgwr8zkRr8lpIsCtHVQ,part_384,2026-09-20 20:27:01
