business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vivek Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,,,"बरतारा बाजार, Tankuppa, Aropur, Bihar 824232",824232,24.725144999999998,85.1382455,ChIJ0VTiTdcl8zkRlm0pKgCFnfU,https://www.google.com/maps/place/?q=place_id:ChIJ0VTiTdcl8zkRlm0pKgCFnfU,part_384,2026-09-20 20:26:51
Mahesh Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,3.8,,"J6JF+HR6, Andar Bajar, Fateh Pur, Bihar 824232",824232,24.6314141,85.2245124,ChIJRV5c29A88zkRRqvWgh6tyq0,https://www.google.com/maps/place/?q=place_id:ChIJRV5c29A88zkRRqvWgh6tyq0,part_384,2026-09-20 20:26:51
VIKASH MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 62066 18820,N/A,3.7,,"467, Gaya, Bihar 824232",824232,24.6349773,85.21954679999999,ChIJHYyXmc088zkRHWRLQoOP8YE,https://www.google.com/maps/place/?q=place_id:ChIJHYyXmc088zkRHWRLQoOP8YE,part_384,2026-09-20 20:26:51
Vinay Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 62009 09552,N/A,,,"2, Murle, Bihar 824232",824232,24.6506154,85.3150757,ChIJJXrF38AZ8zkR-ia4xUXXNzw,https://www.google.com/maps/place/?q=place_id:ChIJJXrF38AZ8zkR-ia4xUXXNzw,part_384,2026-09-20 20:26:51
Vishnu Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 62055 39771,N/A,5.0,,"Station, Tankuppa, Gaya, Bihar 824232",824232,24.7053829,85.1163284,ChIJT3CYV1ol8zkRd1zjY8xD8vs,https://www.google.com/maps/place/?q=place_id:ChIJT3CYV1ol8zkRd1zjY8xD8vs,part_384,2026-09-20 20:26:51
Janta medical stores,Medical Store / Pharmacy,Veterinary pharmacy,Veterinary pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,5.0,,"J6JF+272, Fateh Pur, Bihar 824232",824232,24.6300024,85.22314709999999,ChIJg5UWfKE98zkRCcTQPMxz6-8,https://www.google.com/maps/place/?q=place_id:ChIJg5UWfKE98zkRCcTQPMxz6-8,part_384,2026-09-20 20:26:51
Subodh medical store,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",+91 99736 22532,N/A,,,"P4GP+7QH, SH 70, Maher, Aropur, Bihar 824232",824232,24.725679,85.1369935,ChIJndHTNkIl8zkR_5IkQCmmHw0,https://www.google.com/maps/place/?q=place_id:ChIJndHTNkIl8zkR_5IkQCmmHw0,part_384,2026-09-20 20:26:51
Pandey Medical Agency,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,5.0,,"J66G+M3G, Dumari Chati, Bihar 824232",824232,24.611679499999997,85.2252121,ChIJx60p0eY88zkRdA1DbfjOk9w,https://www.google.com/maps/place/?q=place_id:ChIJx60p0eY88zkRdA1DbfjOk9w,part_384,2026-09-20 20:26:51
Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,,,"H37C+XG3, Mohanpur - Barachatti Rd, Baliyari, Bihar 824232",824232,24.564915499999998,85.07129789999999,ChIJ4Rk-TAAx8zkRORym21Fr0y8,https://www.google.com/maps/place/?q=place_id:ChIJ4Rk-TAAx8zkRORym21Fr0y8,part_384,2026-09-20 20:26:51
Satyam medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,824232,Bihar Circle,Patna HQ Region,Gaya Division,"Fatehpur SO Gaya, Akamba BO, Ambatari BO",N/A,N/A,4.0,,"J8P6+JMJ, SH 70, Murli, Bihar 824232",824232,24.636597599999998,85.3116392,ChIJjTixeQgX8zkRDNAGdNcpkV4,https://www.google.com/maps/place/?q=place_id:ChIJjTixeQgX8zkRDNAGdNcpkV4,part_384,2026-09-20 20:26:51
