business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SKYLINE DESIGN AND CONSTRUCTION ( Naksha Ghar),Architects,Architect,Architect,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 73196 64760,N/A,5.0,2.0,"Mahendra Genuine Spares, Bus Stand Bijuliya, N.H-33, Bus Stand Rd, near New, cantt, Ramgarh Cantonment, Jharkhand 829122",cantt,23.620315599999998,85.5188616,ChIJ_6xFlBT19DkRCjErdFQFVeI,https://www.google.com/maps/place/?q=place_id:ChIJ_6xFlBT19DkRCjErdFQFVeI,part_384,2026-09-20 20:33:07
Deva Buildcon,Architects,Education center,Education center,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 76440 01878,N/A,4.5,2.0,"JG3F+WJQ, NH-33, Ramgarh Cantonment, Ramgarh, Jharkhand 825101",825101,23.604865,85.5241061,ChIJIU3tFQD19DkRG7--1L0cQGE,https://www.google.com/maps/place/?q=place_id:ChIJIU3tFQD19DkRG7--1L0cQGE,part_384,2026-09-20 20:33:07
Architect Rukmini,Architects,Architect,Architect,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 91020 21529,N/A,4.6,11.0,"Takiya Mazar Rd, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.9993999,85.3593321,ChIJxTXhEhud9DkRAJirhPIhS5s,https://www.google.com/maps/place/?q=place_id:ChIJxTXhEhud9DkRAJirhPIhS5s,part_384,2026-09-20 20:33:07
Singularity Architects,Architects,Architect,"Architect, Architecture firm, Building designer, Interior designer, Landscape architect",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 72090 48111,http://singularityarchitects.com/?utm_source=gmb&utm_medium=referral,5.0,13.0,"A-286, ARJUN VAATIKA, A 301, Morabadi, Ranchi, Jharkhand 834008",Morabadi,23.3927803,85.3343364,ChIJqVqE1Tbh9DkRZRXnzxyIEC0,https://www.google.com/maps/place/?q=place_id:ChIJqVqE1Tbh9DkRZRXnzxyIEC0,part_384,2026-09-20 20:33:07
Home - Maker Hazaribag,Architects,Architect,Architect,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 90082 91455,http://www.ermanishk.com/,4.6,44.0,"first floor,no:58, Block G, Matwari Road, Gandhi Maidan, Suresh Colony, Hazaribagh, Jharkhand 825301","Gandhi Maidan, Suresh Colony",23.9955778,85.3773863,ChIJUzYTcaSe9DkRCY02qkJt5_I,https://www.google.com/maps/place/?q=place_id:ChIJUzYTcaSe9DkRCY02qkJt5_I,part_384,2026-09-20 20:33:07
ASHU ARCHITECHE AND SAFETY HUB,Architects,Architectural designer,Architectural designer,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,,,"BIRSA GRAM RUDIYA, TO, RAMPUR ROAD, near NH33, Neori, Ranchi, Jharkhand 835217",825101,23.4329267,85.43822759999999,ChIJhw2t8W_79DkR4kbAdN_h7qI,https://www.google.com/maps/place/?q=place_id:ChIJhw2t8W_79DkR4kbAdN_h7qI,part_384,2026-09-20 20:33:07
House of Arch - Architechture Firm In Ranchi,Architects,Architecture firm,"Architecture firm, Real Estate Builders & Construction Company, Interior designer",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 88099 65101,http://www.houseofarch.com/,4.8,51.0,"112, 1st floor, H. R. Complex, Kadru Main Rd, Kadru, Delatoli, Ranchi, Jharkhand 834002","Kadru, Delatoli",23.351197799999998,85.3169315,ChIJ2RfZ_r7f9DkRq2c1EgKl898,https://www.google.com/maps/place/?q=place_id:ChIJ2RfZ_r7f9DkRq2c1EgKl898,part_384,2026-09-20 20:33:07
Classio Interior & Architecture,Architects,Interior designer,Interior designer,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 76674 22832,https://classiointerior.com/,5.0,45.0,"9773+63W Sulakshana By Maurya Homes, Ranchi, Jharkhand 835303",825101,23.363062499999998,85.2526875,ChIJHbaCeaHf9DkRmFlyb8s_Khs,https://www.google.com/maps/place/?q=place_id:ChIJHbaCeaHf9DkRmFlyb8s_Khs,part_384,2026-09-20 20:33:07
Stavya Design & Construction,Architects,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 88251 66415,N/A,4.6,29.0,"By Pass Road, near Jha Thakur Fuel Pump, Maheshmara, Deoghar, Rampur, Jharkhand 814157",Maheshmara,24.495147799999998,86.7193681,ChIJQY4z8OEX8TkRX0LHAZKmPO4,https://www.google.com/maps/place/?q=place_id:ChIJQY4z8OEX8TkRX0LHAZKmPO4,part_384,2026-09-20 20:33:07
Poddar And Sons Construction Planner,Architects,Architecture firm,Architecture firm,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 70611 59130,https://www.poddarandsons.com/,4.4,,"2nd Floor, Chanakya Vihar, Krishna Bhawan, near Dutta Store, opp. Road Number 3, Ashok Nagar, Ranchi, Jharkhand 834002","Central Ashoka Colony, Harmu Housing Colony, Ashok Nagar",23.3508931,85.3043964,ChIJ47V1XFDg9DkRq7yIprDf4BM,https://www.google.com/maps/place/?q=place_id:ChIJ47V1XFDg9DkRq7yIprDf4BM,part_384,2026-09-20 20:33:07
