business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sikendra Motor Garage,Car Repair Workshop and Garage,Truck repair shop,Truck repair shop,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 74884 26503,N/A,4.0,,"NH-20, near Surendra Line Hotel, Kaitha, Ramgarh Cantonment, Jharkhand 829122",825101,23.6395789,85.55327179999999,ChIJ44C22nT19DkR410io52pFBE,https://www.google.com/maps/place/?q=place_id:ChIJ44C22nT19DkR410io52pFBE,part_384,2026-09-20 20:33:00
Ejaz Auto garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 76541 45881,N/A,5.0,,"Main road rajabangla, opposite side Central Bank of india, Ramgarh Cantonment, Jharkhand 829122",825101,23.6308333,85.51285589999999,ChIJA2EOVnPz9DkRsfTaIiAQDQI,https://www.google.com/maps/place/?q=place_id:ChIJA2EOVnPz9DkRsfTaIiAQDQI,part_384,2026-09-20 20:33:00
Jamuna Auto Parts Repairing Center,Car Repair Workshop and Garage,Two Wheeler Repair Shop,Two Wheeler Repair Shop,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,5.0,,"JGP7+92W, Thana chowk, beside hanuman mandir, Ramgarh Cantonment, Jharkhand 829122",825101,23.635977999999998,85.5125642,ChIJEarzd6bz9DkRp3UlOgPivIo,https://www.google.com/maps/place/?q=place_id:ChIJEarzd6bz9DkRp3UlOgPivIo,part_384,2026-09-20 20:33:00
Ravi automobiles,Car Repair Workshop and Garage,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Motorcycle shop",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 98353 91823,N/A,5.0,,"shanti cinema hall, Near LIC OFFICE OLD, opposite Ramgarh Cantonment, Jharkhand 829122",825101,23.6369406,85.51016849999999,ChIJu5QFhKbz9DkRgqPaBADh7u0,https://www.google.com/maps/place/?q=place_id:ChIJu5QFhKbz9DkRgqPaBADh7u0,part_384,2026-09-20 20:33:00
Valvoline Truck Xpert - Dwarika Motor Garage,Car Repair Workshop and Garage,Truck repair shop,"Truck repair shop, Oil change service",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 90314 51363,https://www.valvolineglobal.com/en-in/,5.0,,"Ranchi Road, nearby IOB bank, marad, Cantonment, Seota, Ramgarh Cantonment, Jharkhand 829117","marad, Cantonment",23.656032099999997,85.51769,ChIJteIkJNXz9DkR0q2aMTJhxHg,https://www.google.com/maps/place/?q=place_id:ChIJteIkJNXz9DkR0q2aMTJhxHg,part_384,2026-09-20 20:33:00
New BHIM BODY GARAGE,Car Repair Workshop and Garage,Truck repair shop,Truck repair shop,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 99052 01963,N/A,,,"near Singh Hotel, Ranchi Road, Ramgarh Cantonment, Jharkhand 829117",Ranchi Road,23.658771899999998,85.51153889999999,ChIJwz22lV3z9DkRocecCPeXVm0,https://www.google.com/maps/place/?q=place_id:ChIJwz22lV3z9DkRocecCPeXVm0,part_384,2026-09-20 20:33:00
Soham Auto Care Service,Car Repair Workshop and Garage,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Bike wash, Car wash, Motorcycle parts store, Pressure washing service, Repair service, Self service car wash",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 91133 12881,http://sohamautocareservice.in/,4.7,,"Jai Durga, Po, near HP Petrol Pump, Bharechnagar, Jharkhand 829117",825101,23.694124499999997,85.51185869999999,ChIJ-0FMUu_z9DkRs1gWGlxqtSw,https://www.google.com/maps/place/?q=place_id:ChIJ-0FMUu_z9DkRs1gWGlxqtSw,part_384,2026-09-20 20:33:00
Hanly Motors,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 87894 11337,N/A,4.8,,"Jail more chowk, Kothar, Jharkhand 825101",825101,23.6096747,85.5607332,ChIJG2kXIez19DkRfkA_esS6w04,https://www.google.com/maps/place/?q=place_id:ChIJG2kXIez19DkRfkA_esS6w04,part_384,2026-09-20 20:33:00
Ramgarhia Automobiles,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Safety equipment supplier",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 91552 11000,N/A,4.3,,"Jharkhand State Highway 2, Ramgarh Cantonment, Jharkhand 829122",825101,23.6101206,85.5233532,ChIJ5-9Z0gb09DkRWKzIqyJsfdI,https://www.google.com/maps/place/?q=place_id:ChIJ5-9Z0gb09DkRWKzIqyJsfdI,part_384,2026-09-20 20:33:00
Valvoline Truck Xpert - Raj Kumar Garage,Car Repair Workshop and Garage,Truck repair shop,"Truck repair shop, Oil change service",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 99055 13760,https://www.valvolineglobal.com/en-in/,,,"Ramgarh Ranchi Road, Maraar, opposite Indian Overseas Bank, Seota, Ramgarh Cantonment, Jharkhand 829117",825101,23.6572764,85.5135019,ChIJO-_l2yfz9DkRJUe-pbWqkL0,https://www.google.com/maps/place/?q=place_id:ChIJO-_l2yfz9DkRJUe-pbWqkL0,part_384,2026-09-20 20:33:00
