business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sunahri Multi Grain Pvt. Ltd.,Rice and Grain Merchant,Food manufacturing supply,Food manufacturing supply,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 96544 47723,https://www.sunahri.in/,4.7,19.0,"Jamua Natuandih, Kokpara, Jharkhand 832302",825101,22.4657552,86.5910198,ChIJXRxNTC6NHToRZS2UU_bd4YY,https://www.google.com/maps/place/?q=place_id:ChIJXRxNTC6NHToRZS2UU_bd4YY,part_384,2026-09-20 20:32:48
Kheti Bari,Rice and Grain Merchant,Agricultural Product Wholesaler,Agricultural Product Wholesaler,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 78589 92777,N/A,4.9,28.0,"Gola Rd, Ramgarh Cantonment, Jharkhand 829122",825101,23.623950999999998,85.5306954,ChIJ3-hXwIT19DkR7Lzzttfg4UE,https://www.google.com/maps/place/?q=place_id:ChIJ3-hXwIT19DkR7Lzzttfg4UE,part_384,2026-09-20 20:32:48
Bhagwati Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 94311 46052,N/A,3.9,10.0,"MGV8+V7H, Bharechnagar, Jharkhand 829117",825101,23.694694,85.515749,ChIJtyofb1Tz9DkRlRAPTxhCa84,https://www.google.com/maps/place/?q=place_id:ChIJtyofb1Tz9DkRlRAPTxhCa84,part_384,2026-09-20 20:32:48
Tripurari Agro Line,Rice and Grain Merchant,Agricultural Seed Store,Agricultural Seed Store,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 99341 52501,N/A,4.3,24.0,"JG9Q+6RW, Gola Rd, Jharkhand 825101",825101,23.618113899999997,85.539564,ChIJHSYouRf09DkRZxvy8p9CTZc,https://www.google.com/maps/place/?q=place_id:ChIJHSYouRf09DkRZxvy8p9CTZc,part_384,2026-09-20 20:32:48
City Multitech Pvt Ltd,Rice and Grain Merchant,Rice mill,"Rice mill, Rice wholesaler",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 98357 01247,https://sites.google.com/view/paasofficial/home,4.9,112.0,"Hatiyadih, Jamshedpur, Jharkhand 832108",Hatiyadih,22.8088816,86.13994369999999,ChIJgVcumMHl9TkRdleYZdAzwfQ,https://www.google.com/maps/place/?q=place_id:ChIJgVcumMHl9TkRdleYZdAzwfQ,part_384,2026-09-20 20:32:48
Kamala Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,3.5,6.0,"9W45+RMC, Jhantipahari, West Bengal 722137",825101,23.3570699,86.9091557,ChIJHQKokQYA9zkRblUdb-QjUjw,https://www.google.com/maps/place/?q=place_id:ChIJHQKokQYA9zkRblUdb-QjUjw,part_384,2026-09-20 20:32:48
Reliance Fresh,Rice and Grain Merchant,Supermarket,Supermarket,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 1800 102 7382,http://storelocator.ril.com/Retail.aspx,3.9,1486.0,"RPS Tower, Mahatma Gandhi Main Rd, adjacent to RPS Hospital, Bariatu, Ranchi, Jharkhand 834009",Bariatu,23.390138999999998,85.34328819999999,ChIJYzIaf_nh9DkR2Nchi13H4NI,https://www.google.com/maps/place/?q=place_id:ChIJYzIaf_nh9DkR2Nchi13H4NI,part_384,2026-09-20 20:32:48
Katiya Chowk,Rice and Grain Merchant,Market,Market,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,4.0,305.0,"Patratu Main Rd, Patratu, Jharkhand 829119",825101,23.635520399999997,85.277906,ChIJcUPAuLTr9DkR4u9V3Kg5Cys,https://www.google.com/maps/place/?q=place_id:ChIJcUPAuLTr9DkR4u9V3Kg5Cys,part_384,2026-09-20 20:32:48
Chillax foodiotica,Rice and Grain Merchant,Restaurant,Restaurant,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 84090 33454,https://chillaxfoodiotica.com/,3.8,589.0,"4, Lane- Hurumgada, near forest office, Bhurkunda, Jharkhand 829106",825101,23.6392974,85.3541322,ChIJ2dN4T4fr9DkRMOQW5h6mhCI,https://www.google.com/maps/place/?q=place_id:ChIJ2dN4T4fr9DkRMOQW5h6mhCI,part_384,2026-09-20 20:32:48
Yogendra Beej Bhandar,Rice and Grain Merchant,Agricultural Seed Store,"Agricultural Seed Store, Fertilizer Store, Irrigation equipment supplier",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 98359 77686,N/A,4.0,,"173,NH23,Naya More, Chhotki Pona, Jharkhand 825101",825101,23.5796311,85.6446496,ChIJRwVXOB5Z9DkRWTs_0FbMtaA,https://www.google.com/maps/place/?q=place_id:ChIJRwVXOB5Z9DkRWTs_0FbMtaA,part_384,2026-09-20 20:32:49
