business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Ambey Security Services & Manpower Solution,Security Guard Agency,Security guard service,Security guard service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 99340 25701,http://www.masssecurity.in/,4.8,133.0,"1st Floor, Near, Hinoo Rd, above Gurunanak Tent, opp. Riverview Hotel, Kilburn Colony, Shivpuri Colony, Hinoo, Ranchi, Jharkhand 834002","Kilburn Colony, Shivpuri Colony, Hinoo",23.3330751,85.31804989999999,ChIJPzuFVJPh9DkR425juPR1PgI,https://www.google.com/maps/place/?q=place_id:ChIJPzuFVJPh9DkR425juPR1PgI,part_384,2026-09-20 20:33:20
Ranchi Bouncers Group,Security Guard Agency,Security service,Security service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 97086 23276,N/A,5.0,212.0,"s.k electronics & electricals, down, Tagore Hill Rd, near shivani complex, Van Vrindavan Colony, Morabadi, Ranchi, Jharkhand 834008","Van Vrindavan Colony, Morabadi",23.404716099999998,85.33982569999999,ChIJkzOLS5Lh9DkRx3DFti6iqF4,https://www.google.com/maps/place/?q=place_id:ChIJkzOLS5Lh9DkRx3DFti6iqF4,part_384,2026-09-20 20:33:20
Indian Security & Management Services,Security Guard Agency,Security service,Security service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 651 350 6192,N/A,4.7,7.0,"No.6 , 2nd floor, Arctic Mall, Bariatu Rd, Morabadi, Ranchi, Jharkhand 834008",Morabadi,23.3886303,85.33644939999999,ChIJf2mKsPvj9DkRy2HvcilnfO8,https://www.google.com/maps/place/?q=place_id:ChIJf2mKsPvj9DkRy2HvcilnfO8,part_384,2026-09-20 20:33:20
OnesPluse CaB,Security Guard Agency,Security guard service,Security guard service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,3.4,5.0,"MAIN ROAD UPPER POCHRA,829102, Ramgarh Cantonment, Jharkhand 825101",825101,23.573541,85.504571,ChIJBQAAADzx9DkRvyltxbSm3UM,https://www.google.com/maps/place/?q=place_id:ChIJBQAAADzx9DkRvyltxbSm3UM,part_384,2026-09-20 20:33:20
RC Security Service,Security Guard Agency,Security guard service,Security guard service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,,,"JGH9+PVJ, Gola Rd, Ramgarh Cantonment, Jharkhand 829122",825101,23.6293293,85.5196495,ChIJu2MSbMPz9DkRnag0E5n8978,https://www.google.com/maps/place/?q=place_id:ChIJu2MSbMPz9DkRnag0E5n8978,part_384,2026-09-20 20:33:20
Dream Zone Informatics Pvt Ltd,Security Guard Agency,Business center,"Business center, Educational institution, Security guard service",825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",N/A,N/A,4.0,4.0,"D.H.Complex, Ramgarh College Road, Cantt, Ramgarh Cantonment, Jharkhand 825101",Cantt,23.599864,85.5224307,ChIJYcpb9mb19DkRi2-MfjtPe60,https://www.google.com/maps/place/?q=place_id:ChIJYcpb9mb19DkRi2-MfjtPe60,part_384,2026-09-20 20:33:20
Lord krishna enterprises,Security Guard Agency,Security guard service,Security guard service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 79037 63774,N/A,,,"181, Hutup, Near Hanuman Mandir, Irba, Ormanjhi, Jharkhand 835217",825101,23.450676899999998,85.4389774,ChIJE7sI-Qn79DkRxHy0ea8Y8Xk,https://www.google.com/maps/place/?q=place_id:ChIJE7sI-Qn79DkRxHy0ea8Y8Xk,part_384,2026-09-20 20:33:20
ATAL SECURITY SERVICES,Security Guard Agency,Security guard service,Security guard service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 94701 21312,https://atalsecurityservices.com/,4.7,95.0,"12, Dariadih, near Solar Plant, Deoghar, Dariadih Urf Bandarbona, Jharkhand 814143",825101,24.4528756,86.7734917,ChIJDe611U0j8TkRbq_7yOBR7Zc,https://www.google.com/maps/place/?q=place_id:ChIJDe611U0j8TkRbq_7yOBR7Zc,part_384,2026-09-20 20:33:21
Aditya Security Service,Security Guard Agency,Security guard service,Security guard service,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 72618 28653,http://adityasecurity.in/,4.7,123.0,"3rd floor, PANDEY complex, NH 33, Dimna-Pardih Rd, near sun shine complex, Kumrum, Mango, Jamshedpur, Jharkhand 831005","Kumrum, Mango",22.8435493,86.2163526,ChIJ-7acIaLj9TkRlB-wT2xPwsw,https://www.google.com/maps/place/?q=place_id:ChIJ-7acIaLj9TkRlB-wT2xPwsw,part_384,2026-09-20 20:33:21
Baba Ratenshwar Security,Security Guard Agency,Corporate office,Corporate office,825101,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chittarpur SO, Barkipona BO, Chhatar BO",+91 82940 62005,N/A,5.0,41.0,"Godda Block Rd, Basmati Nagar, Godda, Jharkhand 814133",Basmati Nagar,24.8319582,87.2068456,ChIJCWTqSGz18DkRoZ9utvZz8Fg,https://www.google.com/maps/place/?q=place_id:ChIJCWTqSGz18DkRoZ9utvZz8Fg,part_384,2026-09-20 20:33:21
