business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raja Oil Mill Sector-12/A Shopping Centre,Edible Oil Wholesaler,Grocery delivery service,Grocery delivery service,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 90313 09648,N/A,3.0,1.0,"Shopping Centre, near Post Office, Sector 12A, Sector 12, Bokaro Steel City, Jharkhand 827012","Sector 12A, Sector 12",23.6407033,86.1424567,ChIJYfmvHSIj9DkRaxLsUa9ea8w,https://www.google.com/maps/place/?q=place_id:ChIJYfmvHSIj9DkRaxLsUa9ea8w,part_384,2026-09-20 20:33:30
Raja Oils,Edible Oil Wholesaler,Flour mill,"Flour mill, Spice store",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 82103 69348,N/A,4.0,2.0,"Shopping center, Sector 3D, near Bokaro Steel Kalyan Vidyalaya, Sector 3, Bokaro Steel City, Jharkhand 827003",Sector 3,23.659399699999998,86.1530777,ChIJ0Qskrgwj9DkRXeCGexwbiOI,https://www.google.com/maps/place/?q=place_id:ChIJ0Qskrgwj9DkRXeCGexwbiOI,part_384,2026-09-20 20:33:30
Aarti Oil Mill,Edible Oil Wholesaler,Grocery store,"Grocery store, Mill, Wholesaler",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 94701 71691,N/A,3.9,12.0,"Shopping Center, Sector - 3 ""E"", Bokaro Steel City, Jharkhand 827003","Sector 3E, Sector 3",23.656395999999997,86.1489701,ChIJ74hbprAj9DkRuYvN6o-QhNU,https://www.google.com/maps/place/?q=place_id:ChIJ74hbprAj9DkRuYvN6o-QhNU,part_384,2026-09-20 20:33:30
Riya Oil Mill Tarmohanpur Jainamore Bokaro,Edible Oil Wholesaler,Store,"Store, Flour mill",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 87899 32068,N/A,5.0,6.0,"Jena, Tanrmohanpur, Jharkhand 829301",Jena,23.6675625,86.0341875,ChIJz6DVMEk99DkRdF-07LbADwM,https://www.google.com/maps/place/?q=place_id:ChIJz6DVMEk99DkRdF-07LbADwM,part_384,2026-09-20 20:33:30
Raja Oil Mill,Edible Oil Wholesaler,Oilfield,Oilfield,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 94311 68333,N/A,3.8,56.0,"Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.664691299999998,86.153605,ChIJ1_2WmLUj9DkR0PGAWzF94sk,https://www.google.com/maps/place/?q=place_id:ChIJ1_2WmLUj9DkR0PGAWzF94sk,part_384,2026-09-20 20:33:30
Shankar Flour And Food Bazar,Edible Oil Wholesaler,General store,"General store, Grocery store",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",N/A,N/A,3.6,19.0,"M4CX+JHF, Centre Market, near Delhi Public school, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6715728,86.1489265,ChIJY-SrZUwi9DkRa7e_JZNyYyg,https://www.google.com/maps/place/?q=place_id:ChIJY-SrZUwi9DkRa7e_JZNyYyg,part_384,2026-09-20 20:33:30
Maa Ambey Oil Mill,Edible Oil Wholesaler,Grocery store,Grocery store,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 80921 50631,N/A,,,"Shop No 01, Pratappur Site, Chandankiyari Road, Chowk, near Visthapit, Chas, Bokaro Steel City, Jharkhand 827013",Chas,23.6253931,86.189622,ChIJAQ5u11Uh9DkRaqoUX5biNdo,https://www.google.com/maps/place/?q=place_id:ChIJAQ5u11Uh9DkRaqoUX5biNdo,part_384,2026-09-20 20:33:30
Kanchan Oil Industries Ltd,Edible Oil Wholesaler,Manufacturer,"Manufacturer, Diesel fuel supplier, Fuel supplier, Green energy supplier",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",N/A,http://www.koil.in/,4.1,14.0,"Jhargram, West Bengal 721507",825102,22.4463637,87.01204059999999,ChIJ4weZeE16HToRanQzwizNWt8,https://www.google.com/maps/place/?q=place_id:ChIJ4weZeE16HToRanQzwizNWt8,part_384,2026-09-20 20:33:30
Kissan Oll Mill,Edible Oil Wholesaler,Grocery store,"Grocery store, Home goods store",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 96937 90811,N/A,5.0,3.0,"Main Rd, Bokaro Steel City, Phusro, Jharkhand 825102",825102,23.7653605,85.9997736,ChIJ8RztBQ8V9DkRO4aRFCSqyxM,https://www.google.com/maps/place/?q=place_id:ChIJ8RztBQ8V9DkRO4aRFCSqyxM,part_384,2026-09-20 20:33:30
Purti Vanaspati Pvt. Ltd,Edible Oil Wholesaler,Store,Store,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 96968 80022,https://www.purti.net/,4.7,112.0,"4th Floor, 14, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","Murgighata, B.B.D. Bagh",22.576819999999998,88.3490751,ChIJI2jxQ7t3AjoRFOm4SUL6UoU,https://www.google.com/maps/place/?q=place_id:ChIJI2jxQ7t3AjoRFOm4SUL6UoU,part_384,2026-09-20 20:33:30
