business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tata Capital Limited,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Financial advisor, Insurance agency, Financial institution",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",N/A,https://branches.tatacapital.com/tata-capital-limited-bokaro-d-s-plaza-financial-institutions-chas-bokaro-274531/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"2nd Floor, DS Plaza, Bye Pass Rd, opposite Hyundai Showroom, Ramnagar Colony, Chas, Bokaro Steel City, Jharkhand 827013",Ramnagar Colony,23.6357993,86.16378879999999,ChIJxe0WLVMn9DkRIRUBNhG0NSo,https://www.google.com/maps/place/?q=place_id:ChIJxe0WLVMn9DkRIRUBNhG0NSo,part_384,2026-09-20 20:34:01
SMFG India Credit Co. Ltd. - Bandhdih (Rural Branch),Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Financial institution",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 1800 103 6001,https://branches.smfgindiacredit.com/Bandhdih-Bokaro-branch-435904/Home?utm_source=locator&utm_medium=googleplaces,,,"1st Floor, Apna Market, No 157, Jena, Bandhdih, Jharkhand 829301",Jena,23.6667258,86.0218622,ChIJlaJ720Q99DkRSU5G1iILgns,https://www.google.com/maps/place/?q=place_id:ChIJlaJ720Q99DkRSU5G1iILgns,part_384,2026-09-20 20:34:01
Aadhar Housing Finance Ltd,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Financial advisor, Financial institution, Low income housing program, Mortgage broker, Mortgage lender",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 1800 268 4040,https://my-branches.aadharhousing.com/aadhar-housing-finance-ltd-financial-institutions-sector-4-bokaro-steel-city-12274792/home,5.0,7.0,"Ground Flr, City Centre, No. KA 2, near Reliance Smart, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6650028,86.1517458,ChIJgTQjpKUj9DkRP5roavF2c5k,https://www.google.com/maps/place/?q=place_id:ChIJgTQjpKUj9DkRP5roavF2c5k,part_384,2026-09-20 20:34:01
Shailendra & Chanchala Associates,Home Loan DSA and Loan Consultant,Financial consultant,Financial consultant,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 62056 96458,N/A,5.0,1.0,"Debt Collection Agency, Police Line, Bokaro Steel City, Jharkhand 827001",Police Line,23.6473101,86.13368919999999,ChIJ3Q0uv4wj9DkR48WEqlfViic,https://www.google.com/maps/place/?q=place_id:ChIJ3Q0uv4wj9DkR48WEqlfViic,part_384,2026-09-20 20:34:01
DREAMS HOME LOAN SERVICES,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 89879 68898,N/A,5.0,5.0,"DAYAL COMPLEX NAMKUM ROAD, CHOUK, Kantatoli, Ranchi, Jharkhand 834001",Kantatoli,23.364322299999998,85.3457961,ChIJ-REHqw3h9DkRr942kHlp1GM,https://www.google.com/maps/place/?q=place_id:ChIJ-REHqw3h9DkRr942kHlp1GM,part_384,2026-09-20 20:34:01
NS Credit Consultant Pvt Ltd,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Consultant, Financial advisor, Financial consultant, Credit counseling service",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 80 6927 7222,https://nscreditconsultant.com/,4.7,166.0,"Raza Complex, Bajra - Bariatu Rd, near Alam Hospital, Ranchi, Jharkhand 834009",Bariatu,23.3972588,85.3541192,ChIJv4F24hjh9DkRpSMGt-mczvI,https://www.google.com/maps/place/?q=place_id:ChIJv4F24hjh9DkRpSMGt-mczvI,part_384,2026-09-20 20:34:01
LOAN CONSULTANT (PM MUDRA LOAN HELPLINE),Home Loan DSA and Loan Consultant,Loan agency,Loan agency,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 62995 47279,N/A,4.5,4.0,"station colony, Noamundi, Jharkhand 833218",825102,22.1574019,85.50843479999999,ChIJnf-y3Pa3HzoRUDQpUsSB4FY,https://www.google.com/maps/place/?q=place_id:ChIJnf-y3Pa3HzoRUDQpUsSB4FY,part_384,2026-09-20 20:34:01
Aayaansh Financial Services,Home Loan DSA and Loan Consultant,Financial consultant,"Financial consultant, Financial planner, Insurance broker, Investment service",825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 96234 46911,https://aayaanshfinancial.com/,5.0,23.0,"303, Olive Tower, Aapno Ghar, Gosaidih, Amaghata, Jharkhand 826008",Tapowan colony,23.8268769,86.4865062,ChIJdd6Pp-a99jkRBvnRjL9ebl0,https://www.google.com/maps/place/?q=place_id:ChIJdd6Pp-a99jkRBvnRjL9ebl0,part_384,2026-09-20 20:34:01
Indiabulls Home Loans,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 92344 55282,https://www.indiabullshomeloans.com/,3.9,7.0,"HG-6 GF,CITY CENTRE, SECTOR-4, STEEL CITY, BOKARO, Bokaro Steel City, Jharkhand 827004",Sector 4,23.665447,86.14584599999999,ChIJldIrMRwj9DkRCb7vQxPfYb4,https://www.google.com/maps/place/?q=place_id:ChIJldIrMRwj9DkRCb7vQxPfYb4,part_384,2026-09-20 20:34:01
LIC Housing Finance LTD,Home Loan DSA and Loan Consultant,Mortgage lender,Mortgage lender,825102,Jharkhand Circle,Ranchi Region,Giridih Division,"Dhori SO, Angwali BO, Palamu BO",+91 80920 35405,N/A,5.0,1.0,"Plot no F 06, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.6649729,86.1518158,ChIJl6bS_EIj9DkRspCFit4afoA,https://www.google.com/maps/place/?q=place_id:ChIJl6bS_EIj9DkRspCFit4afoA,part_384,2026-09-20 20:34:01
