business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Motilal Oswal Financial Services Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Financial advisor, Investment company, Online Share Trading Center",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 95359 79755,https://stockbroker.motilaloswal.com/motilal-oswal-financial-services-limited-barkha-jain-stock-broker-ranchi-ranchi-284911/Home,4.5,8.0,"Lok Mangal Nivesh Mahalaxmi complex, Line Tank Rd, near Nanhe Kadam Play School, Deputy Para, Ahirtoli, Ranchi, Jharkhand 834001","Deputy Para, Ahirtoli",23.3728159,85.3254214,ChIJG8gwJl6f9DkR2gw-yxEUXv0,https://www.google.com/maps/place/?q=place_id:ChIJG8gwJl6f9DkR2gw-yxEUXv0,part_384,2026-09-20 20:34:42
HDFC Securities - Chatra,Stock Broker and Share Sub-broker,Stock broker,Stock broker,825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 92402 37953,https://www.hdfcsec.com/,,,"Main Road, Gudri Bazar, Chatra, Jharkhand 825401",825103,24.2073084,84.8674049,ChIJ94SkDHatjDkRQTtCuScohyo,https://www.google.com/maps/place/?q=place_id:ChIJ94SkDHatjDkRQTtCuScohyo,part_384,2026-09-20 20:34:42
SMC Global Securities Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial institution, Financial planner, Investment service, Online Share Trading Center",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 91671 25289,https://store.smctradeonline.com/smc-global-securities-limited-stock-broker-katcehry-road-ranchi-106787/Home?utm_source=locator&utm_medium=googleplaces,4.8,24.0,"Panchvati Plaza, No 112A, Kutchery Rd, Deputy Para, Ahirtoli, Ranchi, Jharkhand 834001","Deputy Para, Ahirtoli",23.374900099999998,85.3247756,ChIJs6qqqhbj9TkRJUdNLgFvePA,https://www.google.com/maps/place/?q=place_id:ChIJs6qqqhbj9TkRJUdNLgFvePA,part_384,2026-09-20 20:34:42
SMC Global Securities Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial institution, Financial planner, Investment service, Online Share Trading Center",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 91679 91173,https://store.smctradeonline.com/smc-global-securities-limited-stock-broker-circular-road-ranchi-106781/Home,4.6,11.0,"5th Floor, Le desire complex, 504/A, Circular Rd, opposite Hariom Tower Road, Upper Burdwan Compound, P&T Colony, Nagra Toli, Ranchi, Jharkhand 834001","Upper Burdwan Compound, P&T Colony, Nagra Toli",23.3761835,85.3334344,ChIJ74SltN7h9DkRYqX-rbSo12I,https://www.google.com/maps/place/?q=place_id:ChIJ74SltN7h9DkRYqX-rbSo12I,part_384,2026-09-20 20:34:42
Motilal Oswal Financial Services Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Financial advisor, Investment company, Online Share Trading Center",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 97310 36025,https://stockbroker.motilaloswal.com/motilal-oswal-financial-services-limited-value-management-solution-private-ltd-stock-broker-mg-road-ranchi-74390/Home?utm_source=locator&utm_medium=googleplaces,3.8,15.0,"GEL Church Complex, No 10 & 11AB, 3rd Floor, Main Rd, Ranchi, Jharkhand 834001",Hindpiri,23.3578814,85.3246803,ChIJDzGLybbh9DkRaA_FMDF8NCc,https://www.google.com/maps/place/?q=place_id:ChIJDzGLybbh9DkRaA_FMDF8NCc,part_384,2026-09-20 20:34:42
Motilal Oswal Financial Services Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Financial advisor, Investment company, Online Share Trading Center",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 97310 43412,https://stockbroker.motilaloswal.com/motilal-oswal-financial-services-limited-shubhraneel-chatterjee-stock-broker-ara-ranchi-77598/Home,4.3,6.0,"Flat no 8B, Lotus Block Samriddhi Park, near Ara Middle School, Gate, Mahiling, Ara, Ranchi, Jharkhand 835103","Gate, Mahiling",23.3521783,85.40226589999999,ChIJJ_2XJZ1r9DkRpVkQy2uLCO0,https://www.google.com/maps/place/?q=place_id:ChIJJ_2XJZ1r9DkRpVkQy2uLCO0,part_384,2026-09-20 20:34:42
SBI Securities,Stock Broker and Share Sub-broker,Stock broker,Stock broker,825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 97484 24420,https://www.sbisecurities.in/,4.5,2.0,"5th floor, Park Plaza, 501, Morabadi, Ranchi, Jharkhand 834008","Tetartoli, Morabadi",23.3956603,85.3351878,ChIJuYz_U37h9DkRdpo4WG_RR80,https://www.google.com/maps/place/?q=place_id:ChIJuYz_U37h9DkRdpo4WG_RR80,part_384,2026-09-20 20:34:42
Aditya Birla Capital Ltd,Stock Broker and Share Sub-broker,Stock broker,Stock broker,825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",N/A,N/A,4.3,6.0,"Sutehri Road, behind Modern Hospital, Central Town, Model Town, Hoshiarpur, Punjab 146001","Central Town, Model Town",31.5265861,75.90501069999999,ChIJXb1SwdXiGjkRMTpYv2EJjNw,https://www.google.com/maps/place/?q=place_id:ChIJXb1SwdXiGjkRMTpYv2EJjNw,part_384,2026-09-20 20:34:42
Rupay Trading,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Financial institution, Learning center, Education center, Training center",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 92531 17139,http://www.rupaytrading.com/,4.9,46.0,"SCO-13, huda complex, near PNB Bank, opposite D.R.D.A, Huda Market, DC Colony, Jind, Haryana 126102","Huda Market, DC Colony",29.3124526,76.3283762,ChIJt9dq7xsFEjkRqsKWjUP3Ryc,https://www.google.com/maps/place/?q=place_id:ChIJt9dq7xsFEjkRqsKWjUP3Ryc,part_384,2026-09-20 20:34:42
Trustline Securities Limited,Stock Broker and Share Sub-broker,Online Share Trading Center,"Online Share Trading Center, Currency exchange service, Educational consultant, Insurance agency, Investment service, Real estate agency",825103,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Simaria SO, Bagra BO, Chopey BO",+91 90311 07008,http://www.trustline.in/,5.0,2.0,"2nd Floor, Mikado Tower, Main Rd, opp. Iqra Masjid Ranchi, Lower Bazaar, Ranchi, Jharkhand 834001",Lower Bazaar,23.3602642,85.32625209999999,ChIJpQOVKwjh9DkRCBAX4Xbxtf4,https://www.google.com/maps/place/?q=place_id:ChIJpQOVKwjh9DkRCBAX4Xbxtf4,part_384,2026-09-20 20:34:42
