business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Mansoor Alam,Doctors,Doctor,Doctor,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",N/A,N/A,4.5,2.0,"2X2X+737, Dumri, Jharkhand 825106",825106,24.0006572,85.9976751,ChIJBSvVS0IL9DkR2TDN8BETg9Y,https://www.google.com/maps/place/?q=place_id:ChIJBSvVS0IL9DkR2TDN8BETg9Y,part_384,2026-09-20 20:35:01
Dr. D.P. Barnwal,Doctors,Medical clinic,Medical clinic,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",N/A,N/A,,,"XXXX+WQ6, Dumri, Jharkhand 825106",825106,23.999792799999998,85.9993997,ChIJIQiaEAAL9DkR795UUUIb4V8,https://www.google.com/maps/place/?q=place_id:ChIJIQiaEAAL9DkR795UUUIb4V8,part_384,2026-09-20 20:35:01
Dr.Deepak home,Doctors,Doctor,Doctor,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",N/A,N/A,4.0,1.0,"W325+XH4, Ahardih, Jharkhand 825106",825106,23.9023,86.0593033,ChIJHSAGewAR9DkRv2J-zGYCzyA,https://www.google.com/maps/place/?q=place_id:ChIJHSAGewAR9DkRv2J-zGYCzyA,part_384,2026-09-20 20:35:01
ADITYA CLINIC,Doctors,Medical clinic,Medical clinic,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",+91 77598 40380,N/A,5.0,1.0,"opp. axis bank, Isri Bazar, Shivaji nagar, Isri, Jharkhand 825167","Isri Bazar, Shivaji nagar",23.9878453,86.0236046,ChIJ-Tv9WQAP9DkRdEiQ0mhPW0A,https://www.google.com/maps/place/?q=place_id:ChIJ-Tv9WQAP9DkRdEiQ0mhPW0A,part_384,2026-09-20 20:35:01
Afzal ansari,Doctors,Family practice physician,Family practice physician,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",N/A,N/A,,,"W2FH+PPH, Tengrakhurd, Jharkhand 825106",825106,23.9248166,86.0295259,ChIJDzJjXwAP9DkRxo_cn217INM,https://www.google.com/maps/place/?q=place_id:ChIJDzJjXwAP9DkRxo_cn217INM,part_384,2026-09-20 20:35:01
Gurucharan Medical Stores,Doctors,Doctor,Doctor,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",+91 93046 59352,N/A,5.0,1.0,"Station Rd, Isri Bazar, Dist, Giridih, Isri, Jharkhand 825167","Isri Bazar, Dist",23.9864137,86.0359261,ChIJ7dyUEq0P9DkRK89Qmrq7uLY,https://www.google.com/maps/place/?q=place_id:ChIJ7dyUEq0P9DkRK89Qmrq7uLY,part_384,2026-09-20 20:35:01
Dr Sk pandit,Doctors,Alternative medicine practitioner,Alternative medicine practitioner,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",N/A,N/A,,,"XXRG+945, Dumri, Tambagurio, Jharkhand 825106",825106,23.9910636,85.9753092,ChIJJwA3CQAN9DkRYSJ1JKM8CAg,https://www.google.com/maps/place/?q=place_id:ChIJJwA3CQAN9DkRYSJ1JKM8CAg,part_384,2026-09-20 20:35:01
Sushant home,Doctors,Family practice physician,Family practice physician,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",+91 62877 12592,N/A,3.0,1.0,"2XR6+G6V, Beko, Ghuttibari, Jharkhand 825322",825106,24.0413553,85.9605392,ChIJzyHJMgAL9DkRVEDjeO4gmbc,https://www.google.com/maps/place/?q=place_id:ChIJzyHJMgAL9DkRVEDjeO4gmbc,part_384,2026-09-20 20:35:01
Rahat clinic,Doctors,Hospital,Hospital,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",+91 70043 25794,N/A,5.0,1.0,"IBP petrol pump, near chisti motor, Ghujadih, Jharkhand 825106",825106,24.0013672,85.9964998,ChIJ8cmY4tIL9DkRjTB5iWlRDgI,https://www.google.com/maps/place/?q=place_id:ChIJ8cmY4tIL9DkRjTB5iWlRDgI,part_384,2026-09-20 20:35:01
Noor medical (Dr.Gufran),Doctors,Doctor,Doctor,825106,Jharkhand Circle,Ranchi Region,Giridih Division,"Dumri SO, Beko BO, Bharkhar BO",N/A,N/A,5.0,1.0,"NH 19, Nagri, Lachmantura, Jharkhand 825167",825106,23.9697854,86.0543282,ChIJNydk8YwP9DkRV28MVRar5zA,https://www.google.com/maps/place/?q=place_id:ChIJNydk8YwP9DkRV28MVRar5zA,part_384,2026-09-20 20:35:01
