business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Harladih,Exporters,Fuel supplier,Fuel supplier,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",N/A,N/A,5.0,,"24PM+JH5, Hariladih, Jharkhand 825108",825108,24.036514,86.1339994,ChIJyXvaLQAH9DkR2yMIPnDKLd0,https://www.google.com/maps/place/?q=place_id:ChIJyXvaLQAH9DkR2yMIPnDKLd0,part_384,2026-09-20 20:36:14
Saryu Mandal Poultry Farm Jitkundi,Exporters,Poultry farm,Poultry farm,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",N/A,N/A,5.0,,"Giridih, Jitkundi, Jharkhand 815316",825108,24.1104585,86.1594887,ChIJ3U9tZEP58zkRtOF1xtq9HmU,https://www.google.com/maps/place/?q=place_id:ChIJ3U9tZEP58zkRtOF1xtq9HmU,part_384,2026-09-20 20:36:14
Maa Kanti Agro (Faram),Exporters,Chicken & Mutton Shop,Chicken & Mutton Shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 94313 49200,N/A,5.0,,"W8W4+C6M, Palma, Jharkhand 825108",825108,23.9460822,86.30554169999999,ChIJy0MiHQCp9jkR0DIwLdfNVPs,https://www.google.com/maps/place/?q=place_id:ChIJy0MiHQCp9jkR0DIwLdfNVPs,part_384,2026-09-20 20:36:14
रानी पोल्ट्रीफार्म,Exporters,Poultry farm,Poultry farm,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",N/A,N/A,3.5,,"Giridih, Jamuatanr, Jharkhand 825108",825108,24.010850599999998,86.2317291,ChIJ_cci_IkB9DkRn2exkiAsj4Y,https://www.google.com/maps/place/?q=place_id:ChIJ_cci_IkB9DkRn2exkiAsj4Y,part_384,2026-09-20 20:36:14
Mishra tent house palganj,Exporters,Tent House Supplier,Tent House Supplier,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",N/A,N/A,3.7,,"near jagarnath mandir, Masnutanr, Palganj, Jharkhand 825108",825108,24.0809693,86.2155982,ChIJlVlu0wAB9DkRxrPb2bQIPlk,https://www.google.com/maps/place/?q=place_id:ChIJlVlu0wAB9DkRxrPb2bQIPlk,part_384,2026-09-20 20:36:14
Edu Machli Wala,Exporters,Exporter,Exporter,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 79033 05636,N/A,5.0,,"Ojibad, X6JR F5H, Sobranpur, Jharkhand 825108",X6JR F5H,23.981685499999998,86.2398324,ChIJo26wyEgD9DkRtz8yl8JTYp0,https://www.google.com/maps/place/?q=place_id:ChIJo26wyEgD9DkRtz8yl8JTYp0,part_384,2026-09-20 20:36:14
Raja Babu Group of Vehicals,Exporters,Vehicle Exporter,Vehicle Exporter,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",N/A,N/A,3.0,,"X7GP+RCC, Pipradih, Jharkhand 825108",825108,23.9770731,86.28601259999999,ChIJLzzh3ryp9jkRVgpouQ-yOYQ,https://www.google.com/maps/place/?q=place_id:ChIJLzzh3ryp9jkRVgpouQ-yOYQ,part_384,2026-09-20 20:36:14
VEHICAL GROUP,Exporters,Vehicle Exporter,Vehicle Exporter,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",N/A,N/A,,,"X7GP+R9J, Pipradih, Jharkhand 825108",825108,23.9770862,86.28588719999999,ChIJQe7i3ryp9jkRPHBh9unKzoI,https://www.google.com/maps/place/?q=place_id:ChIJQe7i3ryp9jkRPHBh9unKzoI,part_384,2026-09-20 20:36:14
Sunrise Exports,Exporters,Exporter,Exporter,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 94311 44166,http://sunriseexports.co.in/,4.0,9.0,"I.C.R. Road Shyam Path, Jharkhand 815301",825108,24.1783283,86.3156652,ChIJZSqIxz1U8TkRND4K_oFXhUU,https://www.google.com/maps/place/?q=place_id:ChIJZSqIxz1U8TkRND4K_oFXhUU,part_384,2026-09-20 20:36:15
Jalan Mica Exports,Exporters,Corporate office,Corporate office,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 6532 226 995,http://jalanmicaexports.com/,4.2,6.0,"58F8+764, Bara Chowk, Tundi Rd, Giridih, Jharkhand 815301",Rajendra Nagar,24.1731326,86.31557149999999,ChIJN5q76z9U8TkRkzTD6vbp9h8,https://www.google.com/maps/place/?q=place_id:ChIJN5q76z9U8TkRkzTD6vbp9h8,part_384,2026-09-20 20:36:15
