business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Diamond Ink Tattoo & Art Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 81677 72330,N/A,4.7,94,"Purulia Garikhana, Purulia, West Bengal 723101",825108,23.3359366,86.3703395,ChIJEQb7GbV99jkRwWP8u8RzZxQ,https://www.google.com/maps/place/?q=place_id:ChIJEQb7GbV99jkRwWP8u8RzZxQ,part_384,2026-09-20 20:35:59
Meteor Tattoo,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 62061 95044,http://www.meteortattoos.com/,4.9,196,"akashwani chowk, opposite of yes bank, Aditypur 1, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Adityapur",22.7865134,86.1670133,ChIJs785A1nl9TkR7Bzv7EbCbXE,https://www.google.com/maps/place/?q=place_id:ChIJs785A1nl9TkR7Bzv7EbCbXE,part_384,2026-09-20 20:35:59
Kanav InkArt Tattoo Studio,Tattoo and Nail Art Studio,Tattoo artist,Tattoo artist,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 80917 57705,https://instagram.com/kanav_inkart_tattoo_studio?igshid=YmMyMTA2M2Y=,5.0,26,"Mai Ka Bagh, Sultanpur, Chamba, Himachal Pradesh 176314",Sultanpur,32.5565557,76.1189479,ChIJFfiS7AW9HDkRs4YrQlV7KTY,https://www.google.com/maps/place/?q=place_id:ChIJFfiS7AW9HDkRs4YrQlV7KTY,part_384,2026-09-20 20:35:59
Deepti’s- Moksha tattoo studio Ambikapur chhattisgarh,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 94252 56244,N/A,4.8,129,"Gandhi, Stadium Complex, At chaupati shop no. 10, 11, 12, Choupati, Ambikapur, Chhattisgarh 497001",Choupati,23.1304667,83.1883297,ChIJryfpEw-jiTkRDRrajx8txaI,https://www.google.com/maps/place/?q=place_id:ChIJryfpEw-jiTkRDRrajx8txaI,part_384,2026-09-20 20:35:59
INK N CYDE Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 77879 06344,N/A,4.6,125,"CVXX+333, Khanna Nagar, Industrial Estate Khapuria, Kataka, Odisha 753010","Khanna Nagar, Industrial Estate Khapuria",20.447631899999998,85.8976766,ChIJE1LOGw0NGToRy9Gzvg6pdVM,https://www.google.com/maps/place/?q=place_id:ChIJE1LOGw0NGToRy9Gzvg6pdVM,part_384,2026-09-20 20:36:00
Royal tattoo Berhampur,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Art studio, Body piercing shop, Tattoo and piercing shop, Tattoo artist, Tattoo removal service",825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 90904 19056,N/A,5.0,369,"V2, bsnl office Church Road, link road, between Church Road, to, Brahmapur, Odisha 760001",825108,19.3115807,84.7919987,ChIJ_w_wQ66XPDoR7jRXmr0cd2I,https://www.google.com/maps/place/?q=place_id:ChIJ_w_wQ66XPDoR7jRXmr0cd2I,part_384,2026-09-20 20:36:00
Tattoographer 1.11,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 93016 37433,https://instagram.com/_tattoographer_1.11?igshid=YmMyMTA2M2Y=,5.0,225,"Power House Rd, Mahavir Nagar, Sarwamangala Para, Korba, Chhattisgarh 495677","Mahavir Nagar, Sarwamangala Para",22.3465693,82.6932042,ChIJf0jfpfuPJzoRDEPeQ6CZHKE,https://www.google.com/maps/place/?q=place_id:ChIJf0jfpfuPJzoRDEPeQ6CZHKE,part_384,2026-09-20 20:36:00
Namaste Inks Tattoos,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Tattoo and piercing shop, Tattoo artist, Tattoo removal service",825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 82967 80026,https://namasteinks.com/,5.0,716,"7, Biprodas Chatterjee Ln, Naora, Shibpur, Howrah, West Bengal 711102","Naora, Shibpur",22.5698315,88.325278,ChIJs33U0hh3AjoRrNqmH67C9z0,https://www.google.com/maps/place/?q=place_id:ChIJs33U0hh3AjoRrNqmH67C9z0,part_384,2026-09-20 20:36:00
Ink Hub Tattoo,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 70087 49301,https://www.instagram.com/ink_hub_tattoo?igsh=MTBtOHJxMzg1YmxlZA==,4.6,25,"near Hanuman Temple, Kathagada Sahi, Telanga Bazar, Kataka, Odisha 753001","Kathagada Sahi, Telanga Bazar",20.4656637,85.8704978,ChIJH39D_n0NGToRMqrsY_VfBv0,https://www.google.com/maps/place/?q=place_id:ChIJH39D_n0NGToRMqrsY_VfBv0,part_384,2026-09-20 20:36:00
Tunnu Tattoo Parlour,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,825108,Jharkhand Circle,Ranchi Region,Giridih Division,"Pirtand SO, Atki BO, Bishunpur BO",+91 97761 63966,N/A,4.9,14,"Kalinga Market, near Hari Mahuri Chowk, beside Mirania Petrol Pump, Hemsurapada, Angul, Odisha 759122",Hemsurapada,20.832577099999998,85.0897741,ChIJ_x42fxClGDoRqY1uhweX5E0,https://www.google.com/maps/place/?q=place_id:ChIJ_x42fxClGDoRqY1uhweX5E0,part_384,2026-09-20 20:36:00
