business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AP Groups Poultry,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,3.0,2.0,"Small Railway Bridge, Gandhi School Rd, Bisodih, Jhumri Telaiya, Jharkhand 825409",Bisodih,24.428322599999998,85.52327319999999,ChIJs-qTBgB18zkR7_s7J9RUUZc,https://www.google.com/maps/place/?q=place_id:ChIJs-qTBgB18zkR7_s7J9RUUZc,part_384,2026-09-20 20:36:20
RAJ POULTRY HOUSE,Meat and Poultry Shop,Poultry store,Poultry store,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",+91 94317 90881,N/A,3.6,35.0,"2, Ranchi - Patna Rd, Jhumri Telaiya, Jharkhand 825409",825109,24.4371631,85.5354188,ChIJzRbp17108zkRm5B9n8BNoF8,https://www.google.com/maps/place/?q=place_id:ChIJzRbp17108zkRm5B9n8BNoF8,part_384,2026-09-20 20:36:20
Manoj Poultry Farm,Meat and Poultry Shop,Poultry store,"Poultry store, Poultry farm",825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",+91 88252 94677,N/A,4.0,4.0,"Jhumri Telaiya, Jharkhand 825409",825109,24.452034899999997,85.5209395,ChIJRXJVJfx18zkRdWsMKFJUXS0,https://www.google.com/maps/place/?q=place_id:ChIJRXJVJfx18zkRdWsMKFJUXS0,part_384,2026-09-20 20:36:20
Gopi fisheries & Poultry farm,Meat and Poultry Shop,Poultry farm,Poultry farm,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,4.3,4.0,"Koderma - Jainagar - Markacho Rd, Katahadih, Jharkhand 825409",825109,24.384109,85.60537099999999,ChIJUXHTV9uf8zkR2zJ2Uf3e0Xo,https://www.google.com/maps/place/?q=place_id:ChIJUXHTV9uf8zkR2zJ2Uf3e0Xo,part_384,2026-09-20 20:36:20
Verma poultry fram and fish shop,Meat and Poultry Shop,Poultry farm,Poultry farm,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,,,"At, Kharti, Jharkhand 825324",At,24.3125565,85.9145989,ChIJjQnpDgKT8zkRv-usBgmR_O8,https://www.google.com/maps/place/?q=place_id:ChIJjQnpDgKT8zkRv-usBgmR_O8,part_384,2026-09-20 20:36:20
BN Yadav poultry farm,Meat and Poultry Shop,Poultry farm,Poultry farm,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,5.0,6.0,"CQC3+G49, Nawalsahi, Bachhaidih, Jharkhand 825418",825109,24.4213028,85.752859,ChIJG4oWIACZ8zkRn1uv2tzQqJk,https://www.google.com/maps/place/?q=place_id:ChIJG4oWIACZ8zkRn1uv2tzQqJk,part_384,2026-09-20 20:36:20
"SAW Poultry Farm Asnabad, Masmohna",Meat and Poultry Shop,Poultry farm,Poultry farm,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,5.0,4.0,"Asnabad, near Hanuman Mandir, Masmohana, Jharkhand 825418",825109,24.4068462,85.71777399999999,ChIJvREBe1CZ8zkRYNEkruwa7Iw,https://www.google.com/maps/place/?q=place_id:ChIJvREBe1CZ8zkRYNEkruwa7Iw,part_384,2026-09-20 20:36:20
Jharkhand Poultry Farm,Meat and Poultry Shop,Poultry farm,Poultry farm,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,3.8,12.0,"Tilaiya Dam, upper more, Jharkhand 825413",825109,24.3351869,85.5132601,ChIJJyIeTXJx8zkR_5Re3eBOR6k,https://www.google.com/maps/place/?q=place_id:ChIJJyIeTXJx8zkR_5Re3eBOR6k,part_384,2026-09-20 20:36:20
दिलीप फार्मा,Meat and Poultry Shop,Poultry farm,Poultry farm,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",+91 80842 41050,N/A,,,"Mukesh jeneral store, Behradih, Mandaria, Jharkhand 825109",825109,24.341406199999998,85.6871451,ChIJb4ce0HGb8zkRfg0GEZUx8F4,https://www.google.com/maps/place/?q=place_id:ChIJb4ce0HGb8zkRfg0GEZUx8F4,part_384,2026-09-20 20:36:20
Pratap Singh Poultry farm,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,825109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Sewatand BO, Jainagar SO Koderma, Chalkusa BO",N/A,N/A,5.0,1.0,"Dandadih, Jharkhand 825109",825109,24.3787366,85.6710907,ChIJ3T0UAQCf8zkR9wIS-fMO9QA,https://www.google.com/maps/place/?q=place_id:ChIJ3T0UAQCf8zkR9wIS-fMO9QA,part_384,2026-09-20 20:36:20
