business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Maruti Suzuki True Value (Hindustan Auto Agency, Hazaribagh, Hazaribagh Road)",Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 80 3753 0562,http://www.truevalueofhazaribaghroad.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.9,,"Ranchi - Patna Rd, opposite Rice Research Center, Babanway, Hazaribagh, Jharkhand 825301",Babanway,23.986224399999998,85.3718227,ChIJBXrjR4Sd9DkR318mxRHbrhI,https://www.google.com/maps/place/?q=place_id:ChIJBXrjR4Sd9DkR318mxRHbrhI,part_384,2026-09-20 20:38:36
Car Stop,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto Accessories Store, Car wash, Wheel alignment service",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 94311 41601,N/A,4.2,,"Subhash Marg, Bara Bazar, Azad Mahalla, Hazaribagh, Jharkhand 825301","Bara Bazar, Azad Mahalla",23.992646999999998,85.35822999999999,ChIJl3vc5hyc9DkRjnmwt7e9axw,https://www.google.com/maps/place/?q=place_id:ChIJl3vc5hyc9DkRjnmwt7e9axw,part_384,2026-09-20 20:38:36
Mahindra Pratik Automobiles - SUV & Commercial Vehicle Showroom,Car Showroom and Used Car Dealer,Car dealer,Car dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 91172 99992,https://www.pratikautomobiles.co.in/,4.4,,"PRATIK AUTOMOBILES (MAHINDRA AUTHORISED DEALER BRANCH, near HP GAS PLANT, Hearngunj, Chano, Hazaribagh, Jharkhand 825303",Hearngunj,23.9764572,85.38722369999999,ChIJR3Td0oeb9DkRNYn0djXP0b4,https://www.google.com/maps/place/?q=place_id:ChIJR3Td0oeb9DkRNYn0djXP0b4,part_384,2026-09-20 20:38:36
"Maruti Suzuki ARENA (Hindustan Auto Agency, Hazaribagh, Julu Park)",Car Showroom and Used Car Dealer,Car dealer,Car dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 80 6251 4345,https://www.arenaofjuluparkhazaribagh.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.5,,"NH-33, Ranchi - Patna Rd, opp. Rice Research Center, Masipirhi, Hazaribagh, Jharkhand 825302",Masipirhi,23.9598633,85.3731287,ChIJM1ZthhCc9DkR_rLNMUftT4I,https://www.google.com/maps/place/?q=place_id:ChIJM1ZthhCc9DkR_rLNMUftT4I,part_384,2026-09-20 20:38:36
Cars24 - Liza Motors | Sell Used Cars in Hazaribagh,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Audi dealer, BMW dealer, Car dealer, Car finance and loan company, Honda dealer, Hyundai dealer, Kia dealer, Suzuki dealer, Toyota dealer",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 89297 59586,https://www.cars24.com/sell-marketing/?utm_source=gmb_sell_011&utm_medium=gmb_sell_02&utm_campaign=gmb_sell_03&utm_term=gmb_sell_04,5.0,,"Liza Motors, Ranchi - Patna Rd, near KIA Showroom, Raj Colony, Hurhuru, Hazaribagh, Jharkhand 825301","Raj Colony, Hurhuru",23.973829,85.37376499999999,ChIJ8Rv3KNV9mjkR2tRx48r166Y,https://www.google.com/maps/place/?q=place_id:ChIJ8Rv3KNV9mjkR2tRx48r166Y,part_384,2026-09-20 20:38:36
Vs Enterprises,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 79031 26711,N/A,5.0,,"Ranchi - Patna Rd, near Konark pool, Sarley, Dipugarha, Hazaribagh, Jharkhand 825301","Sarley, Dipugarha",24.012641199999997,85.3736011,ChIJGe3JuFSd9DkRhKUGWLajz6A,https://www.google.com/maps/place/?q=place_id:ChIJGe3JuFSd9DkRhKUGWLajz6A,part_384,2026-09-20 20:38:36
Kamal Motors,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,,,"Friends Colony, Pugmil, Hazaribagh, Jharkhand 825301","Friends Colony, Pugmil",24.0081584,85.3508887,ChIJm0lDW_2f9DkRpkjPjUYApGU,https://www.google.com/maps/place/?q=place_id:ChIJm0lDW_2f9DkRpkjPjUYApGU,part_384,2026-09-20 20:38:36
Enjan Oil Shop,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 99555 46837,N/A,5.0,,"2, Kud, VishnuPuri, Hazaribagh, Jharkhand 825302","Kud, VishnuPuri",23.9851569,85.3405952,ChIJBWv_8Qif9DkRmT755PHcLGk,https://www.google.com/maps/place/?q=place_id:ChIJBWv_8Qif9DkRmT755PHcLGk,part_384,2026-09-20 20:38:36
Atul Auto Showroom,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto market",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 87096 82176,http://www.atulauto.co.in/,4.3,,"Sindoor, Hazaribagh, Jharkhand 825402",Sindoor,24.024261199999998,85.37835659999999,ChIJ_____0qc9DkR7Z2cUlFYaw0,https://www.google.com/maps/place/?q=place_id:ChIJ_____0qc9DkR7Z2cUlFYaw0,part_384,2026-09-20 20:38:36
"TATA.CARS Showroom - Basudeb Auto , Hazaribagh",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto Accessories Store, Electric motor vehicle dealer",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 91672 20820,https://dealer-locator.cars.tatamotors.com/tata-cars-showroom-basudeb-auto-hazaribagh-car-dealer-masipirhi-hazaribag-557268/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Sri Bhim Nath Heights, NH 33, Masipirhi, Hazaribagh, Jharkhand 825301",Masipirhi,23.959428,85.372905,ChIJaT2quZib9DkRD74EDjShK0Y,https://www.google.com/maps/place/?q=place_id:ChIJaT2quZib9DkRD74EDjShK0Y,part_384,2026-09-20 20:38:36
"Kia Car Showroom - Kalra Kia, Hazaribagh",Car Showroom and Used Car Dealer,Kia dealer,Kia dealer,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 88609 69554,https://kalra-kia-hazaribag.com/,4.9,,"chowk, Patratu, Hurhuru, Hazaribagh, Jharkhand 825301","Patratu, Hurhuru",23.973952099999998,85.37342939999999,ChIJMaUkRnGb9DkRMZUwIMl6aK8,https://www.google.com/maps/place/?q=place_id:ChIJMaUkRnGb9DkRMZUwIMl6aK8,part_384,2026-09-20 20:38:36
"TATA.CARS Service Centre - Basudeb Auto, Zulu Park Road",Car Showroom and Used Car Dealer,Auto Accessories Store,"Auto Accessories Store, Auto parts store, Car wash, Electric motor repair shop",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 70450 72326,https://dealer-locator.cars.tatamotors.com/tata-cars-service-centre-basudeb-auto-zulu-park-road-auto-accessories-stores-zulu-park-road-hazaribagh-104984/Home?utm_source=locator&utm_medium=googleplaces,4.3,,"Ground Floor, Zulu Park Rd, near SBI Main branch, Suresh Colony, Hazaribagh, Jharkhand 825301",Suresh Colony,23.9946861,85.36538019999999,ChIJZ_TvYqGd9DkRSC015skWg2s,https://www.google.com/maps/place/?q=place_id:ChIJZ_TvYqGd9DkRSC015skWg2s,part_384,2026-09-20 20:38:36
Republic Hyundai,Car Showroom and Used Car Dealer,Hyundai dealer,"Hyundai dealer, Car dealer",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 79 4910 7805,N/A,4.5,,"KHATA NO. 7, REPUBLIC HYUNDAI, PLOT NO. 304 305/511, VILL, Masipirhi, Hazaribagh, Jharkhand 825302","VILL, Masipirhi",23.9574172,85.3720371,ChIJP4cdR-qb9DkRN1RpyJDOdbY,https://www.google.com/maps/place/?q=place_id:ChIJP4cdR-qb9DkRN1RpyJDOdbY,part_384,2026-09-20 20:38:36
