business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Beauty Junction,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 97987 51262,N/A,5.0,,"Korrah Chowk, Jabra, Hazaribagh, Jharkhand 825301",Jabra,23.9922591,85.3843776,ChIJBZsRDQCd9DkR_Ez9OVWhkTc,https://www.google.com/maps/place/?q=place_id:ChIJBZsRDQCd9DkR_Ez9OVWhkTc,part_384,2026-09-20 20:38:44
The Beauty Hub,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 99998 22406,N/A,5.0,,"Shop NO 5, Singh Complex, Malviya Marg, Jhanda Chowk, Hazaribagh, Jharkhand 825301",Jhanda Chowk,23.994203,85.3555221,ChIJyfAf21md9DkRaKCT25OcsGU,https://www.google.com/maps/place/?q=place_id:ChIJyfAf21md9DkRaKCT25OcsGU,part_384,2026-09-20 20:38:44
Cosmetics Hub,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 72093 36266,N/A,5.0,,"COSMETICS HUB Deepak textile, malaria marg, near city plaza, Kasai Mohallah, Azad Mahalla, Ranchi, Hazaribagh, Jharkhand 825301","Kasai Mohallah, Azad Mahalla",23.9936485,85.3565473,ChIJSYDQdyCd9DkRLUNIoZMnC44,https://www.google.com/maps/place/?q=place_id:ChIJSYDQdyCd9DkRLUNIoZMnC44,part_384,2026-09-20 20:38:44
Chandani shringar & Cosmetics,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,5.0,,"Hazaribagh - Brakagaon Rd, Jaiprabha Nagar, Hazaribagh, Jharkhand 825302",Jaiprabha Nagar,23.967586999999998,85.35548589999999,ChIJZYsVMgCb9DkRFz_iEoLYPKQ,https://www.google.com/maps/place/?q=place_id:ChIJZYsVMgCb9DkRFz_iEoLYPKQ,part_384,2026-09-20 20:38:44
Forever living products distributor hazaribagh,Cosmetics Wholesaler,Health and beauty shop,Health and beauty shop,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 88730 31481,N/A,5.0,,"Raza masjid, Pabra Rd, Pelawal, Alagdiha, Hazaribagh, Jharkhand 825319",Pelawal,24.029916399999998,85.338338,ChIJiauFF9yf9DkRsnDPlOVrKxQ,https://www.google.com/maps/place/?q=place_id:ChIJiauFF9yf9DkRsnDPlOVrKxQ,part_384,2026-09-20 20:38:44
Anju Distributors,Cosmetics Wholesaler,Wholesaler,"Wholesaler, Pharmaceutical Products Wholesaler, Pharmacy, Wholesale drugstore",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 99557 13298,N/A,4.7,,"Malviya Marg, near Banshilal Chowk, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.9931835,85.3595534,ChIJL-OohRyc9DkRBz0eJYMmLOw,https://www.google.com/maps/place/?q=place_id:ChIJL-OohRyc9DkRBz0eJYMmLOw,part_384,2026-09-20 20:38:44
Amway product distributor in Hazaribag,Cosmetics Wholesaler,Health and beauty shop,Health and beauty shop,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 88629 77879,N/A,5.0,,"Maulana azad colony, Pabra Rd, Pelawal, Hazaribagh, Alagdiha, Jharkhand 825319",Pelawal,24.026790599999998,85.34011919999999,ChIJUQ8GI56f9DkRv9qEOwzVTa0,https://www.google.com/maps/place/?q=place_id:ChIJUQ8GI56f9DkRv9qEOwzVTa0,part_384,2026-09-20 20:38:44
SHRINGAR HOUSE,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,,,"Romi Chowk, Pelawal, Hazaribagh, Jharkhand 835219",Pelawal,24.0212126,85.3316648,ChIJkQoTOb2f9DkRbwySOypoBZA,https://www.google.com/maps/place/?q=place_id:ChIJkQoTOb2f9DkRbwySOypoBZA,part_384,2026-09-20 20:38:44
Shree Ram Enterprises,Cosmetics Wholesaler,Beauty product supplier,Beauty product supplier,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,https://www.vrksa.in/,4.7,,"Ward No: 8, Malviya Marg, New Area, Hazaribagh, Jharkhand 825301",New Area,23.9944626,85.3541012,ChIJU_VUK8Sf9DkRO9HwbnWKpcY,https://www.google.com/maps/place/?q=place_id:ChIJU_VUK8Sf9DkRO9HwbnWKpcY,part_384,2026-09-20 20:38:45
Beauty Parlour & Sringar Store,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 91227 67236,N/A,5.0,,"Mandai Road Near Urdu School Mandaikalan, Hazaribagh, Jharkhand 825319",825301,24.0170677,85.3491475,ChIJ4YrTgmGf9DkRHjd-THOjwiI,https://www.google.com/maps/place/?q=place_id:ChIJ4YrTgmGf9DkRHjd-THOjwiI,part_384,2026-09-20 20:38:45
