business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DTDC courier,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 78704 54320,N/A,5.0,2.0,"DTDC courier service Courier DTDC, DTDC courier, Gwaltoli chouk, opposite mohan talkies, Hazaribagh, Jharkhand 825301","Kasai Mohallah, Azad Mahalla",23.9918712,85.3544572,ChIJxU_H-k6f9DkRZPKYadTUXN8,https://www.google.com/maps/place/?q=place_id:ChIJxU_H-k6f9DkRZPKYadTUXN8,part_384,2026-09-20 20:38:56
Dtdc courier Hazaribagh,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 78704 54320,http://www.dtdc.in/,3.4,108.0,"Matwari Gandhi maidan Matwari, Jharkhand 825301",Hirabag,23.997191299999997,85.3761775,ChIJ7xitZBuc9DkRW0ZAnAuJGQY,https://www.google.com/maps/place/?q=place_id:ChIJ7xitZBuc9DkRW0ZAnAuJGQY,part_384,2026-09-20 20:38:56
Trackon Couriers Pvt. Limited,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 76448 52141,N/A,2.5,10.0,"Subhash Marg, opposite My Jio store, Bara Bazar, Matwari, Hazaribagh, Jharkhand 825301","Bara Bazar, Matwari",23.9916502,85.3607443,ChIJn2FXJ_id9DkRTypMGtYpJqQ,https://www.google.com/maps/place/?q=place_id:ChIJn2FXJ_id9DkRTypMGtYpJqQ,part_384,2026-09-20 20:38:56
Dtdc courier -Ramnagarchowk,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 80925 60895,https://www.dtdc.com/,4.9,7.0,"Ramnagar chowk, below raj guest house, Ramnagar, Hazaribagh, Jharkhand 825301",Ramnagar,23.9959109,85.3419476,ChIJGViAWWmf9DkRpp2iDkMObM4,https://www.google.com/maps/place/?q=place_id:ChIJGViAWWmf9DkRpp2iDkMObM4,part_384,2026-09-20 20:38:56
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,https://www.bluedart.com/,2.7,26.0,"Ps - Sadar, Guru Garima Sadan, P.T.C. Road, Korrah Rd, Hazaribagh, Jharkhand 825301",Suresh Colony,23.996997099999998,85.3726377,ChIJ4djFqG6d9DkRQr2B9b5AtUc,https://www.google.com/maps/place/?q=place_id:ChIJ4djFqG6d9DkRQr2B9b5AtUc,part_384,2026-09-20 20:38:56
DTDC Courier services,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 80925 82004,N/A,3.4,5.0,"Kallu chowk, Malviya Marg, opp. to Bus stand, Okni, Hazaribagh, Jharkhand 825301",Okni,24.0044535,85.3516817,ChIJBwdn6_2f9DkRUrKPzelK64s,https://www.google.com/maps/place/?q=place_id:ChIJBwdn6_2f9DkRUrKPzelK64s,part_384,2026-09-20 20:38:56
First flight couriers,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,3.5,15.0,"1849, Hirabag, Hazaribagh, Jharkhand 825301",Hirabag,23.9968117,85.3755743,ChIJ2UykVBOc9DkRd5qqiwQ7P4k,https://www.google.com/maps/place/?q=place_id:ChIJ2UykVBOc9DkRd5qqiwQ7P4k,part_384,2026-09-20 20:38:56
Shree Maruti Courier,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 87090 20362,N/A,2.3,6.0,"Guru Gobind Singh Rd, near Canara Bank, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.9959825,85.3586941,ChIJZ0ekW4Dj9DkRPzCENqcRVwE,https://www.google.com/maps/place/?q=place_id:ChIJZ0ekW4Dj9DkRPzCENqcRVwE,part_384,2026-09-20 20:38:56
Trackon courier,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,3.3,3.0,"Anada chowk, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.996385,85.3591732,ChIJwcTGPBmd9DkRt8yuKwdggbM,https://www.google.com/maps/place/?q=place_id:ChIJwcTGPBmd9DkRt8yuKwdggbM,part_384,2026-09-20 20:38:56
E-Kart,Courier and Cargo Service,Delivery service,"Delivery service, E-commerce service",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,3.3,164.0,"X9V2+2WJ, Kani bazar, Hazaribagh, Jharkhand 825301",Kani bazar,23.992581899999998,85.352263,ChIJAQ6lTaae9DkRAieXA2Sps7Y,https://www.google.com/maps/place/?q=place_id:ChIJAQ6lTaae9DkRAieXA2Sps7Y,part_384,2026-09-20 20:38:56
INDAIN COURIER & CARGO,Courier and Cargo Service,Shipping service,Shipping service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 70507 20021,N/A,,,"Devi Dayal Ln, Bara Bazar, Matwari, Hazaribagh, Jharkhand 825301","Bara Bazar, Matwari",23.9928554,85.3620789,ChIJUWaCGhuc9DkRojebHBo1Stc,https://www.google.com/maps/place/?q=place_id:ChIJUWaCGhuc9DkRojebHBo1Stc,part_384,2026-09-20 20:38:56
xpressbees courier services Hazaribagh,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,http://www.xpressbees.com/,2.8,70.0,"X9WG+HW9, Matwari, Hazaribagh, Jharkhand 825301",Matwari,23.996415499999998,85.37735889999999,ChIJBeg7wD-d9DkReyYx0jxbgLo,https://www.google.com/maps/place/?q=place_id:ChIJBeg7wD-d9DkReyYx0jxbgLo,part_384,2026-09-20 20:38:56
Trackon Couriers Jharkhand digital seva,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 74880 56172,N/A,,,"near Jharkhand hotel, Pugmil, Hazaribagh, Jharkhand 825319",Pugmil,24.0088887,85.3459262,ChIJOToHlSqf9DkRTqTcUUG9Ssg,https://www.google.com/maps/place/?q=place_id:ChIJOToHlSqf9DkRTqTcUUG9Ssg,part_384,2026-09-20 20:38:56
Trackon Courier Pvt. Ltd.,Courier and Cargo Service,Courier service,"Courier service, Service establishment",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,1.4,11.0,"Trackon Courier Pvt. Ltd., 825301, India",825301,21.0680074,82.7525294,ChIJuTfeL6-f9DkRMy2ao8Bi-f8,https://www.google.com/maps/place/?q=place_id:ChIJuTfeL6-f9DkRMy2ao8Bi-f8,part_384,2026-09-20 20:38:56
Akash Ganga Courier,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 11 2875 2881,http://www.akashganga.info/,2.7,3.0,"285X+8W7, Friends Colony, Pugmil, Hazaribagh, Jharkhand 825319","Friends Colony, Pugmil",24.008289899999998,85.3498049,ChIJHQAAAJye9DkRLFSNzuvJb0E,https://www.google.com/maps/place/?q=place_id:ChIJHQAAAJye9DkRLFSNzuvJb0E,part_384,2026-09-20 20:38:56
Blue Dart courier,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,https://www.bluedart.com/,2.8,10.0,"X9RW+75P, Nutan Nagar Colony Rd, Nutan Nagar Colony, Hazaribagh, Jharkhand 825303",Nutan Nagar Colony,23.9907109,85.3954486,ChIJjz3oVACd9DkR3d2Y5Gs57PM,https://www.google.com/maps/place/?q=place_id:ChIJjz3oVACd9DkR3d2Y5Gs57PM,part_384,2026-09-20 20:38:56
Head Post Office,Courier and Cargo Service,Post office,Post office,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",+91 6546 223 436,http://www.indiapost.gov.in/,3.4,,"X9V8+2CX, Julu Park, Hazaribagh, Jharkhand 825301",Suresh Colony,23.992617199999998,85.3661077,ChIJpyJzbRCc9DkRAKFZShxLNWQ,https://www.google.com/maps/place/?q=place_id:ChIJpyJzbRCc9DkRAKFZShxLNWQ,part_384,2026-09-20 20:38:57
Deliver Now,Courier and Cargo Service,Delivery service,"Delivery service, Grocery delivery service, Herbal medicine store, Meal delivery, Pizza delivery",825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,N/A,5.0,,"Okni Talab Rd, Okni, Hazaribagh, Jharkhand 825301",Okni,24.0008649,85.3516179,ChIJZZdMAsWf9DkRG7uYNdZLdqA,https://www.google.com/maps/place/?q=place_id:ChIJZZdMAsWf9DkRG7uYNdZLdqA,part_384,2026-09-20 20:38:57
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,825301,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hazaribagh HO, Bara Bazar SO Hazaribag, Boddam Bazar SO",N/A,https://www.bluedart.com/,2.9,,"Arnav Enterprises, Shree Jee Complex, Kali Bari Rd, nr. Bank Of Baroda, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.9941195,85.3587788,ChIJy2A9Zxyc9DkROuV4D7E3qAs,https://www.google.com/maps/place/?q=place_id:ChIJy2A9Zxyc9DkROuV4D7E3qAs,part_384,2026-09-20 20:38:58
