business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vikash Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 83403 57910,N/A,5.0,1.0,"Daily Market, Barkagaon, Jharkhand 825311",825311,23.8550273,85.21489439999999,ChIJNWHJZlC99DkRzHsWsKHtBDY,https://www.google.com/maps/place/?q=place_id:ChIJNWHJZlC99DkRzHsWsKHtBDY,part_384,2026-09-20 20:40:33
UMA JEWELLARS,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 83405 16484,N/A,5.0,1.0,"UMA JEWELLARS 15 NO CHOWK, Barkagaon, Jharkhand 825311",825311,23.8539846,85.21576189999999,ChIJ5bQlO0u99DkRsCh_1bcb5OA,https://www.google.com/maps/place/?q=place_id:ChIJ5bQlO0u99DkRsCh_1bcb5OA,part_384,2026-09-20 20:40:33
प्रियांशु ज्वेलर्स,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",N/A,N/A,4.0,1.0,"R749+PWM, Barkagaon Sayal Rd, Balia, Kharanti, Jharkhand 825311",825311,23.806849,85.2697912,ChIJWTj-qvW99DkRG2RDs2nozJ0,https://www.google.com/maps/place/?q=place_id:ChIJWTj-qvW99DkRG2RDs2nozJ0,part_384,2026-09-20 20:40:33
Suraj Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 99051 98530,N/A,5.0,1.0,"Ward No 8, Karali Road, near Jio Office, Keredari, Ome, Jharkhand 825311",825311,23.860842599999998,85.089018,ChIJ9y2NDwOx9DkRnmjwkATxPP0,https://www.google.com/maps/place/?q=place_id:ChIJ9y2NDwOx9DkRnmjwkATxPP0,part_384,2026-09-20 20:40:33
PARASNATH JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 79799 80135,N/A,5.0,1.0,"road, Hurhuru, Barkagaon, Hazaribagh, Jharkhand 825301",Hurhuru,23.977061,85.3582717,ChIJQ92vj5Wb9DkRTFbo-Lvebt4,https://www.google.com/maps/place/?q=place_id:ChIJQ92vj5Wb9DkRTFbo-Lvebt4,part_384,2026-09-20 20:40:33
shivam jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 70702 84233,N/A,5.0,11.0,"Gowal Toli Chowk, Malviya Marg, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.998997499999998,85.3595057,ChIJo_zN00Kd9DkR6kogglleHwM,https://www.google.com/maps/place/?q=place_id:ChIJo_zN00Kd9DkR6kogglleHwM,part_384,2026-09-20 20:40:34
Maa Munni Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 94319 75037,N/A,4.8,4.0,"Chowk, near Durga Mandap, Hurhuru, Hazaribagh, Jharkhand 825301",Hurhuru,23.980518099999998,85.370836,ChIJkRI7GQqc9DkR73iaGmsMqvw,https://www.google.com/maps/place/?q=place_id:ChIJkRI7GQqc9DkR73iaGmsMqvw,part_384,2026-09-20 20:40:34
Kalawati Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 81022 76830,N/A,4.7,3.0,"Main Rd, Bhurkunda, Jharkhand 829106",825311,23.6480836,85.3631509,ChIJucMKoofs9DkRp0DJCeVixVo,https://www.google.com/maps/place/?q=place_id:ChIJucMKoofs9DkRp0DJCeVixVo,part_384,2026-09-20 20:40:34
न्यू झारखण्ड ज्वेलर्स,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",N/A,N/A,2.0,,"Barkagaon, Jharkhand 825311",825311,23.854211799999998,85.2152131,ChIJOXI_IOq89DkR_flTDvuVfgw,https://www.google.com/maps/place/?q=place_id:ChIJOXI_IOq89DkR_flTDvuVfgw,part_384,2026-09-20 20:40:35
Maa Durga Jwelers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 62014 65742,N/A,5.0,,"Maa Durga Jewellers, Balsagra Chowk, Ramgarh, Huwag, Jharkhand 825330",825311,23.759521799999998,85.4365935,ChIJkSqNC8GT9DkRsLsZ33QkpXM,https://www.google.com/maps/place/?q=place_id:ChIJkSqNC8GT9DkRsLsZ33QkpXM,part_384,2026-09-20 20:40:35
Subham Soni Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,825311,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barkagaon SO, Ambajit BO, Badam BO",+91 92799 64229,N/A,3.7,,"Ward No 5, Tandwa Road, near Shiv Mandir, Jordag, Jharkhand 825321",825311,23.874729799999997,85.0604267,ChIJNWnzbGmv9DkRN5mRSuXD8oM,https://www.google.com/maps/place/?q=place_id:ChIJNWnzbGmv9DkRN5mRSuXD8oM,part_384,2026-09-20 20:40:35
