business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
चानो बिष्णुगढ़ हजारीबाग झारखंड,Supermarket,Grocery store,Grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,4.0,13.0,"XRFJ+X7V, बनासो Road, Chano, Jharkhand 825312",825312,23.9749753,85.8306788,ChIJVY979jhx9DkRpXyswIOMpzU,https://www.google.com/maps/place/?q=place_id:ChIJVY979jhx9DkRpXyswIOMpzU,part_384,2026-09-20 20:41:07
Banaso ke Yaduvanshi कृष्णौत,Supermarket,Grocery store,Grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,4.1,77.0,"Banaso, Jharkhand 825312",825312,23.9813176,85.78052009999999,ChIJ55mUssZx9DkRNBbK1zMVn0Y,https://www.google.com/maps/place/?q=place_id:ChIJ55mUssZx9DkRNBbK1zMVn0Y,part_384,2026-09-20 20:41:07
Kifayti SUPERMART,Supermarket,Supermarket,Supermarket,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",+91 89359 65695,N/A,4.6,13.0,"Near, Harihardham Rd, Bagodar, Jharkhand 825322",825312,24.0734276,85.8226253,ChIJx4ho0Th39DkRrRG3BfPZPFE,https://www.google.com/maps/place/?q=place_id:ChIJx4ho0Th39DkRrRG3BfPZPFE,part_384,2026-09-20 20:41:07
AL Hind Genral stor,Supermarket,Grocery store,Grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,,,"Kharkhundo, Jharkhand 825312",825312,23.9623512,85.71278509999999,ChIJ9WldQAB79DkRtLGkePAcrJ4,https://www.google.com/maps/place/?q=place_id:ChIJ9WldQAB79DkRtLGkePAcrJ4,part_384,2026-09-20 20:41:07
KISKU GENERAL STORE,Supermarket,Grocery store,Grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,4.5,2.0,"Nagi, Jharkhand 825312",825312,23.955074999999997,85.81897459999999,ChIJ5YfuOwBx9DkRSwtUTvFBFV0,https://www.google.com/maps/place/?q=place_id:ChIJ5YfuOwBx9DkRSwtUTvFBFV0,part_384,2026-09-20 20:41:07
Chotelal Store,Supermarket,Supermarket,Supermarket,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",+91 91359 81082,N/A,,,"Block Road, Chedra, Bishnugarh, Cherra, Jharkhand 825312",Chedra,24.0189138,85.7508022,ChIJJbZRdX559DkRe_ie48M9OxM,https://www.google.com/maps/place/?q=place_id:ChIJJbZRdX559DkRe_ie48M9OxM,part_384,2026-09-20 20:41:07
Afan Super Market,Supermarket,Grocery store,Grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,,,"XQX9+8G7, Nawada, Jharkhand 825312",825312,23.9982878,85.7687868,ChIJ84c8BQB39DkRv9T50EkcQ-c,https://www.google.com/maps/place/?q=place_id:ChIJ84c8BQB39DkRv9T50EkcQ-c,part_384,2026-09-20 20:41:07
DN MART,Supermarket,Indian grocery store,Indian grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",+91 82925 21349,N/A,4.8,10.0,"Manjhiladih, Jharkhand 825322",825312,24.0806257,85.82115809999999,ChIJlXvxJSR29DkRDrlovmSNsSA,https://www.google.com/maps/place/?q=place_id:ChIJlXvxJSR29DkRDrlovmSNsSA,part_384,2026-09-20 20:41:07
Sohit general Store,Supermarket,Grocery store,Grocery store,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,5.0,11.0,"4P3J+MG4, Atkadih, Gorhar, Antkadih, Jharkhand 825322",825312,24.104131199999998,85.7313197,ChIJVaa1VGWH8zkRpzcG0ILUdb0,https://www.google.com/maps/place/?q=place_id:ChIJVaa1VGWH8zkRpzcG0ILUdb0,part_384,2026-09-20 20:41:07
S.K. enterprises,Supermarket,Shopping mall,Shopping mall,825312,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bishungarh SO Hazaribag, Banaso BO, Bhelwara BO",N/A,N/A,3.9,19.0,"Chedra bishnugarh, Cherra, Bishungarh, Jharkhand 825312",825312,24.0166362,85.74577699999999,ChIJV1pbgr959DkRenBAojT2qpw,https://www.google.com/maps/place/?q=place_id:ChIJV1pbgr959DkRenBAojT2qpw,part_384,2026-09-20 20:41:07
