business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DAS Learning & Digital Center,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,,,"Barwadih, Jharkhand 825318",825318,24.361520199999998,85.7862904,ChIJObiSoPyR8zkRTmU8eGWlcdg,https://www.google.com/maps/place/?q=place_id:ChIJObiSoPyR8zkRTmU8eGWlcdg,part_384,2026-09-20 20:45:18
"Calibre coaching centre, Nawagarh Chatti",Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",+91 86516 98722,N/A,5.0,1.0,"Garabar Road, Chatti, Dhanwar, Jharkhand 825318",825318,24.3345818,85.8705742,ChIJi-aUVHCT8zkRySjJ2EZzt-Y,https://www.google.com/maps/place/?q=place_id:ChIJi-aUVHCT8zkRySjJ2EZzt-Y,part_384,2026-09-20 20:45:18
AdiShiv Academy,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",+91 73680 03711,N/A,5.0,2.0,"P.S.- DHANWAR, POST, VILL, Chandarkho, Makdiha, Jharkhand 825418",VILL,24.4014088,85.8985478,ChIJ79gdZjOV8zkRYZsyshx6wCw,https://www.google.com/maps/place/?q=place_id:ChIJ79gdZjOV8zkRYZsyshx6wCw,part_384,2026-09-20 20:45:18
ACHIEVERS' ACADEMY,Tuition Center,Education center,"Education center, Service establishment",825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",+91 85818 83179,https://www.achieversacademymarkacho28.com/,5.0,1.0,"ACHIEVERS' ACADEMY, 825318, India",825318,24.3086,85.8367,ChIJcVt3SoNXZyoRMP68xXGxQ_A,https://www.google.com/maps/place/?q=place_id:ChIJcVt3SoNXZyoRMP68xXGxQ_A,part_384,2026-09-20 20:45:18
Guide line coaching,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,4.0,1.0,"CP2H+P47, Kundi Dhanwar, Jharkhand 825418",825318,24.401780499999997,85.7278043,ChIJK-8xGG6Z8zkRnZRakgbNpJo,https://www.google.com/maps/place/?q=place_id:ChIJK-8xGG6Z8zkRnZRakgbNpJo,part_384,2026-09-20 20:45:18
Brilliant coaching centre Bichariya,Tuition Center,Coaching Center,Coaching Center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,3.0,2.0,"9RCF+RR2, Bichariya, Naitanr, Jharkhand 825318",Bichariya,24.3720194,85.82451259999999,ChIJ4-goYZiX8zkR5DB2tqm9R-g,https://www.google.com/maps/place/?q=place_id:ChIJ4-goYZiX8zkR5DB2tqm9R-g,part_384,2026-09-20 20:45:18
Mr. Surya coaching,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,5.0,,"6WW4+PJX, Manjhiladih, Majhladih, Jharkhand 825324",825318,24.246869999999998,85.9065967,ChIJ7_hWoTuN8zkRJ0k7ceOOzDc,https://www.google.com/maps/place/?q=place_id:ChIJ7_hWoTuN8zkRJ0k7ceOOzDc,part_384,2026-09-20 20:45:18
SUCCESS POINT,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,5.0,,"CVQJ+WQH, Ghorthamba, Bansdubia, Jharkhand 825418",825318,24.439812999999997,85.88198829999999,ChIJ3XDtv1yV8zkRyd6DBytF5Gw,https://www.google.com/maps/place/?q=place_id:ChIJ3XDtv1yV8zkRyd6DBytF5Gw,part_384,2026-09-20 20:45:18
Aryans Coaching Centre,Tuition Center,Coaching Center,Coaching Center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,3.4,,"8GM5+VPG, Barki Dhamrai, Jharkhand 825413",825318,24.3346757,85.50931489999999,ChIJr77J4Dlx8zkR-cy-PEg3mS8,https://www.google.com/maps/place/?q=place_id:ChIJr77J4Dlx8zkR-cy-PEg3mS8,part_384,2026-09-20 20:45:18
Tution,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",N/A,N/A,,,"9P34+H3X, Pipcho, Jharkhand 825318",825318,24.3540951,85.70517889999999,ChIJ2-5640Ob8zkRNOnaN6EgONA,https://www.google.com/maps/place/?q=place_id:ChIJ2-5640Ob8zkRNOnaN6EgONA,part_384,2026-09-20 20:45:19
JM CONCEPT Coaching centre,Tuition Center,Education center,Education center,825318,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Markacho SO, Chopnadih BO, Dasarokhurd BO",+91 85798 46034,https://jm-concept-palaunjia-36ad9.netlify.app/,5.0,,"At Simradhab, post, Palaunjia, Birni, Jharkhand 825324",825318,24.2822544,85.9295854,ChIJtQKiZJ2T8zkRzYieXUynDnU,https://www.google.com/maps/place/?q=place_id:ChIJtQKiZJ2T8zkRzYieXUynDnU,part_384,2026-09-20 20:45:19
