business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vijay Store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 62032 77757,N/A,,,"123 Bharkatt, Vidya Road, near Naman Vidhyalaya, Giridih, Jharkhand 825324",825324,24.2122718,86.02744659999999,ChIJKVZD2Nvx8zkRuWa27-2Tbak,https://www.google.com/maps/place/?q=place_id:ChIJKVZD2Nvx8zkRuWa27-2Tbak,part_384,2026-09-20 20:48:37
NURAIN BROTHERS,Provision Store,General store,"General store, Cafe",825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 95081 63928,https://www.youtube.com/@MrRaja-v8q,4.7,3.0,"Karbla nagar, Tetariya slaidih, birni, Tetaria Salaidih, Jharkhand 825324",825324,24.2748557,85.9602895,ChIJC3S3GbXz8zkR2OSRw1XGuWc,https://www.google.com/maps/place/?q=place_id:ChIJC3S3GbXz8zkR2OSRw1XGuWc,part_384,2026-09-20 20:48:37
Good Luck General Store,Provision Store,Store,Store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 70048 09492,N/A,4.1,9.0,"bus stand, Bharkatta, Manikdiha, Jharkhand 825324",825324,24.2087066,86.0324859,ChIJxQeC7KHx8zkRzFmSd_mkVPE,https://www.google.com/maps/place/?q=place_id:ChIJxQeC7KHx8zkRzFmSd_mkVPE,part_384,2026-09-20 20:48:37
Shri Shyam Atta & Mashala Mill,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 85219 92229,N/A,4.5,2.0,"Road, nearby Ram Janki Mandir, Bharkatta, Suriya, Jharkhand 825324",825324,24.208150999999997,86.0321898,ChIJNVA2Uq3x8zkRvvrs1Bjp7MM,https://www.google.com/maps/place/?q=place_id:ChIJNVA2Uq3x8zkRvvrs1Bjp7MM,part_384,2026-09-20 20:48:37
Lohani General Store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",N/A,N/A,5.0,1.0,"102, Maharana Pratap Marg, Naitanr, Baidapahari, Jharkhand 825324",Naitanr,24.203005299999997,86.03258509999999,ChIJeaWKUXDx8zkRVLTpP4oC4ls,https://www.google.com/maps/place/?q=place_id:ChIJeaWKUXDx8zkRVLTpP4oC4ls,part_384,2026-09-20 20:48:37
Niki General Store,Provision Store,General store,"General store, Electronics hire shop",825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",N/A,N/A,,,"Khurjio, Masjid Rd, Khurjio, Jharkhand 825324",825324,24.2089163,86.0752207,ChIJxanQ9TLx8zkRGn9kcmv11IA,https://www.google.com/maps/place/?q=place_id:ChIJxanQ9TLx8zkRGn9kcmv11IA,part_384,2026-09-20 20:48:37
Maa Ambey Jenral Store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",N/A,N/A,3.0,5.0,"Jamua - Chitardh - Giridh Rd, Bati, Jharkhand 815318",825324,24.3505623,86.1790602,ChIJtRBFCQDj8zkRxtWJdG6vDmo,https://www.google.com/maps/place/?q=place_id:ChIJtRBFCQDj8zkRxtWJdG6vDmo,part_384,2026-09-20 20:48:38
Anup general Store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 62015 35892,N/A,,,"622R+4FR Birni, Baidapahari, Jharkhand 825324",825324,24.200224799999997,86.04112839999999,ChIJDa6wcADx8zkR1O6hsjMCpq4,https://www.google.com/maps/place/?q=place_id:ChIJDa6wcADx8zkR1O6hsjMCpq4,part_384,2026-09-20 20:48:38
Deepak General Store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 62025 66922,N/A,5.0,1.0,"Deepak General Store, Bazar, Bharkatta, Naitanr, Jharkhand 825324",825324,24.207652,86.0328833,ChIJWXOIlmHx8zkRBEfMQiL5WWE,https://www.google.com/maps/place/?q=place_id:ChIJWXOIlmHx8zkRBEfMQiL5WWE,part_384,2026-09-20 20:48:38
DIWAS GENERAL STORE,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 72785 31289,N/A,3.0,2.0,"02 Dhawatand Po, Main Road Near Primary Schoo Dhawatand, Road, Khijuri, Tisri, Jharkhand 815317",825324,24.551427,86.10802149999999,ChIJX39IWATd8zkR1MjeNw9QQkg,https://www.google.com/maps/place/?q=place_id:ChIJX39IWATd8zkR1MjeNw9QQkg,part_384,2026-09-20 20:48:38
Praveen General Store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 85210 24581,N/A,5.0,1.0,"Pethandi, Giridih - Jamua Rd, Jamua, Chorpoko, Jharkhand 815318",825324,24.3661972,86.153419,ChIJ1yKobpPl8zkRqg4fxth0zBQ,https://www.google.com/maps/place/?q=place_id:ChIJ1yKobpPl8zkRqg4fxth0zBQ,part_384,2026-09-20 20:48:39
Basant kirana store,Provision Store,General store,General store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 93044 50963,N/A,5.0,2.0,"Bengabad, Damodardih, Jharkhand 815302",825324,24.297152699999998,86.356014,ChIJywFOOzJb8TkRHO4lGuIJg4w,https://www.google.com/maps/place/?q=place_id:ChIJywFOOzJb8TkRHO4lGuIJg4w,part_384,2026-09-20 20:48:39
Sandeep Store,Provision Store,Cosmetics store,Cosmetics store,825324,Jharkhand Circle,Ranchi Region,Giridih Division,"Palounjia SO, Bangrakala BO, Dabri BO",+91 98355 29377,http://www.sandeepstore.in/,4.6,18.0,"Bada Chowk, near Jain Mandir, Giridih, Jharkhand 815301",825324,24.180648899999998,86.31164629999999,ChIJ82u_WwJV8TkRwt5ZCTkcEtg,https://www.google.com/maps/place/?q=place_id:ChIJ82u_WwJV8TkRwt5ZCTkcEtg,part_384,2026-09-20 20:48:39
