business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chamunda Dairy,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 6355 432 350,N/A,4.5,33.0,"Opp. Sonal Park, Hirawadi Rd, Saijpur Bogha, Ahmedabad, Gujarat 382345","Bhavani Park Society Part 2, Hirawadi, Saijpur Bogha",23.0482953,72.6358971,ChIJW_12tb-GXjkR9mCu--3sl-Y,https://www.google.com/maps/place/?q=place_id:ChIJW_12tb-GXjkR9mCu--3sl-Y,part_384,2026-09-20 20:50:31
Prakruti Milk,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 82175 40006,N/A,5.0,208.0,"Ho no 54, Arjun Vihar, Gokul Rd, Nehru Nagar, Hubballi, Karnataka 580024",Nehru Nagar,15.3521884,75.0942846,ChIJu1L3sCDXuDsRl558z-rqhFg,https://www.google.com/maps/place/?q=place_id:ChIJu1L3sCDXuDsRl558z-rqhFg,part_384,2026-09-20 20:50:31
Monica's Fresh Paneer,Dairy and Milk Parlour,Dairy,Dairy,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 98803 77744,N/A,5.0,48.0,"A1, Apartment, BLOCK-1, 101, Kodigehalli - Thindlu Main Rd, Dhanalakshmi Layout, Kodigehalli, Bengaluru, Karnataka 560097","Dhanalakshmi Layout, Kodigehalli",13.0647133,77.5719666,ChIJrzV4XsIZrjsRR3-dEdT2e_Q,https://www.google.com/maps/place/?q=place_id:ChIJrzV4XsIZrjsRR3-dEdT2e_Q,part_384,2026-09-20 20:50:31
Nandini Mother Diary,Dairy and Milk Parlour,Store,Store,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 1800 425 8030,N/A,4.1,13.0,"3rd Block East, LIC Colony, Jayanagar 3rd Block East, Byrasandra, Bengaluru, Karnataka 560011","CHCS Layout, LIC Colony, Byrasandra, Jayanagar",12.9308208,77.5905688,ChIJqQ_DZKMVrjsRlIorVpWyq_Q,https://www.google.com/maps/place/?q=place_id:ChIJqQ_DZKMVrjsRlIorVpWyq_Q,part_384,2026-09-20 20:50:31
Arna Dairy Farm Pvt. Ltd,Dairy and Milk Parlour,Dairy farm,Dairy farm,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 96863 25511,N/A,4.6,150.0,"Bileshivale Main Rd, Hanumanthappa Layout, Essel gardens, Bengaluru, Karnataka 560077","Hanumanthappa Layout, Essel gardens",13.0564942,77.6644884,ChIJOTOcpFMXrjsRpIhF9FGXsks,https://www.google.com/maps/place/?q=place_id:ChIJOTOcpFMXrjsRpIhF9FGXsks,part_384,2026-09-20 20:50:31
Nandini Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 80666 60000,https://www.kmfnandini.coop/,4.3,32.0,"Nandini Milk Booth, Subramanyapura Police Station, 67, Dr Rajkumar Rd, E block, Subramanyanagar,2 State, Rajajinagar, Bengaluru, Karnataka 560010","E block, Subramanyanagar,2 State, Rajajinagar",13.0033462,77.55370119999999,ChIJKY84XoQ9rjsRqPvqfOOrQW4,https://www.google.com/maps/place/?q=place_id:ChIJKY84XoQ9rjsRqPvqfOOrQW4,part_384,2026-09-20 20:50:31
Aavin Milk Sales,Dairy and Milk Parlour,Restaurant,Restaurant,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 99526 80892,N/A,4.4,19.0,"Shop No,1, maruthi Nagar,Dhargha, Hosut, Sunnambu Jeebi, Hosur, Tamil Nadu 635126","maruthi Nagar,Dhargha, Hosut, Sunnambu Jeebi",12.7460834,77.81526579999999,ChIJq5qsH_JxrjsRgG3q7j34riM,https://www.google.com/maps/place/?q=place_id:ChIJq5qsH_JxrjsRgG3q7j34riM,part_384,2026-09-20 20:50:31
Sri Shivaji Dairy Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,N/A,N/A,4.6,14.0,"QQMH+XQV, Pothireddypalli Road, Onipenta, Andhra Pradesh 516173",825329,14.7849992,78.7794158,ChIJJf0rRWeDtDsRJoOQiwxGVqE,https://www.google.com/maps/place/?q=place_id:ChIJJf0rRWeDtDsRJoOQiwxGVqE,part_384,2026-09-20 20:50:31
Nandini Dairy products,Dairy and Milk Parlour,Dairy store,Dairy store,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,+91 1800 425 8030,https://www.kmfnandini.coop/en,4.2,71.0,"WHCJ+M7Q, 5th Main Rd, 5th Block, Jayanagar, Bengaluru, Karnataka 560041","5th Block, Jayanagar",12.921721499999999,77.5807359,ChIJefnsIZ4VrjsRYKfWgIuWrIU,https://www.google.com/maps/place/?q=place_id:ChIJefnsIZ4VrjsRYKfWgIuWrIU,part_384,2026-09-20 20:50:31
Nandini Milk Dairy Booth,Dairy and Milk Parlour,Dairy store,Dairy store,825329,Jharkhand Circle,Ranchi Region,Giridih Division,Shikherjee SO,N/A,N/A,3.6,77.0,"XJJ7+XX6, Rukmani Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042","Rukmani Colony, Sivanchetti Gardens",12.9824006,77.6148829,ChIJ1fqt3o4WrjsRUkPQAUIIfuc,https://www.google.com/maps/place/?q=place_id:ChIJ1fqt3o4WrjsRUkPQAUIIfuc,part_384,2026-09-20 20:50:31
