business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Trekker stand shed,Bar and Pub,Stand bar,Stand bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.8,,"JGG8+7GC, Old Bus Station, Stand Rd, Ramgarh Cantonment, Jharkhand 829122",825330,23.6256854,85.51627189999999,ChIJs-1c9Evz9DkR1D9b3GiljhY,https://www.google.com/maps/place/?q=place_id:ChIJs-1c9Evz9DkR1D9b3GiljhY,part_385,2026-09-20 20:19:26,811
Blackberry Bar & Restaurant,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,3.9,,"R6RP+RRQ, Badam Rd, Sanrh, Jharkhand 825311",825330,23.8420837,85.2371046,ChIJ45loZRG99DkRKY-WU7OhaW4,https://www.google.com/maps/place/?q=place_id:ChIJ45loZRG99DkRKY-WU7OhaW4,part_385,2026-09-20 20:19:26,812
RUNGTA STEEL TMT BAR,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"Mandu, Jharkhand 825316",825330,23.801768499999998,85.4685994,ChIJZwTEgnqO9DkR5OzOTLQ9NDo,https://www.google.com/maps/place/?q=place_id:ChIJZwTEgnqO9DkR5OzOTLQ9NDo,part_385,2026-09-20 20:19:26,813
Muskan Restaurant & Bar,Bar and Pub,Bar,"Bar, Restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 79034 43082,N/A,4.2,,"Road, Urimari, Talaswar, Jharkhand 825311",825330,23.7950292,85.2489245,ChIJhXfMRQC99DkRJe4z0UNIDF4,https://www.google.com/maps/place/?q=place_id:ChIJhXfMRQC99DkRJe4z0UNIDF4,part_385,2026-09-20 20:19:26,814
Babu Da Iaine Hotle,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.1,,"PHFQ+VH5, Barbanda, Jharkhand 829134",825330,23.724647899999997,85.5889748,ChIJ____P72K9DkRLRDp4kadV7Y,https://www.google.com/maps/place/?q=place_id:ChIJ____P72K9DkRLRDp4kadV7Y,part_385,2026-09-20 20:19:26,815
Navdhanya restaurant & Bar,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,3.3,,"MGR6+CH4, Ramgarh City Rd, Bharechnagar, Jharkhand 829117",825330,23.6910107,85.5114668,ChIJ03J0awHz9DkRZwp7WPJ_NRo,https://www.google.com/maps/place/?q=place_id:ChIJ03J0awHz9DkRZwp7WPJ_NRo,part_385,2026-09-20 20:19:26,816
Gulaabo club Bar,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.0,,"RF68+8R8, Mandu, Jharkhand 825316",825330,23.810676899999997,85.4676771,ChIJPwVyDwCP9DkR91_kS0OVv4Q,https://www.google.com/maps/place/?q=place_id:ChIJPwVyDwCP9DkR91_kS0OVv4Q,part_385,2026-09-20 20:19:26,817
Sri Balaji Bar and Restaurant,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.1,,"Charhi Station Rd, Daso Khap, Indra, Jharkhand 825336",825330,23.8443261,85.44319949999999,ChIJKfRvgz-P9DkRFlV3-sWQ3NM,https://www.google.com/maps/place/?q=place_id:ChIJKfRvgz-P9DkRFlV3-sWQ3NM,part_385,2026-09-20 20:19:26,818
Akshey Singh,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"Khamdih, Ranchi Road, Ramgarh Cantonment, Jharkhand 829117",Ranchi Road,23.666188599999998,85.51225199999999,ChIJ2QfDSgLz9DkRDz1YTyO35bs,https://www.google.com/maps/place/?q=place_id:ChIJ2QfDSgLz9DkRDz1YTyO35bs,part_385,2026-09-20 20:19:26,819
Guniya jharkhand,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"Q96F+FPP, Khapiya, Jharkhand 825311",825330,23.761207199999998,85.3743339,ChIJedg_XwCT9DkR6K35yOf7BWI,https://www.google.com/maps/place/?q=place_id:ChIJedg_XwCT9DkR6K35yOf7BWI,part_385,2026-09-20 20:19:26,820
SuGu LoVe ViVeK,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"JGQ6+3R7, Ramgarh City Rd, Ramgarh Cantonment, Jharkhand 829122",825330,23.6376658,85.512042,ChIJNRqBjSnz9DkRXZI9yi5ZSQE,https://www.google.com/maps/place/?q=place_id:ChIJNRqBjSnz9DkRXZI9yi5ZSQE,part_385,2026-09-20 20:19:26,821
ANIL RICE BEER SHOP,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 79031 13398,N/A,5.0,,"Sidhwar Road, Tyrmore, Ramgarh, Ranchi, Ramgarh Cantonment, Jharkhand 829122","Tyrmore, Ramgarh",23.611259399999998,85.5171967,ChIJZWfixybz9DkRVCePLczT22s,https://www.google.com/maps/place/?q=place_id:ChIJZWfixybz9DkRVCePLczT22s,part_385,2026-09-20 20:19:26,822
Haweli,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,,,"PC95+66, Husir, Jharkhand 829109",825330,23.7181124,85.4080303,ChIJcaEuKQCT9DkRoE5HMmWtpnc,https://www.google.com/maps/place/?q=place_id:ChIJcaEuKQCT9DkRoE5HMmWtpnc,part_385,2026-09-20 20:19:26,823
Nanda Bar And Restaurant,Bar and Pub,Bar,"Bar, Restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 72772 19888,N/A,4.1,,"Stand Rd, Ramgarh Cantonment, Jharkhand 829122",825330,23.625881099999997,85.51578649999999,ChIJj7KAvfTz9DkRctAtXqoPxXY,https://www.google.com/maps/place/?q=place_id:ChIJj7KAvfTz9DkRctAtXqoPxXY,part_385,2026-09-20 20:19:26,824
Pawan Raj restaurant and bar,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91232 91268,N/A,4.0,,"more, Gumia, Jharkhand 829111",825330,23.799805799999998,85.8266415,ChIJCSb0u5dp9DkRg55o1dS9aCo,https://www.google.com/maps/place/?q=place_id:ChIJCSb0u5dp9DkRg55o1dS9aCo,part_385,2026-09-20 20:19:26,825
Hotel Saini,Bar and Pub,Restaurant,"Restaurant, Hotel",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 92040 60455,https://www.sainihotel.com/,4.1,,"33, National Highway, Ramgarh Cantonment, Kankebar, Jharkhand 825101",825330,23.593733099999998,85.534798,ChIJF1i7l6T29DkR4T7nAVb8h4M,https://www.google.com/maps/place/?q=place_id:ChIJF1i7l6T29DkR4T7nAVb8h4M,part_385,2026-09-20 20:19:26,826
Manoj Kiri da ka ghar,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"RC78+7RR, Harhad, Jharkhand 825336",825330,23.8132356,85.4170169,ChIJrdkg3QGR9DkRgX_Roav4XLI,https://www.google.com/maps/place/?q=place_id:ChIJrdkg3QGR9DkRgX_Roav4XLI,part_385,2026-09-20 20:19:26,827
Munsi restaurant & bar,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.5,,"96MR+25W, Bigha, Jharkhand 825406",825330,24.382488,85.2407317,ChIJmVnrPgBB8zkRQzDTIaHSnsI,https://www.google.com/maps/place/?q=place_id:ChIJmVnrPgBB8zkRQzDTIaHSnsI,part_385,2026-09-20 20:19:27,828
Oak Grove,Bar and Pub,Lounge bar,"Lounge bar, Fast food restaurant, Restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 75418 18111,http://oakhospitality.in/,4.2,,"Krishna Mall, 287, Ashok Nagar Rd, Central Ashoka Colony, Ashok Vihar, Ashok Nagar, Ranchi, Jharkhand 834002","Central Ashoka Colony, Ashok Vihar, Ashok Nagar",23.3499502,85.30785809999999,ChIJH6QdjlHg9DkRsZLGvoZL7Bw,https://www.google.com/maps/place/?q=place_id:ChIJH6QdjlHg9DkRsZLGvoZL7Bw,part_385,2026-09-20 20:19:27,829
Somras Cafe & Bar,Bar and Pub,Bar,"Bar, Cafe",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91234 61206,http://www.hotelimperialheights.com/,4.8,1057.0,"Ground Floor, Hotel Imperial Heights, Near, Baidyanathdham Railway Station Rd, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.489369,86.69279569999999,ChIJ70Y-M_QX8TkReSSt2jK6W70,https://www.google.com/maps/place/?q=place_id:ChIJ70Y-M_QX8TkReSSt2jK6W70,part_385,2026-09-20 20:19:28,830
UP&UP - THE MUSICAL TERRACE,Bar and Pub,Lounge bar,"Lounge bar, Night club",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,https://upclub21.wixsite.com/upup,4.4,2571.0,"3rd & 5th Floor, SB-54-C, Rambagh Circle, Tonk Rd, Rambagh, Jaipur, Rajasthan 302015",Rambagh,26.8931036,75.8075777,ChIJefTd9_q3bTkRsp8IAHW0jxQ,https://www.google.com/maps/place/?q=place_id:ChIJefTd9_q3bTkRsp8IAHW0jxQ,part_385,2026-09-20 20:19:28,831
high5,Bar and Pub,Pub,"Pub, Bar",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 92790 07000,https://www.high5.pub/,4.4,270.0,"JIVA, 93, New Planning Area, Water Works Rd, SNP Area, Ambagan, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Ambagan, Sakchi",22.8080251,86.20566989999999,ChIJNVpdWCvj9TkR7o2aXIhzECk,https://www.google.com/maps/place/?q=place_id:ChIJNVpdWCvj9TkR7o2aXIhzECk,part_385,2026-09-20 20:19:28,832
The Open Box - Bar & Restaurant,Bar and Pub,Bar,"Bar, Restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 77070 17474,http://www.wedlockgreens.com/,4.3,636.0,"NH 2, Bhitia More, Kashitand, Jharkhand 826010",825330,23.8475929,86.4745226,ChIJ2zlsQHK79jkRnCyo6s2LwN4,https://www.google.com/maps/place/?q=place_id:ChIJ2zlsQHK79jkRnCyo6s2LwN4,part_385,2026-09-20 20:19:28,833
Aurum - Premium Lounge,Bar and Pub,Night club,Night club,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 90310 20073,N/A,4.0,89.0,"M524+57H, Sector 1, Bokaro Steel City, Jharkhand 827001",Sector 1,23.6507677,86.15511839999999,ChIJM7_x4FYj9DkRVoJcOu5mBic,https://www.google.com/maps/place/?q=place_id:ChIJM7_x4FYj9DkRVoJcOu5mBic,part_385,2026-09-20 20:19:28,834
BAR BAR BANARAS,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 542 250 7593,http://www.theindiahotel.com/,4.0,595.0,"8XJP+P39, Mint Road Airforce Station, Subroto Chowk, opposite Airforce Station 221002, Varanasi, Uttar Pradesh 221002","Patel Nagar, Nadesar, Chaukaghat",25.3317995,82.9852204,ChIJyyj3oN0tjjkRMoyk5aae7u0,https://www.google.com/maps/place/?q=place_id:ChIJyyj3oN0tjjkRMoyk5aae7u0,part_385,2026-09-20 20:19:28,835
QUENCH - Restro & Lounge,Bar and Pub,Pub,Pub,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 657 660 5000,http://www.ramadajamshedpurbistupur.com/,4.2,410.0,"Ramada Hotel, Ram Das Bhatta, Bistupur, Jamshedpur, Jharkhand 831001","Ram Das Bhatta, Bistupur",22.7941082,86.1760903,ChIJ8776lKvj9TkRb-n4Ytog4jM,https://www.google.com/maps/place/?q=place_id:ChIJ8776lKvj9TkRb-n4Ytog4jM,part_385,2026-09-20 20:19:28,836
Blue Star Bar And Restaurant,Bar and Pub,Bar,"Bar, Restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 90311 82632,N/A,3.9,462.0,"Main road, Tetulmari Rd, Ganduba, Jharkhand 828113",825330,23.8194198,86.33974599999999,ChIJBRRNvQGk9jkRtTPZMl1H6iE,https://www.google.com/maps/place/?q=place_id:ChIJBRRNvQGk9jkRtTPZMl1H6iE,part_385,2026-09-20 20:19:28,837
RIMJHIM FAMILY RESTAURANT &BAR,Bar and Pub,Bar & grill,"Bar & grill, Family restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 99390 80014,N/A,3.9,254.0,"Near, Booty More Rd, opposite Rilance Fresh, Krishna Pura, Ohdar Village, Ranchi, Jharkhand 834012","Krishna Pura, Ohdar Village",23.4000558,85.3889955,ChIJdeM9VMfj9DkRX3wJc6yKys0,https://www.google.com/maps/place/?q=place_id:ChIJdeM9VMfj9DkRX3wJc6yKys0,part_385,2026-09-20 20:19:28,838
"Xtreme Sports Bar & Grill, Ranchi.",Bar and Pub,Bar,"Bar, Lounge bar, Pub, Restaurant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 75429 96999,http://www.facebook.com/xtremeranchi,4.0,2008.0,"2nd Floor, Block -B, M&J Complex, Radisson Blu, Diversion Rd, opp. Hotel, Kadru, Hindpiri, Ranchi, Jharkhand 834001","Kadru, Hindpiri",23.350799799999997,85.32418349999999,ChIJq_vSrcvh9DkRvo94wSI8IqI,https://www.google.com/maps/place/?q=place_id:ChIJq_vSrcvh9DkRvo94wSI8IqI,part_385,2026-09-20 20:19:28,839
The Studs: All Day Diner & Bar,Bar and Pub,Bar & grill,"Bar & grill, Pub",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62073 08467,http://www.thestuds.in/,4.1,171.0,"Sujata Cinema, Main Rd, Hindpiri, Ranchi, Jharkhand 834001",Hindpiri,23.3532765,85.32374569999999,ChIJXxsN85Xh9DkRfTB4GUuKh2U,https://www.google.com/maps/place/?q=place_id:ChIJXxsN85Xh9DkRfTB4GUuKh2U,part_385,2026-09-20 20:19:28,840
YADAV HOTEL (DEODANR),Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.1,8.0,"Dewdanr, Jharkhand 814153",825330,24.6434431,87.3136689,ChIJkUG4g9GR8DkRIQDzViJOqIg,https://www.google.com/maps/place/?q=place_id:ChIJkUG4g9GR8DkRIQDzViJOqIg,part_385,2026-09-20 20:19:28,841
Moontown Lounge,Bar and Pub,Bar,"Bar, Lounge bar",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62037 44735,http://www.moontownlounge.com/,3.5,519.0,"Ground floor Mall De-Cor Chowk, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.371990399999998,85.3377596,ChIJM22rExzh9DkRA5M4Zw29Njo,https://www.google.com/maps/place/?q=place_id:ChIJM22rExzh9DkRA5M4Zw29Njo,part_385,2026-09-20 20:19:28,842
YARKS,Bar and Pub,Bar & grill,"Bar & grill, Bar",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,3.8,947.0,"RC4M+452, Luby Circular Rd, Sardar Patel Nagar, Dhanbad, Jharkhand 826007",Sardar Patel Nagar,23.805265499999997,86.43288419999999,ChIJS_K9S7u89jkRzKHW53zlvIs,https://www.google.com/maps/place/?q=place_id:ChIJS_K9S7u89jkRzKHW53zlvIs,part_385,2026-09-20 20:19:28,843
The Golden Bar & Restaurant,Bar and Pub,Bar,Bar,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.7,23.0,"beside Hotel Prime Land, Bhullanpur, Varanasi, Manrauli, Uttar Pradesh 221108",Bhullanpur,25.2972221,82.9441026,ChIJoZ6gaQAzjjkR4EnK21HrvRs,https://www.google.com/maps/place/?q=place_id:ChIJoZ6gaQAzjjkR4EnK21HrvRs,part_385,2026-09-20 20:19:28,844
J.M ENTERPRISES RAMGARH,Bar and Pub,Iron & Steel Store,"Iron & Steel Store, Cement Supplier, Iron ware dealer",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 98351 40752,N/A,5.0,,"Bazar samiti, Gola Rd, Ramgarh Cantonment, Jharkhand 825101",825330,23.6222577,85.53384779999999,ChIJn1B1oFv19DkR47uIJI15p_8,https://www.google.com/maps/place/?q=place_id:ChIJn1B1oFv19DkR47uIJI15p_8,part_385,2026-09-20 20:19:29,845
Agrawal Enterprises (Auth. Dealer -Berger paints & Birla Opus Paints),Bar and Pub,Paint store,"Paint store, Building materials supplier, Painting, Wallpaper store",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 87899 90502,N/A,4.9,,"Gola Rd, near Raj Rasoi, Jhanda Chowk, Ramgarh Cantonment, Jharkhand 829122",Jhanda Chowk,23.6323568,85.51502909999999,ChIJa3IL94vz9DkRIjKR7HhzFc8,https://www.google.com/maps/place/?q=place_id:ChIJa3IL94vz9DkRIjKR7HhzFc8,part_385,2026-09-20 20:19:29,846
