business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Glam by Tanya (Make-up),Bridal Makeup Artist,Make-up artist,Make-up artist,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 83403 57785,N/A,4.8,32.0,"M85R+5VQ, Patratu, Saunda Basti, Jharkhand 829133",825330,23.6573721,85.3426391,ChIJxc6YN8jr9DkRB2OaVLu0M_M,https://www.google.com/maps/place/?q=place_id:ChIJxc6YN8jr9DkRB2OaVLu0M_M,part_385,2026-09-20 20:19:44,3067
Deepa makeup studio and academy,Bridal Makeup Artist,Make-up artist,Make-up artist,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.9,10.0,"near ramgarh college,campus, Ramgarh Cantonment, Jharkhand 829122",825330,23.606101499999998,85.5203542,ChIJA3TzqTz19DkRljupLaLux14,https://www.google.com/maps/place/?q=place_id:ChIJA3TzqTz19DkRljupLaLux14,part_385,2026-09-20 20:19:44,3068
Glamby pushpamakeover24,Bridal Makeup Artist,Make-up artist,Make-up artist,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62012 11958,https://www.instagram.com/invites/contact/?igsh=pelvfof6wlqb&utm_content=qr4x2he,5.0,7.0,"Mandu, Jharkhand 825316",825330,23.782637299999998,85.4756905,ChIJGcaJPQCN9DkRS6zCwa8kFSI,https://www.google.com/maps/place/?q=place_id:ChIJGcaJPQCN9DkRS6zCwa8kFSI,part_385,2026-09-20 20:19:44,3069
The Makeup House,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91429 74650,N/A,5.0,74.0,"near khatu shyam mandir, Goriyaribag, Ramgarh Cantonment, Jharkhand 829122",Goriyaribag,23.6244309,85.5190818,ChIJ9fsOWTnz9DkR5yTnVEyglb8,https://www.google.com/maps/place/?q=place_id:ChIJ9fsOWTnz9DkR5yTnVEyglb8,part_385,2026-09-20 20:19:44,3070
RUPA MAKEUP STUDIO & ACCADMY,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 98357 31984,N/A,,,"RUPA MAKEUP STUDIO & ACCADMY, 825330, India",825330,23.756920899999997,85.7043028,ChIJKTzBuFTz9DkRzPqft_sInJY,https://www.google.com/maps/place/?q=place_id:ChIJKTzBuFTz9DkRzPqft_sInJY,part_385,2026-09-20 20:19:44,3071
Rimpa Make-Up Studio & Academy,Bridal Makeup Artist,Make-up artist,Make-up artist,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 76678 45038,https://www.instagram.com/rimpamakeup/?hl=en,5.0,43.0,"1st Floor, New Market Complex, Hazaribagh Rd, near Petrol Pump, Tharpakhna, Ranchi, Jharkhand 834001",Tharpakhna,23.3715664,85.3290605,ChIJl33q_OTh9DkRWP_5NE4oDtw,https://www.google.com/maps/place/?q=place_id:ChIJl33q_OTh9DkRWP_5NE4oDtw,part_385,2026-09-20 20:19:44,3072
Anuja Makeover,Bridal Makeup Artist,Make-up artist,Make-up artist,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 72763 98111,https://anujamakeover.com/,4.8,85.0,"303, Aapno Ghar, Olive Tower, opposite Dainik Bhaskar Press Gosaidih, Tapowan colony, Amaghata, Gosaidi, Jharkhand 826008",Tapowan colony,23.8270227,86.48652349999999,ChIJLfHciWbHwjsR4pGFHNGYEho,https://www.google.com/maps/place/?q=place_id:ChIJLfHciWbHwjsR4pGFHNGYEho,part_385,2026-09-20 20:19:44,3073
Makeovers by maahi,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 70046 85989,N/A,5.0,,"Makeovers by maahi, 825330, India",825330,21.0680074,82.7525294,ChIJj8SCZLbl9TkRMA9lUQgKRrQ,https://www.google.com/maps/place/?q=place_id:ChIJj8SCZLbl9TkRMA9lUQgKRrQ,part_385,2026-09-20 20:19:46,3074
Vijeta Raj,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 78273 88647,https://www.vijetarajmakeovers.com/,5.0,,"Vijeta Raj, 825330, India",825330,24.047563,84.0796618,ChIJebPW7y_9DosR-axHAKq8w-w,https://www.google.com/maps/place/?q=place_id:ChIJebPW7y_9DosR-axHAKq8w-w,part_385,2026-09-20 20:19:46,3075
Isha Malhotra Artistry,Bridal Makeup Artist,Make-up artist,"Make-up artist, Nail salon",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 97098 74960,http://www.ishamalhotramakeup.com/,4.9,,"Isha Malhotra studio ,Chamber of commerce building, opposite Radisson blu, Ranchi, Jharkhand 834001",Hindpiri,23.3509451,85.3244666,ChIJX26CWcLh9DkRz8apRn5Wb3E,https://www.google.com/maps/place/?q=place_id:ChIJX26CWcLh9DkRz8apRn5Wb3E,part_385,2026-09-20 20:19:46,3076
