business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SANSKAR COMPUTER TRAINING CENTER,Computer Training Institute,Education center,Education center,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 72501 58182,http://www.icsmtech.com/,4.9,,"Patna Road, Marar Rd, near SBI, Ranchi Road, Ramgarh Cantonment, Jharkhand 829117",Ranchi Road,23.663822,85.51365969999999,ChIJva0BNFTz9DkRAUAfhFuRfPs,https://www.google.com/maps/place/?q=place_id:ChIJva0BNFTz9DkRAUAfhFuRfPs,part_385,2026-09-20 20:19:51,3817
View Tech Computer Education Centre,Computer Training Institute,Computer networking service,Computer networking service,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 99390 59247,N/A,4.9,,"JGC7+94J, Talab Rd, Dinbandhu Nagar, Bijulia, Ramgarh Cantonment, Jharkhand 829122","Dinbandhu Nagar, Bijulia",23.620962499999997,85.5127656,ChIJP68zgJnz9DkRji0Wfp1lG00,https://www.google.com/maps/place/?q=place_id:ChIJP68zgJnz9DkRji0Wfp1lG00,part_385,2026-09-20 20:19:51,3818
Lexicon India Computer Training Institute,Computer Training Institute,Software Training Institute,"Software Training Institute, After school program, Computer service, Data Entry Service Provider, Education center, Training center",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 96612 80038,http://lexiconindia.in/,5.0,,"J9X9+99W, Patel nagar, near Shiv Mandir Road, Bhurkunda, Jharkhand 829106",825330,23.6484578,85.3683831,ChIJ-X5zuYns9DkRD7puWgi7V80,https://www.google.com/maps/place/?q=place_id:ChIJ-X5zuYns9DkRD7puWgi7V80,part_385,2026-09-20 20:19:51,3819
GPS Computer Education Centre,Computer Training Institute,Education center,Education center,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.8,,"Gola Rd, Bazzar Tand, Ramgarh Cantonment, Jharkhand 829122",Bazzar Tand,23.6265874,85.5259653,ChIJyWOEKGP19DkRoHny6KEVjvs,https://www.google.com/maps/place/?q=place_id:ChIJyWOEKGP19DkRoHny6KEVjvs,part_385,2026-09-20 20:19:51,3820
ARPIT COMPUTER,Computer Training Institute,Education center,Education center,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 84096 80691,http://www.arpitcomputer.in/,4.9,,"AT-SANDI, PO, DIST, Bharechnagar, Jharkhand 829117",825330,23.6905172,85.51132299999999,ChIJzZMTsV7z9DkRF1kRltWmVhk,https://www.google.com/maps/place/?q=place_id:ChIJzZMTsV7z9DkRF1kRltWmVhk,part_385,2026-09-20 20:19:51,3821
BK Computer Institute,Computer Training Institute,Computer training school,"Computer training school, Service establishment",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 70042 53396,http://www.bkci.iteducation.in/,4.8,,"BK Computer Institute, 825330, India",825330,23.6351966,85.5134368,ChIJd9AqF_u034kRZ6jpRWHAV3I,https://www.google.com/maps/place/?q=place_id:ChIJd9AqF_u034kRZ6jpRWHAV3I,part_385,2026-09-20 20:19:51,3822
vandana computer,Computer Training Institute,Education center,Education center,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62067 40416,http://www.vandanacomputer.in/,4.8,,"Patel nagar, Bhurkunda, Jharkhand 829106",825330,23.6491087,85.3701483,ChIJK_feKXTt9DkRoj5s0neDJYo,https://www.google.com/maps/place/?q=place_id:ChIJK_feKXTt9DkRoj5s0neDJYo,part_385,2026-09-20 20:19:51,3823
ARPIT COMPUTER,Computer Training Institute,Education center,"Education center, Coaching Center",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 84096 80691,http://www.arpitcomputer.in/,4.9,,"At- Bijulia Talab Road (Road, 01, Dist:, opposite of Maharaja Rest House, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.6232571,85.5159808,ChIJ_dtq2ozz9DkRRXkr33F5Fbw,https://www.google.com/maps/place/?q=place_id:ChIJ_dtq2ozz9DkRRXkr33F5Fbw,part_385,2026-09-20 20:19:51,3824
J.S. National Computer Institute of Technology,Computer Training Institute,Education center,Education center,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 82106 77550,http://ncitworld.co.in/,4.7,,"Hanuman Chowk, Giddi A, Religara, Gidi, Jharkhand 829108","Hanuman Chowk, Giddi A",23.678699299999998,85.3686812,ChIJo1KAorDs9DkRjpJzaDrahuE,https://www.google.com/maps/place/?q=place_id:ChIJo1KAorDs9DkRjpJzaDrahuE,part_385,2026-09-20 20:19:51,3825
Genius Info Univ,Computer Training Institute,Computer training school,Computer training school,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 70040 62244,N/A,4.8,,"Shivaji Road, Ramgarh Cantonment, Jharkhand 829122",825330,23.6276418,85.51762459999999,ChIJPfBZ1Irz9DkR39Cf40Mu-JE,https://www.google.com/maps/place/?q=place_id:ChIJPfBZ1Irz9DkR39Cf40Mu-JE,part_385,2026-09-20 20:19:51,3826
