business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ANSHU FROZEN DELIGHTS AND ICECREAM,Frozen Food Distributor,Wholesaler,Wholesaler,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 84090 06824,N/A,,,"Naisrai Ramgarh, Ranchi, Ramgarh Cantonment, Jharkhand 829122",825330,23.6435156,85.5103596,ChIJJauFdpPz9DkRhcAFPt1Y6iI,https://www.google.com/maps/place/?q=place_id:ChIJJauFdpPz9DkRhcAFPt1Y6iI,part_385,2026-09-20 20:19:22,376
Iceblaze Foods and Beverages Pvt Ltd,Frozen Food Distributor,Import export company,"Import export company, Frozen dessert supplier, Frozen food manufacturer, Fruit and vegetable processing, Spices Exporter, Fruits & Vegetable Wholesaler",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 98189 11569,http://www.ifbnutraorganic.com/,4.8,46.0,"Bharat Ekta Cooperative, Plot no 91, Bokaro Steel City, Satanpur, Jharkhand 827013",825330,23.6209736,86.1332833,ChIJUV5w7LIj9DkRDr273Y5rDjQ,https://www.google.com/maps/place/?q=place_id:ChIJUV5w7LIj9DkRDr273Y5rDjQ,part_385,2026-09-20 20:19:22,377
RL enterprises,Frozen Food Distributor,Frozen food store,"Frozen food store, Food products supplier, Frozen dessert supplier",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 90004 49965,http://rlenterprises.in/,4.9,,"2-1-3, Nagole - Bandlaguda Rd, Adarsh Nagar Colony, Nagole, Hyderabad, Telangana 500068","Adarsh Nagar Colony, Nagole",17.376881,78.5589483,ChIJbcQSYQCZyzsR3_bVP90PaVA,https://www.google.com/maps/place/?q=place_id:ChIJbcQSYQCZyzsR3_bVP90PaVA,part_385,2026-09-20 20:19:24,378
Willy's Ice Cream Distributor,Frozen Food Distributor,Ice cream shop,Ice cream shop,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.5,,"FQ8X+7XV, Dimra, Sondimra, Barlanga, Jharkhand 829110",825330,23.4657335,85.79990629999999,ChIJwSQmGwBP9DkR7dpCzl0_JHc,https://www.google.com/maps/place/?q=place_id:ChIJwSQmGwBP9DkR7dpCzl0_JHc,part_385,2026-09-20 20:19:24,379
KK Enterprises (Frozen Foods Products),Frozen Food Distributor,Frozen food store,"Frozen food store, Bakery and Cake Shop",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 86605 44414,N/A,5.0,,"2ND, 69, 3rd Main Rd, Salappa Layout, Jagajeevanram Nagar, Bengaluru, Karnataka 560023","Salappa Layout, Jagajeevanram Nagar",12.966799799999999,77.55563769999999,ChIJc3t5XAA9rjsROORsyotf8bc,https://www.google.com/maps/place/?q=place_id:ChIJc3t5XAA9rjsROORsyotf8bc,part_385,2026-09-20 20:19:24,380
Frozen foods -Food Wholesaler,Frozen Food Distributor,Frozen food manufacturer,"Frozen food manufacturer, Food manufacturer, Food products supplier",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 79776 75039,N/A,5.0,,"Hanuman Mandir, Service Rd, Shastri Nagar, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099","Shastri Nagar, Vile Parle East, Vile Parle",19.093285599999998,72.85157319999999,ChIJOWCEqgDJ5zsRtCX2W-mqphc,https://www.google.com/maps/place/?q=place_id:ChIJOWCEqgDJ5zsRtCX2W-mqphc,part_385,2026-09-20 20:19:24,381
Roshni Fresh & Frozen,Frozen Food Distributor,Frozen food store,"Frozen food store, Food and beverage consultant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 63607 37729,N/A,4.8,,"Priya Shoppee, Shop no.2, Kumhartoli, Kadru Main Rd, Delatoli, Ranchi, Jharkhand 834002","Kadru, Delatoli",23.3508611,85.319761,ChIJMfjdby3h9DkR_LYmPbhtIns,https://www.google.com/maps/place/?q=place_id:ChIJMfjdby3h9DkR_LYmPbhtIns,part_385,2026-09-20 20:19:24,382
Goeld Frozen Foods,Frozen Food Distributor,Frozen food manufacturer,Frozen food manufacturer,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 1800 121 221 999,https://www.goeld.com/,4.5,,"Goeld frozen food manufacturing plant, Chhattisharg, Chhattisgarh 492003",825330,21.3118378,81.5855299,ChIJjzT00E3hKDoREvKxX-x83_I,https://www.google.com/maps/place/?q=place_id:ChIJjzT00E3hKDoREvKxX-x83_I,part_385,2026-09-20 20:19:24,383
Gops Food Distributors,Frozen Food Distributor,Frozen food store,Frozen food store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.5,,"Plot 135P, Jai Bharat Nagar, Sreenivasa Nagar, Kukatpally, Hyderabad, Telangana 500085","Jai Bharat Nagar, Sreenivasa Nagar, Kukatpally",17.5026181,78.3918125,ChIJeSBSUgCRyzsRy67YUC1C91E,https://www.google.com/maps/place/?q=place_id:ChIJeSBSUgCRyzsRy67YUC1C91E,part_385,2026-09-20 20:19:24,384
Aadam Marketing Distributor,Frozen Food Distributor,Frozen food store,"Frozen food store, FMCG Goods Wholesaler",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 90005 35472,https://aadamproducts.com/,4.2,,"ishaq diagnostic center, Street Number 1, Sabza Colony, Tolichowki, Brindavan Colony gate, Hyderabad, Telangana 500008","Sabza Colony, Tolichowki, Brindavan Colony gate",17.404020199999998,78.4092941,ChIJ5SuyD9eXyzsRTKR6CP5wdnQ,https://www.google.com/maps/place/?q=place_id:ChIJ5SuyD9eXyzsRTKR6CP5wdnQ,part_385,2026-09-20 20:19:24,385
