business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ravi Hardware,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 82108 82677,N/A,5.0,6.0,"Sitaram complex, main road, Datma more, Kuju, Jharkhand 825316",Datma more,23.7191565,85.5095494,ChIJRWxPkU6N9DkRn3yfjYBsc98,https://www.google.com/maps/place/?q=place_id:ChIJRWxPkU6N9DkRn3yfjYBsc98,part_385,2026-09-20 20:19:39,2357
"Oxa Hardware and Tools,Balsagra",Hardware Store,Hardware store,"Hardware store, Cement Supplier, Steel distributor",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 70041 30054,N/A,4.5,13.0,"Bus Stop, Balsagra Chauk, Balsogra, Jharkhand 825330",825330,23.7598061,85.4358335,ChIJEwwgQ3aS9DkRBovzrzcy8ac,https://www.google.com/maps/place/?q=place_id:ChIJEwwgQ3aS9DkRBovzrzcy8ac,part_385,2026-09-20 20:19:39,2358
Om Sai electrical hardware and plumbing Store,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,3.7,3.0,"MGFV+278, near over bridge, near Rajdhani Aluminium shop, Pochra, Jharkhand 829117",825330,23.672531799999998,85.54320059999999,ChIJ18YjWgD19DkR7vdO4UGfaW0,https://www.google.com/maps/place/?q=place_id:ChIJ18YjWgD19DkR7vdO4UGfaW0,part_385,2026-09-20 20:19:39,2359
Arjun Hardware,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.3,12.0,"PGC5+XC5, Kuju, Jharkhand 825316",825330,23.7223917,85.5086024,ChIJAUla_FaN9DkRzFvatxLbygE,https://www.google.com/maps/place/?q=place_id:ChIJAUla_FaN9DkRzFvatxLbygE,part_385,2026-09-20 20:19:39,2360
Sri Balaji Hardware Stores,Hardware Store,Hardware store,"Hardware store, Paint store, Plywood supplier",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 98355 38390,N/A,4.5,309.0,"Shivaji Road, opp. Kali Mandir, Lohar tola, Ramgarh Cantonment, Jharkhand 829122",Lohar tola,23.628222299999997,85.5183814,ChIJV3wOxIrz9DkRgtwWecoagkw,https://www.google.com/maps/place/?q=place_id:ChIJV3wOxIrz9DkRgtwWecoagkw,part_385,2026-09-20 20:19:39,2361
Building material,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,,,"Washery Colony, Religara alias Pachhiari, Jharkhand 829129",Washery Colony,23.7067858,85.3708071,ChIJDdPQqpqT9DkR_5PpATE5aKo,https://www.google.com/maps/place/?q=place_id:ChIJDdPQqpqT9DkR_5PpATE5aKo,part_385,2026-09-20 20:19:39,2362
Kushwaha Hardware and sanitaryware | कुशवाह हार्डवेयर और सेनेटरीवेयर,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62049 36945,https://khardware.run.place/,,,"uchringa chowk, Barka Chumba, Jharkhand 829101",uchringa chowk,23.7083256,85.4462806,ChIJ4UsL9FmN9DkR2FN9Nsu7yd8,https://www.google.com/maps/place/?q=place_id:ChIJ4UsL9FmN9DkR2FN9Nsu7yd8,part_385,2026-09-20 20:19:39,2363
Shiv Hardware Store,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 80928 50954,https://www.shivhardware.store/,4.3,21.0,"Ground floor, Shivaji Road, Ramgarh Cantonment, Jharkhand 829122",825330,23.6267455,85.5175915,ChIJzc6OLIvz9DkRx0lBBZ214Gg,https://www.google.com/maps/place/?q=place_id:ChIJzc6OLIvz9DkRx0lBBZ214Gg,part_385,2026-09-20 20:19:39,2364
Dashrath mahto,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,3.0,"QC66+XWP, Chainpur, Jharkhand 825330",825330,23.7624501,85.4123169,ChIJf7bCWw-T9DkRzTYo9sx5CfM,https://www.google.com/maps/place/?q=place_id:ChIJf7bCWw-T9DkRzTYo9sx5CfM,part_385,2026-09-20 20:19:39,2365
Sri Durga Ply And Hardware,Hardware Store,Hardware store,"Hardware store, Plywood supplier",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91109 44001,N/A,4.8,4.0,"Suresh Mahato Complex, near HDFC Bank, Kuju, Jharkhand 825316",825330,23.720978199999998,85.50862359999999,ChIJOSd1BuGN9DkRda0i5XC2U0g,https://www.google.com/maps/place/?q=place_id:ChIJOSd1BuGN9DkRda0i5XC2U0g,part_385,2026-09-20 20:19:39,2366
Samar Enterprises,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,4.0,"PGH4+58J, Main Road, Kuju, Jharkhand 825316",825330,23.7279698,85.50576339999999,ChIJtbqcPf-N9DkR770Do-jsggc,https://www.google.com/maps/place/?q=place_id:ChIJtbqcPf-N9DkR770Do-jsggc,part_385,2026-09-20 20:19:39,2367
MS THE HARDWARE,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 80023 46200,N/A,5.0,12.0,"opposite BRINDAVAN POLYDOC HOSPITAL, Ranchi Road, Marar, Ramgarh Cantonment, Jharkhand 829117",Ranchi Road,23.664134699999998,85.51388089999999,ChIJJV1qL67z9DkRsa-T6hUUd0Y,https://www.google.com/maps/place/?q=place_id:ChIJJV1qL67z9DkRsa-T6hUUd0Y,part_385,2026-09-20 20:19:39,2368
Shyam Hardware,Hardware Store,Hardware store,Hardware store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 76312 23540,N/A,,,"near Naag Kanya Mandir, Kuju, Jharkhand 825316",825330,23.7226607,85.5082249,ChIJP3AX5xiN9DkRBHv6bLk7jFE,https://www.google.com/maps/place/?q=place_id:ChIJP3AX5xiN9DkRBHv6bLk7jFE,part_385,2026-09-20 20:19:39,2369
