business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Wizzmoni Financial Services Ltd, Ramgarh Branch",Money Transfer and Forex,Money transfer service,"Money transfer service, Insurance agency, Loan agency, Currency exchange service, Travel agency",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 75940 01372,https://ramgarh-cantonment.unimoni.in/,5.0,144.0,"1st Floor No. 002000380, 2, Gandhighat Road, Ramgarh Cantonment, Jharkhand 829122",825330,23.6367758,85.5127461,ChIJC9j_Cdzz9DkRGbI_uc-gEes,https://www.google.com/maps/place/?q=place_id:ChIJC9j_Cdzz9DkRGbI_uc-gEes,part_385,2026-09-20 20:19:56,4507
Raza Digital Centre,Money Transfer and Forex,Money transfer service,Money transfer service,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 70048 04396,N/A,5.0,20.0,"Shree Ram Chowk, Hesagraha, Kuju, Jharkhand 825316",Hesagraha,23.7296813,85.5111469,ChIJQ2A7ZieN9DkRg8iD3rBWkhY,https://www.google.com/maps/place/?q=place_id:ChIJQ2A7ZieN9DkRg8iD3rBWkhY,part_385,2026-09-20 20:19:56,4508
Jey Services Forex Pvt. Ltd.,Money Transfer and Forex,Currency exchange service,Currency exchange service,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 87895 08570,N/A,4.9,69.0,"2nd Floor, Shop No - 205, Prarthana Heights, Ratu Rd, Ranchi, Jharkhand 834001",Kumhartoli,23.3786456,85.31567729999999,ChIJxbXACg_h9DkRzeTGsety94E,https://www.google.com/maps/place/?q=place_id:ChIJxbXACg_h9DkRzeTGsety94E,part_385,2026-09-20 20:19:56,4509
EbixCash World Money Limited | Ranchi,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91473 68409,https://www.buyforex.com/,4.9,164.0,"Shop no. 3, ground floor, capitol hill, shopping arcade, Capitol Hill, Main Rd, Maulana Azad Colony, Hindpiri, Ranchi, Jharkhand 834001","Maulana Azad Colony, Hindpiri",23.3595041,85.3252495,ChIJc0rjqFnh9DkRv_UUpd0Rdao,https://www.google.com/maps/place/?q=place_id:ChIJc0rjqFnh9DkRv_UUpd0Rdao,part_385,2026-09-20 20:19:56,4510
BFC Forex,Money Transfer and Forex,Currency exchange service,Currency exchange service,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 651 465 7871,https://bfcforex.com/,5.0,285.0,"Shrilok Complex, New Barhi Toli, Ranchi, Jharkhand 834001",New Barhi Toli,23.3711697,85.3279998,ChIJ33KcjzLh9DkRuXCkl0ckweU,https://www.google.com/maps/place/?q=place_id:ChIJ33KcjzLh9DkRuXCkl0ckweU,part_385,2026-09-20 20:19:56,4511
Yugesh online center,Money Transfer and Forex,Money transfer service,Money transfer service,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.0,1.0,"CM6J+4QM, Dholia, Jharkhand 825404",825330,24.4103279,84.6819074,ChIJ2fuEQgC_jDkRV99_sLZN3Kg,https://www.google.com/maps/place/?q=place_id:ChIJ2fuEQgC_jDkRV99_sLZN3Kg,part_385,2026-09-20 20:19:56,4512
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, Insurance agency, Bank, Savings bank",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 99569 91988,https://www.finobank.com/,5.0,1.0,"288, gram kone pashchchmi, post kone,thanakone, Ramgarh, Uttar Pradesh 822121",825330,24.341615599999997,83.46618889999999,ChIJDbCXyJijjjkRmg8rDKs6H5s,https://www.google.com/maps/place/?q=place_id:ChIJDbCXyJijjjkRmg8rDKs6H5s,part_385,2026-09-20 20:19:56,4513
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 94545 05875,https://www.finobank.com/,,,"Black Rod, Puja Photo Stet, Ramgarh, Uttar Pradesh 231213",Kasary,24.6653155,83.2455605,ChIJkfKGiir1jjkRLNpFqk4KrUg,https://www.google.com/maps/place/?q=place_id:ChIJkfKGiir1jjkRLNpFqk4KrUg,part_385,2026-09-20 20:19:56,4514
EBIXCASH World Money Limited,Money Transfer and Forex,Financial institution,Financial institution,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,http://www.buyforex.com/,4.0,4.0,"Birsa Munda Airport, Khokambatoli, Hinoo, Ranchi, Jharkhand 834002","Khokambatoli, Hinoo",23.3174074,85.3252885,ChIJLZbd7ujh9DkR6NLKPTfmZpk,https://www.google.com/maps/place/?q=place_id:ChIJLZbd7ujh9DkR6NLKPTfmZpk,part_385,2026-09-20 20:19:56,4515
RemitX - A division of Capital India Finance Ltd,Money Transfer and Forex,Financial institution,Financial institution,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 22 4938 5000,http://www.remitx.com/,4.9,60.0,"A Wing, Kanakia Wallstreet, 713/714, Chakala, Andheri East, Mumbai, Maharashtra 400093","Chakala, Andheri East",19.114372499999998,72.8621424,ChIJWW51dTjJ5zsRw3e_wS0Jod0,https://www.google.com/maps/place/?q=place_id:ChIJWW51dTjJ5zsRw3e_wS0Jod0,part_385,2026-09-20 20:19:56,4516
TICKET FOR TRAIN & FLIGHTS. IMPS money withdrawal from addhar card and all CSC services,Money Transfer and Forex,Money transfer service,"Money transfer service, Transportation service",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91423 44367,N/A,,,"House no 28, railway station, near chaudhribandh, Chaudhribandh, Jharkhand 825322",825330,24.056061699999997,85.98409439999999,ChIJPS8gW_YL9DkRc322Voe_R8w,https://www.google.com/maps/place/?q=place_id:ChIJPS8gW_YL9DkRc322Voe_R8w,part_385,2026-09-20 20:19:56,4517
Axis Bank - Ramgarh,Money Transfer and Forex,Bank,"Bank, Financial institution, Investment bank, Investment service, Savings bank",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 1860 500 5555,https://branch.axisbank.com/axis-bank-ramgarh-bank-branch-hazaribag-jharkhand-37448/Home?utm_source=locator&utm_medium=googleplaces,4.6,134.0,"1st Floor, DS Complex, Thana Chowk Main Road, Ramgarh Cantonment, Jharkhand 829122",825330,23.6355123,85.512739,ChIJ2zGesIzz9DkR3aLWaQw5dyk,https://www.google.com/maps/place/?q=place_id:ChIJ2zGesIzz9DkR3aLWaQw5dyk,part_385,2026-09-20 20:19:56,4518
Amrit Forex Pvt. Ltd.,Money Transfer and Forex,Money Transfer and Forex,Money Transfer and Forex,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,2.0,"Model Town, Pehowa, Haryana 136128",Model Town,29.9862458,76.5837633,ChIJvQ2V_q8lDjkRtsSuC_bZ63g,https://www.google.com/maps/place/?q=place_id:ChIJvQ2V_q8lDjkRtsSuC_bZ63g,part_385,2026-09-20 20:19:56,4519
Naaz Money Transfer,Money Transfer and Forex,Financial consultant,Financial consultant,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 82712 11584,N/A,,,"Bhitia Near Vivaan HotelDhanbad Bhitia, Govindpur, Kandra, Dhanbad, Jharkhand 826010",825330,23.8471103,86.47777699999999,ChIJkXMwPh679jkRs4ss1O6yldE,https://www.google.com/maps/place/?q=place_id:ChIJkXMwPh679jkRs4ss1O6yldE,part_385,2026-09-20 20:19:56,4520
