business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hairdresser Salon,Unisex Salon,Hairdresser,Hairdresser,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 70046 87829,https://instagram.com/hairdresserrmg?igshid=1x2c5vx5kou6z,4.2,71.0,"1st Floor, Lajwanti market, Subhash Chowk, Ramgarh Cantonment, Jharkhand 829122",825330,23.6277159,85.51490369999999,ChIJyRKPjp_z9DkRopWQgdkrONU,https://www.google.com/maps/place/?q=place_id:ChIJyRKPjp_z9DkRopWQgdkrONU,part_385,2026-09-20 20:19:45,3061
The Re-come Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 99055 36338,N/A,3.8,42.0,"JGQ6+CG9, Ramgarh Cantonment, Jharkhand 829122",825330,23.6385255,85.5113655,ChIJl9GRnI_z9DkRAwZjY54WmQc,https://www.google.com/maps/place/?q=place_id:ChIJl9GRnI_z9DkRAwZjY54WmQc,part_385,2026-09-20 20:19:45,3062
Jai Bharat Men's Parlour (Salon) जेंट्स ब्यूटी पार्लर एंड सैलून,Unisex Salon,Beauty Parlour,Beauty Parlour,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.1,11.0,"Shivaji Road, opposite Gurudwara, Ramgarh Cantonment, Jharkhand 829122",825330,23.6275932,85.51583769999999,ChIJs0f1S4vz9DkR1Kma3QFsc1Q,https://www.google.com/maps/place/?q=place_id:ChIJs0f1S4vz9DkR1Kma3QFsc1Q,part_385,2026-09-20 20:19:45,3063
kumar mens parlour,Unisex Salon,Hair salon,Hair salon,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 83407 33407,N/A,4.9,24.0,"Main Rd, Bhurkunda, Jharkhand 829106",825330,23.6534536,85.35758659999999,ChIJHf5pAXXt9DkRSiUJuTUvG4c,https://www.google.com/maps/place/?q=place_id:ChIJHf5pAXXt9DkRSiUJuTUvG4c,part_385,2026-09-20 20:19:45,3064
Kanchan Beauty Parlour & Boutique,Unisex Salon,Beauty Parlour,"Beauty Parlour, Boutique, Designer Clothing Store, Make-up artist",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 95080 96565,N/A,4.7,3.0,"Mamta gada, near Aakarsh international public school, Ramgarh Cantonment, Jharkhand 829122",825330,23.622830099999998,85.5261338,ChIJdd4kNFL19DkRtJBUqsRfDFk,https://www.google.com/maps/place/?q=place_id:ChIJdd4kNFL19DkRtJBUqsRfDFk,part_385,2026-09-20 20:19:47,3065
Dulhan Beauty Parlour Ramgarh,Unisex Salon,Beauty Parlour,Beauty Parlour,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 99393 54359,N/A,5.0,1.0,"near Gyan Mandir School, Parsotiya, Ramgarh Cantonment, Muram Kalan, Jharkhand 829122",Parsotiya,23.6097665,85.52517399999999,ChIJuWu45lP19DkRu62hGPsvmB0,https://www.google.com/maps/place/?q=place_id:ChIJuWu45lP19DkRu62hGPsvmB0,part_385,2026-09-20 20:19:47,3066
Baylen De Louis Hazaribagh,Unisex Salon,Beauty Parlour,Beauty Parlour,825336,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Charhi SO, Jarwa BO, Hendegarha BO",+91 91555 19249,N/A,4.8,32.0,"1st Floor shop no 6, 7 both, Samridhi shoping complex, Hazaribagh, Jharkhand 825301",NawabGanj,23.9964895,85.3576451,ChIJL_gLR6ud9DkRzpYLeDXY4NY,https://www.google.com/maps/place/?q=place_id:ChIJL_gLR6ud9DkRzpYLeDXY4NY,part_385,2026-09-20 20:20:30,7620
Bride & Groom unisex salon Hazaribagh,Unisex Salon,Hairdresser,"Hairdresser, Facial spa, Make-up artist, Skin care products vending machine, Tanning salon",825336,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Charhi SO, Jarwa BO, Hendegarha BO",+91 91557 75605,https://www.instagram.com/bride_and_groom_unisex_salon?igsh=Y2NtdDBobXhuYjd2,5.0,102.0,"Church, Holy cross, Zulu Park Rd, Hazaribagh, Jharkhand 825301",Suresh Colony,23.993767599999998,85.369346,ChIJn4ODJEyd9DkRFFP1hps9qIs,https://www.google.com/maps/place/?q=place_id:ChIJn4ODJEyd9DkRFFP1hps9qIs,part_385,2026-09-20 20:20:30,7621
The Divine Family Salon Babugaon Chowk Hazaribagh,Unisex Salon,Hair salon,"Hair salon, Health and beauty shop, Nail salon",825336,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Charhi SO, Jarwa BO, Hendegarha BO",+91 97094 43383,http://www.divinefamilysalon.com/,4.6,255.0,"1st FLOOR R.M COMPLEX, Babugaon Chowk, Front of ADITYA VISION, matwari Road, Jabra, Hazaribagh, Jharkhand 825303",Jabra,23.9933828,85.3819773,ChIJ6VC04kOd9DkRyd-1SA22T28,https://www.google.com/maps/place/?q=place_id:ChIJ6VC04kOd9DkRyd-1SA22T28,part_385,2026-09-20 20:20:30,7622
Unique Mein's Parlour,Unisex Salon,Hair salon,Hair salon,825336,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Charhi SO, Jarwa BO, Hendegarha BO",+91 93044 39510,N/A,4.0,1.0,"Hurhuru,Baba Path Road, Near, Pandit Ji Rd, Chowk, Hazaribagh, Jharkhand 825301","Subash Nagar, Chowk",23.978396399999998,85.3625572,ChIJQ3sQDx2b9DkRTV_9AirEdes,https://www.google.com/maps/place/?q=place_id:ChIJQ3sQDx2b9DkRTV_9AirEdes,part_385,2026-09-20 20:20:30,7623
