business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ChittorTech,POS and Billing Software Vendor,Software company,"Software company, Web hosting company, Website designer",825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 75979 01057,https://chittortech.in/,4.8,38.0,"Sector-1, Madhav Nagar, Chittorgarh, Rajasthan 312001","Sector-1, Madhav Nagar",24.919795399999998,74.6266692,ChIJLYmcyY0U_CYRAPBMoITytV8,https://www.google.com/maps/place/?q=place_id:ChIJLYmcyY0U_CYRAPBMoITytV8,part_385,2026-09-20 20:21:26
Khata Billing,POS and Billing Software Vendor,Software company,"Software company, Business development service",825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 99296 90296,https://khatabilling.com/,5.0,2.0,"Amazing Star Mahavir Circle, 309, Savlia Cir, Sanman Society, Mansarovar Society, Varachha, Surat, Gujarat 395011","Sanman Society, Mansarovar Society, Varachha",21.2125767,72.88951519999999,ChIJTXoOdThgDEIRLa3jF_YPoJY,https://www.google.com/maps/place/?q=place_id:ChIJTXoOdThgDEIRLa3jF_YPoJY,part_385,2026-09-20 20:21:26
Psquaretech Solutions,POS and Billing Software Vendor,Software company,Software company,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 93546 59603,N/A,,,"Bajrang Nagar Road, Jhumri Telaiya, Jharkhand 825409",825401,24.4235257,85.5329545,ChIJ_2gUgSF18zkRXQp2kJMy2Xc,https://www.google.com/maps/place/?q=place_id:ChIJ_2gUgSF18zkRXQp2kJMy2Xc,part_385,2026-09-20 20:21:26
Nexus Computer,POS and Billing Software Vendor,Computer service,Computer service,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 99051 92991,https://www.mynexuscomputer.com/,5.0,2.0,"9CJV+9R, Chatra, Jharkhand 835103",825401,23.3806303,85.4449245,ChIJDaTnHQD99DkRm8pkz-iV2PU,https://www.google.com/maps/place/?q=place_id:ChIJDaTnHQD99DkRm8pkz-iV2PU,part_385,2026-09-20 20:21:26
DIGITAL E SERVICE,POS and Billing Software Vendor,Business management consultant,Business management consultant,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 82521 23871,https://digitaleservice.in/,4.8,78.0,"Chharda, Besides Ashish Nursing Prasikshan Sansthan, Post-Chharda, Ps, Sisai, Jharkhand 835224",825401,23.249217899999998,84.7746806,ChIJZ3v82DXXijkRQL4dW11XT08,https://www.google.com/maps/place/?q=place_id:ChIJZ3v82DXXijkRQL4dW11XT08,part_385,2026-09-20 20:21:26
Digital Point,POS and Billing Software Vendor,Corporate office,Corporate office,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",N/A,N/A,4.0,3.0,"NH 39, Latehar, Jharkhand 829206",825401,23.7569418,84.4904569,ChIJh6M_Z9ptizkRV7nWMTl01LU,https://www.google.com/maps/place/?q=place_id:ChIJh6M_Z9ptizkRV7nWMTl01LU,part_385,2026-09-20 20:21:26
BharatERP,POS and Billing Software Vendor,Software company,Software company,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 76369 69184,http://bharaterp.com/,5.0,20.0,"HN 97A, Panjabari Rd, Nabajyoti Nagar, Bagharbari, Guwahati, Assam 781037","Nabajyoti Nagar, Bagharbari",26.1334028,91.8260162,ChIJXwsiGq1ZWjcRuY-jY5Nt1XU,https://www.google.com/maps/place/?q=place_id:ChIJXwsiGq1ZWjcRuY-jY5Nt1XU,part_385,2026-09-20 20:21:26
Digital Systems and Solutions,POS and Billing Software Vendor,Computer store,"Computer store, Computer service, Security system installation service",825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 93344 52087,N/A,4.3,16.0,"Rd No 1, shivpuri, Hotwasi, Ranchi, Jharkhand 834004",shivpuri,23.3218642,85.2539133,ChIJ9TeZFqbh9DkRBIKfmarrSOY,https://www.google.com/maps/place/?q=place_id:ChIJ9TeZFqbh9DkRBIKfmarrSOY,part_385,2026-09-20 20:21:26
Devourin Restaurant Software,POS and Billing Software Vendor,Software company,Software company,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 788 788 9182,https://devourin.com/,4.7,183.0,"14th Floor, SKY ONE, Lunkad Sky Lounge, Kalyani Nagar, Pune, Maharashtra 411006","Lunkad Sky Lounge, Kalyani Nagar",18.5434633,73.90406209999999,ChIJreX9cKPBwjsROOgQYQfxp_U,https://www.google.com/maps/place/?q=place_id:ChIJreX9cKPBwjsROOgQYQfxp_U,part_385,2026-09-20 20:21:26
Unipro Tech Solutions Pvt Ltd,POS and Billing Software Vendor,Software company,Software company,825401,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Chatra SO Chatra, Baluri BO, Baraini BO",+91 95662 44611,https://uniprotech.co.in/,4.2,104.0,"KNR Building, Plot No: 23&35B, Sriram Nagar 2nd Street, Mugalivakkam Main Rd, Porur, Chennai, Tamil Nadu 600116","Sriram Nagar, Porur",13.026647299999999,80.1687824,ChIJBcREDzRmUjoR7nvNmOAWKQE,https://www.google.com/maps/place/?q=place_id:ChIJBcREDzRmUjoR7nvNmOAWKQE,part_385,2026-09-20 20:21:26
