business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amcam Apparels And Clothing Manufacturer,Uniform Manufacturer,Men's clothing store,Men's clothing store,825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 72098 51292,N/A,5.0,,"Joda Talab, near ShivMandir, Harijan Mohala, Oriya, Hazaribagh, Jharkhand 825303","Harijan Mohala, Oriya",23.9831066,85.3986097,ChIJiZDG7lad9DkRJ6mcDgUm4nA,https://www.google.com/maps/place/?q=place_id:ChIJiZDG7lad9DkRJ6mcDgUm4nA,part_385,2026-09-20 20:21:46
Rincal Industries Private Limited,Uniform Manufacturer,Jeans shop,Jeans shop,825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 70040 71990,N/A,5.0,,"4/2011 Old Age Home Road, behind SP Kothi, Dipugarha, Hazaribagh, Jharkhand 825301",Dipugarha,24.006301699999998,85.37416669999999,ChIJ_X5et2yd9DkRxfxKBal2mw4,https://www.google.com/maps/place/?q=place_id:ChIJ_X5et2yd9DkRxfxKBal2mw4,part_385,2026-09-20 20:21:46
Ak Clothing Mart,Uniform Manufacturer,Clothing supplier,Clothing supplier,825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",N/A,N/A,5.0,,"near weels ground, Saketpuri Colony, Hirabag, Hazaribagh, Jharkhand 825303","Saketpuri Colony, Hirabag",23.996627999999998,85.3793666,ChIJv8KHW7Sd9DkRfLryg4UyY6s,https://www.google.com/maps/place/?q=place_id:ChIJv8KHW7Sd9DkRfLryg4UyY6s,part_385,2026-09-20 20:21:46
Wash & Shine Dryclean & Laundry,Uniform Manufacturer,Dry cleaner,"Dry cleaner, Carpet cleaning service, Iron works, Laundromat, Laundry service",825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",N/A,https://www.washnshinelaundry.com/,5.0,,"Canary Hill Rd, near hi tech nursery, beside utsav motor, Dipugarha, Hazaribagh, Jharkhand 825301",Dipugarha,24.0052949,85.3804265,ChIJBapr5d2d9DkRbCT7DO4JB_c,https://www.google.com/maps/place/?q=place_id:ChIJBapr5d2d9DkRbCT7DO4JB_c,part_385,2026-09-20 20:21:46
TAILOR SHOP,Uniform Manufacturer,Tailor,Tailor,825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 89629 29663,N/A,5.0,,"Main Road, near Bsf Gate, Meru, Hazaribagh, Jharkhand 825317",825402,24.0091151,85.46493339999999,ChIJsTIzdpWD9DkRRmQRsisKG8Q,https://www.google.com/maps/place/?q=place_id:ChIJsTIzdpWD9DkRRmQRsisKG8Q,part_385,2026-09-20 20:21:46
Uniform House,Uniform Manufacturer,Clothing store,Clothing store,825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 98352 23895,N/A,5.0,,"Kali Paswan, Chowk, Hurhuru, Hazaribagh, Jharkhand 825301",Hurhuru,23.980473099999998,85.37111949999999,ChIJk3CsPxed9DkRFkN0L4SzNWU,https://www.google.com/maps/place/?q=place_id:ChIJk3CsPxed9DkRFkN0L4SzNWU,part_385,2026-09-20 20:21:47
Studentskart.in,Uniform Manufacturer,Uniform store,"Uniform store, Bag shop, Corporate gift supplier, Custom t-shirt store, Gift shop, Print shop, T-shirt store, Dress store",825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 94303 00421,https://studentskart.in/,4.9,,"Jyoti vihar, Harmu Rd, behind neelkamal, Purani Ranchi, Bhumiartoli, Ranchi, Jharkhand 834001","Purani Ranchi, Bhumiartoli",23.3686266,85.31174899999999,ChIJH7a2-hDh9DkRzNJTbgqfrOM,https://www.google.com/maps/place/?q=place_id:ChIJH7a2-hDh9DkRzNJTbgqfrOM,part_385,2026-09-20 20:21:47
Sangam Boutique,Uniform Manufacturer,Tailor,Tailor,825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 86033 84483,https://youtube.com/@sangamboutique919?si=28rCcg5_7kosDkHb,4.6,,"Korrah Rd, Ompuri, Hazaribagh, Jharkhand 825303",Ompuri,23.9925703,85.3824266,ChIJcTm1vjqd9DkRhhhGGV2dFkc,https://www.google.com/maps/place/?q=place_id:ChIJcTm1vjqd9DkRhhhGGV2dFkc,part_385,2026-09-20 20:21:47
HIND GARMENTS,Uniform Manufacturer,Clothing store,"Clothing store, Clothing wholesaler, Dress store, Wholesaler",825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 87098 50369,N/A,5.0,,"Hind Garments, Subhash Marg, Kasai Mohallah, Azad Mahalla, Hazaribagh, Jharkhand 825301","Kasai Mohallah, Azad Mahalla",23.9930316,85.3564806,ChIJX1ELfdid9DkR53hiuXRwmnY,https://www.google.com/maps/place/?q=place_id:ChIJX1ELfdid9DkR53hiuXRwmnY,part_385,2026-09-20 20:21:47
"Malti sports, gift and toys.",Uniform Manufacturer,Store,"Store, Beauty Products Wholesaler, Gift shop, Household goods wholesaler, Sports bar, Toy store",825402,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ichak SO, Bariath BO, Bhusai BO",+91 85531 57725,N/A,4.5,,"Sardar chowk, malti complex, Jharkhand 825301",Matwari,23.990041599999998,85.3605252,ChIJTzPoPD6d9DkRoBFUlB8Tb-E,https://www.google.com/maps/place/?q=place_id:ChIJTzPoPD6d9DkRoBFUlB8Tb-E,part_385,2026-09-20 20:21:47
