business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Haider house,Boutiques,Clothes market,Clothes market,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",N/A,N/A,,,"7GQ4+4H8, Raharia, Jharkhand 825404",825404,24.287784799999997,84.5064534,ChIJi_vRUgCRjDkRNGRKTEBkHtQ,https://www.google.com/maps/place/?q=place_id:ChIJi_vRUgCRjDkRNGRKTEBkHtQ,part_385,2026-09-20 20:23:16
Rambha Devi,Boutiques,Childrens Store,Childrens Store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 74818 82311,N/A,5.0,1.0,"Main Chak Main Rosd, Barura, Jharkhand 825404",825404,24.2573829,84.5175941,ChIJewrFVy-RjDkRPXvTLhVskM8,https://www.google.com/maps/place/?q=place_id:ChIJewrFVy-RjDkRPXvTLhVskM8,part_385,2026-09-20 20:23:16
विक्रम वस्त्रालय,Boutiques,Clothing store,Clothing store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",N/A,N/A,,,"8G2F+HH7, मेन रोड, जूडी कौरा, प्रतापपुर, Joori, Jharkhand 825404",जूडी कौरा,24.3014039,84.523928,ChIJ_cNzZMuWjDkR81AplerE6JU,https://www.google.com/maps/place/?q=place_id:ChIJ_cNzZMuWjDkR81AplerE6JU,part_385,2026-09-20 20:23:16
MD MOZAHID KHAN,Boutiques,Childrens Store,Childrens Store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 91638 17651,N/A,5.0,1.0,"Main Road, Barura, Jharkhand 825404",825404,24.2581068,84.5177756,ChIJcUtTtXGRjDkR8XkQ099y2gI,https://www.google.com/maps/place/?q=place_id:ChIJcUtTtXGRjDkR8XkQ099y2gI,part_385,2026-09-20 20:23:16
Ashiya Fashion,Boutiques,Childrens Store,Childrens Store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 93303 06082,N/A,,,"Baura Mazar, Main Road, Chak, Barura, Jharkhand 825404",825404,24.258671,84.5180529,ChIJNVam7RiRjDkRTak1TKDwHw8,https://www.google.com/maps/place/?q=place_id:ChIJNVam7RiRjDkRTak1TKDwHw8,part_385,2026-09-20 20:23:16
Shobhini,Boutiques,Boutique,"Boutique, Fashion designer",825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 87899 36652,http://www.shobhini.in/,4.9,141.0,"Station Rd, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4899493,86.6915405,ChIJGwD2klEX8TkRM9smyFxmCvA,https://www.google.com/maps/place/?q=place_id:ChIJGwD2klEX8TkRM9smyFxmCvA,part_385,2026-09-20 20:23:16
DK BUTTON STORE,Boutiques,Store,Store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 62018 69547,N/A,5.0,11.0,"Raniganj Rd, beside D S P Public School, Dangi Nagar, Imamganj, Babhandih, Bihar 824206",Dangi Nagar,24.450445499999997,84.5871075,ChIJpXC2LNbrjDkRaj0w20GabI8,https://www.google.com/maps/place/?q=place_id:ChIJpXC2LNbrjDkRaj0w20GabI8,part_385,2026-09-20 20:23:16
RIVAAYAT,Boutiques,Boutique,"Boutique, Clothing store",825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 97085 98676,N/A,4.9,80.0,"Navya Minar, 6E, in front of Ishaan Sarovar Portico Hotel, Castairs Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.4827212,86.6935987,ChIJgbuYUwA98TkR_EIWBbAF9X8,https://www.google.com/maps/place/?q=place_id:ChIJgbuYUwA98TkR_EIWBbAF9X8,part_385,2026-09-20 20:23:16
5 STAR DRESSES,Boutiques,Clothing store,Clothing store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 62912 69641,N/A,,,"8GVJ+3PX, मेन रोड, प्रतापपुर पतरा झारखण्ड, Bharhi, Jharkhand 825404",प्रतापपुर पतरा झारखण्ड,24.3427319,84.5318643,ChIJf4qLWAWUjDkRgkcA-LOPzMg,https://www.google.com/maps/place/?q=place_id:ChIJf4qLWAWUjDkRgkcA-LOPzMg,part_385,2026-09-20 20:23:17
RK TRADERS GHORIGHAT,Boutiques,Building materials store,Building materials store,825404,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Pratappur SO Chatra, Bichkila BO, Chandrikala BO",+91 62021 49730,http://www.rktradersghorighat.com/,4.9,238.0,"Sildaha Bazaar, Ghorighat, Jharkhand 825404",825404,24.371531599999997,84.5374923,ChIJeZwH2meVjDkRqd8S4Id7ta4,https://www.google.com/maps/place/?q=place_id:ChIJeZwH2meVjDkRqd8S4Id7ta4,part_385,2026-09-20 20:23:18
