business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Neelam (family restaurant),Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,5.0,,"8C8F+XRQ, Bendgi, Jharkhand 825405",825405,24.317461899999998,85.42461709999999,ChIJj-msGABv8zkR0PzExn1S63U,https://www.google.com/maps/place/?q=place_id:ChIJj-msGABv8zkR0PzExn1S63U,part_385,2026-09-20 20:23:55
Apna dhaba family restaurant,Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,3.8,,"8C8F+CQX, Karso, Barhi, Jharkhand 825405",825405,24.2757634,85.41111839999999,ChIJF05Qts5v8zkRbouItZCT_ms,https://www.google.com/maps/place/?q=place_id:ChIJF05Qts5v8zkRbouItZCT_ms,part_385,2026-09-20 20:23:55
Anand family restaurant,Family Restaurant,Hotel,Hotel,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,3.5,,"7C34+83P, More, Devchanda, Barhi, Jharkhand 825405",825405,24.253334199999998,85.40520459999999,ChIJtS6scwBl8zkRwcpBucbKwxM,https://www.google.com/maps/place/?q=place_id:ChIJtS6scwBl8zkRwcpBucbKwxM,part_385,2026-09-20 20:23:55
4s Family Restaurant,Family Restaurant,Restaurant,Restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",+91 62055 40665,N/A,5.0,,"NH-33, Ranchi - Patna Rd, Barhi, Karso, Jharkhand 825405",825405,24.293621599999998,85.4151543,ChIJo8u9dRxv8zkRCiUJbD1zq3g,https://www.google.com/maps/place/?q=place_id:ChIJo8u9dRxv8zkRCiUJbD1zq3g,part_385,2026-09-20 20:23:55
Brajmohan Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,3.9,,"7CC5+2R8, Barhi, Karso, Jharkhand 825405",825405,24.270030799999997,85.40958529999999,ChIJtQzsKQBv8zkRssk1sgWv6x4,https://www.google.com/maps/place/?q=place_id:ChIJtQzsKQBv8zkRssk1sgWv6x4,part_385,2026-09-20 20:23:55
Lambu Line Hotel And Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,3.5,,"898X+FM3, Rasoia Dhamna, Jharkhand 825405",825405,24.3161147,85.3992454,ChIJkQsq555v8zkR3Qpu3wXd9iY,https://www.google.com/maps/place/?q=place_id:ChIJkQsq555v8zkR3Qpu3wXd9iY,part_385,2026-09-20 20:23:55
Chacha Bhatija International,Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",+91 93040 99492,N/A,4.6,,"6CG3+JR, KAdwa, Jharkhand 825405",825405,24.2259365,85.40429379999999,ChIJuUWUVwBl8zkRDgyQF271OFs,https://www.google.com/maps/place/?q=place_id:ChIJuUWUVwBl8zkRDgyQF271OFs,part_385,2026-09-20 20:23:55
Hotel kavery family restaurant,Family Restaurant,Restaurant,Restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,3.7,,"7CC5+4W2, NH 20, Karso, Jharkhand 825405",825405,24.270268899999998,85.4097555,ChIJgXzwfS9v8zkRRjz3ER1UKjs,https://www.google.com/maps/place/?q=place_id:ChIJgXzwfS9v8zkRRjz3ER1UKjs,part_385,2026-09-20 20:23:55
ANKUR FAMILY RESTAURANT,Family Restaurant,Seafood restaurant,"Seafood restaurant, Soup kitchen",825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,http://www.ankurfamilyrestaurant.com/,4.4,42.0,"bazar road, near durga mata mandir, Barakatha, Jharkhand 825323",825405,24.1724577,85.6147688,ChIJ_QuRTvGB8zkR0kwunl2qJpg,https://www.google.com/maps/place/?q=place_id:ChIJ_QuRTvGB8zkR0kwunl2qJpg,part_385,2026-09-20 20:23:56
Bharti dhaba & family restaurant,Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",N/A,N/A,5.0,5.0,"Bara Pandeybara, Barhi, Chouparan, Jharkhand 825406",825405,24.3484782,85.3410868,ChIJr1oDQQBp8zkRCYafY2Z56AY,https://www.google.com/maps/place/?q=place_id:ChIJr1oDQQBp8zkRCYafY2Z56AY,part_385,2026-09-20 20:23:56
Adhunik jhinga line hotel and family restaurant,Family Restaurant,Family restaurant,Family restaurant,825405,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Barhi SO Hazaribag, Deochanda BO, Gouriakarma BO",+91 96311 86545,N/A,4.3,6.0,"8CWX+3H, Urwan, Jharkhand 825409",825405,24.345229,85.44894,ChIJW8C6EwBx8zkRf9tau_CBy3U,https://www.google.com/maps/place/?q=place_id:ChIJW8C6EwBx8zkRf9tau_CBy3U,part_385,2026-09-20 20:23:56
