business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jharkhand Electricals,Electrician,Electrical repair shop,Electrical repair shop,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 89868 89905,N/A,5.0,,"FH9W+JWV, Koderma, Jharkhand 825410",825407,24.4700955,85.5982764,ChIJPUXdEQAL8zkRWUDB_PReEKk,https://www.google.com/maps/place/?q=place_id:ChIJPUXdEQAL8zkRWUDB_PReEKk,part_385,2026-09-20 20:25:26
Shivam electrical,Electrician,Electrician,Electrician,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 80841 55198,N/A,5.0,,"Bazar Road, Domchanch, Jharkhand 825418",825407,24.473244299999998,85.693535,ChIJWWHbUWyj8zkRhkv4_Iu8j7c,https://www.google.com/maps/place/?q=place_id:ChIJWWHbUWyj8zkRhkv4_Iu8j7c,part_385,2026-09-20 20:25:26
Navrang electric 2,Electrician,Electronics store,Electronics store,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",N/A,N/A,5.0,,"Gridhi road, near durga mandir, Shanti choke, Lokai, Koderma, Jharkhand 825410",Shanti choke,24.473439499999998,85.62342149999999,ChIJcen_U5eh8zkR1HGd-cdtaCs,https://www.google.com/maps/place/?q=place_id:ChIJcen_U5eh8zkR1HGd-cdtaCs,part_385,2026-09-20 20:25:26
VICMEE V. H ELECTRICALS,Electrician,Electrician,Electrician,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 74889 45106,N/A,,,"Anup tola, Karakhunt, Jhumri tilaiya, Jharkhand 825418",825407,24.4519688,85.67991219999999,ChIJ02gLYgKf8zkROw7fXQDiYvQ,https://www.google.com/maps/place/?q=place_id:ChIJ02gLYgKf8zkROw7fXQDiYvQ,part_385,2026-09-20 20:25:26
Pratham Electrical Skilling Center Kodarma,Electrician,Education center,Education center,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",N/A,http://www.pratham.org/,4.7,,"police station, behind of, Koderma, Jharkhand 825410",825407,24.4676699,85.59335899999999,ChIJvZuZLzQL8zkR9t-HErQWDOU,https://www.google.com/maps/place/?q=place_id:ChIJvZuZLzQL8zkR9t-HErQWDOU,part_385,2026-09-20 20:25:26
DOMCHANCH ELECTRIC AVENUE,Electrician,Electrical supply store,Electrical supply store,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 94317 90328,N/A,3.5,,"Koderma - Giridih - Tundi - Gobindpur Rd, near Bandhan Bank, Domchanch, Jharkhand 825418",825407,24.4699913,85.69790449999999,ChIJBTwEoRaj8zkRjBuJjH2yyzY,https://www.google.com/maps/place/?q=place_id:ChIJBTwEoRaj8zkRjBuJjH2yyzY,part_385,2026-09-20 20:25:26
Sabbu Electrical,Electrician,Electronics repair shop,Electronics repair shop,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 85810 28739,N/A,,,"Koderma, Jharkhand 825301",825407,24.4699492,85.5980977,ChIJG6R_jRsL8zkRpeJAg9dfdFc,https://www.google.com/maps/place/?q=place_id:ChIJG6R_jRsL8zkRpeJAg9dfdFc,part_385,2026-09-20 20:25:26
Navrang Electric,Electrician,Electronics store,Electronics store,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 96936 06197,N/A,5.0,,"Koderma - Giridih - Tundi - Gobindpur Rd, opp. sangam furniture, Koderma, Jharkhand 825410",825407,24.4666431,85.5961081,ChIJQdspkh8L8zkRu041xj73lBs,https://www.google.com/maps/place/?q=place_id:ChIJQdspkh8L8zkRu041xj73lBs,part_385,2026-09-20 20:25:26
Vishwakarma Electronic,Electrician,Electronics store,Electronics store,825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 79798 22228,N/A,4.2,,"FH9V+389, Koderma, Jharkhand 825410",825407,24.466360599999998,85.5954651,ChIJH64Dna4K8zkRPlR83CsqO-E,https://www.google.com/maps/place/?q=place_id:ChIJH64Dna4K8zkRPlR83CsqO-E,part_385,2026-09-20 20:25:26
MOHIT ELECTRONICS,Electrician,Electronics store,"Electronics store, Air conditioning store, Computer store, Discount store, Electronics wholesaler, Refrigerator store, Shopping mall, Television repair service, Washer & dryer store",825407,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch SO, Baheradih BO, Dhab BO",+91 91627 61143,N/A,4.9,,"Domchanch, Jharkhand 825418",825407,24.474766199999998,85.6962101,ChIJp1szSQOi8zkRXzd4vsBhb4g,https://www.google.com/maps/place/?q=place_id:ChIJp1szSQOi8zkRXzd4vsBhb4g,part_385,2026-09-20 20:25:26
