business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THE D.CODE professional tailor,Tailor and Fashion Designer,Designer Clothing Store,Designer Clothing Store,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 87093 45779,N/A,4.5,,"Jharkhandi Dham Road, near dhobiyasinga water tank, Rajdhanwar, Mangaso, Jharkhand 825412",825412,24.375747399999998,85.9608961,ChIJ91No3sPr8zkR4sKFywnoJUU,https://www.google.com/maps/place/?q=place_id:ChIJ91No3sPr8zkR4sKFywnoJUU,part_385,2026-09-20 20:28:18
Dyamand Telars,Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 90319 92523,N/A,5.0,,"01kodambari Jamua Main Road Giridih Kodambari Jamua, Main Road, Giridih, Jharkhand 815314",825412,24.456133899999998,86.06864499999999,ChIJ_X2_rZPp8zkRL39Hh-qR38E,https://www.google.com/maps/place/?q=place_id:ChIJ_X2_rZPp8zkRL39Hh-qR38E,part_385,2026-09-20 20:28:18
Gaya Tailoring Co.,Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 94717 24263,N/A,4.8,,"Moulana Azad chowk, Jharkhand 815301",Buxidih,24.1839287,86.3079242,ChIJo7x1-rNV8TkRVNz69F-J1q8,https://www.google.com/maps/place/?q=place_id:ChIJo7x1-rNV8TkRVNz69F-J1q8,part_385,2026-09-20 20:28:18
'SUPER TAILOR' NAWDIHA,Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 62036 36718,N/A,5.0,,"SUPER TAILOR, Nawdiha Jharkhand Rajya Gramin Bank, Nawdiha, Jharkhand 815312",825412,24.3818561,86.2666289,ChIJTQGz6p9Z8TkRI_TrL2ZL8IY,https://www.google.com/maps/place/?q=place_id:ChIJTQGz6p9Z8TkRI_TrL2ZL8IY,part_385,2026-09-20 20:28:18
Ma Mathurashini Ladies Tailor maheshmunda,Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 70335 79328,N/A,3.7,,"bajrangbali chowk, Maheshmunda, Jharkhand 815312",825412,24.2187563,86.4019857,ChIJeYz2QOpR8TkRK5GBylISWFo,https://www.google.com/maps/place/?q=place_id:ChIJeYz2QOpR8TkRK5GBylISWFo,part_385,2026-09-20 20:28:18
Gujarat Fashion,Tailor and Fashion Designer,Clothing store,Clothing store,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 96311 08542,N/A,4.7,,"Gujarat Fashion Hanuman Mandir, Road, Jharkhand 815318",825412,24.36185,86.1524416,ChIJpQsCovDl8zkR4G_LWVfy-Cg,https://www.google.com/maps/place/?q=place_id:ChIJpQsCovDl8zkR4G_LWVfy-Cg,part_385,2026-09-20 20:28:18
Apsara Tailors,Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 79923 30917,N/A,,,"Pachambha, Koritola, Pachamba, Giridih, Jharkhand 815316","Koritola, Pachamba",24.2033728,86.26511789999999,ChIJEf0tRadX8TkRdwN5-UH7m5U,https://www.google.com/maps/place/?q=place_id:ChIJEf0tRadX8TkRdwN5-UH7m5U,part_385,2026-09-20 20:28:18
ANIL KUMAR VERMA(Kushwaha Bhawan ),Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",N/A,N/A,,,"Jharkhandi Dham Road, Baddiha, Jharkhand 825412",825412,24.363971499999998,86.03719,ChIJPZdU7yvv8zkRyn_VoTqENVQ,https://www.google.com/maps/place/?q=place_id:ChIJPZdU7yvv8zkRyn_VoTqENVQ,part_385,2026-09-20 20:28:18
EVEREST TAILOR,Tailor and Fashion Designer,Tailor,Tailor,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",N/A,N/A,,,"58P5+3V7, BBC Rd, Jai Prakash Nagar, Giridih, Jharkhand 815301",Jai Prakash Nagar,24.18516,86.30967299999999,ChIJia5FAiVU8TkRbXQIunI1TjU,https://www.google.com/maps/place/?q=place_id:ChIJia5FAiVU8TkRbXQIunI1TjU,part_385,2026-09-20 20:28:18
Jugnu Button Store,Tailor and Fashion Designer,Tailor,"Tailor, Clock repair service",825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 99342 05637,N/A,5.0,,"Pachamba, Giridih, Jharkhand 815316","Koritola, Pachamba",24.2033026,86.2644754,ChIJ-T8xGgVW8TkRwu7fotc6MEA,https://www.google.com/maps/place/?q=place_id:ChIJ-T8xGgVW8TkRwu7fotc6MEA,part_385,2026-09-20 20:28:20
ROLEX TAILOR,Tailor and Fashion Designer,Tailor,"Tailor, Gents Tailor",825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 99554 74781,N/A,4.5,,"Shop No 21, Jamtara - Godda Rd, near Railway Station, Vidyasagar, Karmatar, Jharkhand 815352",Vidyasagar,24.0833725,86.7036062,ChIJGaTz5drN9jkRTtQ2X8u_RiI,https://www.google.com/maps/place/?q=place_id:ChIJGaTz5drN9jkRTtQ2X8u_RiI,part_385,2026-09-20 20:28:20
Arohi Fashion,Tailor and Fashion Designer,Clothing store,Clothing store,825412,Jharkhand Circle,Ranchi Region,Giridih Division,"Rajdhanwarf SO, Ambatand BO, Argali BO",+91 99345 92285,N/A,5.0,,"Palojori More Main Road Dumka, near Middle School, Palojori, Giridih, Jharkhand 814146",825412,24.2383001,87.01322479999999,ChIJn3_AMs_R8DkRPqDOw1xliwA,https://www.google.com/maps/place/?q=place_id:ChIJn3_AMs_R8DkRPqDOw1xliwA,part_385,2026-09-20 20:28:20
