business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Muscle tech fitness,Fitness Chains,Gym,Gym,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 97317 62002,N/A,4.9,,"43, Hesarghatta Rd, Havanur Layout, Bagalagunte, Bengaluru, Karnataka 560073","Havanur Layout, Bagalagunte",13.0502548,77.50753999999999,ChIJ7RLj3CU9rjsR1FxWTJDSXmo,https://www.google.com/maps/place/?q=place_id:ChIJ7RLj3CU9rjsR1FxWTJDSXmo,part_385,2026-09-20 20:30:28
Fitness island gym (Lalkothi),Fitness Chains,Gym,"Gym, Fitness center, Health consultant",825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 86397 36126,N/A,4.8,,"A1, Nehru Path, Satya Vihar, Friends Colony, Krishna Nagar II, Lalkothi, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302015","Satya Vihar, Friends Colony, Krishna Nagar II, Lalkothi",26.888749299999997,75.79991129999999,ChIJGWsvW8O1bTkRJX_VPyZdXlk,https://www.google.com/maps/place/?q=place_id:ChIJGWsvW8O1bTkRJX_VPyZdXlk,part_385,2026-09-20 20:30:28
RIPD Gym and Fitness Club,Fitness Chains,Fitness center,Fitness center,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 79996 76836,http://ripdfitnessclub.com/,5.0,,"2nd Floor, Brilliant Star, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010","Vijay Nagar, Scheme No 54",22.7544643,75.8815137,ChIJ40gWlNoDYzkRjwz1OlOOux0,https://www.google.com/maps/place/?q=place_id:ChIJ40gWlNoDYzkRjwz1OlOOux0,part_385,2026-09-20 20:30:28
EVOLVE FITNESS CLUB,Fitness Chains,Gym,Gym,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 98959 07700,https://theevolvefitness.com/,4.9,,"Makeshift Commercial Building Iringadanpally, Post, Chevayoor, Kozhikode, Keralam 673017",Chevayoor,11.2813688,75.8284558,ChIJTTUirHFdpjsRgMM7wYXuoLU,https://www.google.com/maps/place/?q=place_id:ChIJTTUirHFdpjsRgMM7wYXuoLU,part_385,2026-09-20 20:30:28
Samfit zone,Fitness Chains,Fitness center,"Fitness center, Gym",825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 90728 82311,https://samfitzone.com/,5.0,,"K.P Mall, Kondotty Bypass Rd, opposite budget hypermarket, Kondotty, Keralam 673638",825415,11.1462287,75.9625965,ChIJFY-pCn5PpjsRpeYA3wp2WWU,https://www.google.com/maps/place/?q=place_id:ChIJFY-pCn5PpjsRpeYA3wp2WWU,part_385,2026-09-20 20:30:28
N K FITNESS,Fitness Chains,Gym,Gym,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 73561 07879,N/A,4.9,,"Mundikkal Thazham - Peringolam Rd, Mayanad, Kozhikode, Kerala 673008",Mayanad,11.2866697,75.859222,ChIJsd5Mp69dpjsRKIpIa6dr5DA,https://www.google.com/maps/place/?q=place_id:ChIJsd5Mp69dpjsRKIpIa6dr5DA,part_385,2026-09-20 20:30:28
PRIMAL FITNESS HUB,Fitness Chains,Gym,Gym,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 96332 48620,N/A,4.8,,"CEEKEY TOWER, MLA ROAD, KOVOOR, Palazhi Rd, Kozhikode, Keralam 673017",Ummalathoor,11.2591082,75.8374887,ChIJZ2XMvoNbpjsRnXrrOVoTZro,https://www.google.com/maps/place/?q=place_id:ChIJZ2XMvoNbpjsRnXrrOVoTZro,part_385,2026-09-20 20:30:28
BIG BULL GYM,Fitness Chains,Gym,Gym,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,N/A,N/A,4.8,,"Chanod, Chanod Colony, Vapi, Gujarat 396195","Chanod, Chanod Colony",20.351023899999998,72.9302685,ChIJa2MJs6TP4DsRx3b84rM7o5Q,https://www.google.com/maps/place/?q=place_id:ChIJa2MJs6TP4DsRx3b84rM7o5Q,part_385,2026-09-20 20:30:28
IMPERIAL FITNESS,Fitness Chains,Gym,Gym,825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 83498 00472,https://www.instagram.com/imperial_fitness01/?__pwa=1#,4.7,,"F-11, Ekta Nagar, Gudhiyari, Chhattisgarh 492011",Ekta Nagar,21.2672719,81.620378,ChIJGbqaJzbnKDoRTINtOhgM-HU,https://www.google.com/maps/place/?q=place_id:ChIJGbqaJzbnKDoRTINtOhgM-HU,part_385,2026-09-20 20:30:28
Bi-Tri Nation Fitness Akhaada,Fitness Chains,Gym,"Gym, Fitness center, Gymnastics club",825415,Jharkhand Circle,Ranchi Region,Hazaribagh Division,NTPC North Karanpura SO,+91 70198 96875,https://www.instagram.com/bi_tri_nation_fitness_akhaada/profilecard/?igsh=YWtvZjRkMzViMm1o,4.9,,"142, 1st & 2nd floor, 4th Main Rd, next to HAFELE Showroom, near Chaitanya Techno School, Sripuram, Kumara Park West, Seshadripuram, Bengaluru, Karnataka 560020","Sripuram, Kumara Park West, Seshadripuram",12.994508999999999,77.57839659999999,ChIJP61FHmQXrjsRsbOTiAsKG-0,https://www.google.com/maps/place/?q=place_id:ChIJP61FHmQXrjsRsbOTiAsKG-0,part_385,2026-09-20 20:30:28
