business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Panchwati house,Property Developers,Housing development,Housing development,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,5.0,,"CRRJ+F79, Dumargarha, Bariardih, Jharkhand 825418",825418,24.4411721,85.8307415,ChIJHTeATgCX8zkRUQLx_JTL4ps,https://www.google.com/maps/place/?q=place_id:ChIJHTeATgCX8zkRUQLx_JTL4ps,part_385,2026-09-20 20:31:27
Rana home jagannath,Property Developers,Housing society,Housing society,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,5.0,,"CQQ3+7G9, Kharkhar, Jharkhand 825418",825418,24.438164399999998,85.7538469,ChIJSwHBGwCZ8zkRAj2V-62kDCw,https://www.google.com/maps/place/?q=place_id:ChIJSwHBGwCZ8zkRAj2V-62kDCw,part_385,2026-09-20 20:31:27
Pandit house (Sanjay),Property Developers,Housing society,Housing society,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,5.0,,"post kheshmi Thana, Villes Pasiyadih, Distik, Nawalsahi, Koderma, Jharkhand 825418",825418,24.4103696,85.77955349999999,ChIJw0WrkkKX8zkRTyjv2Is6eIo,https://www.google.com/maps/place/?q=place_id:ChIJw0WrkkKX8zkRTyjv2Is6eIo,part_385,2026-09-20 20:31:27
Prakash Residence,Property Developers,Housing society,Housing society,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,5.0,,"CQG7+35Q, Bhimaidih, Nawalsahi, Jharkhand 825418",825418,24.4252026,85.7629838,ChIJ8cnVVQCZ8zkRWwCK65eCUes,https://www.google.com/maps/place/?q=place_id:ChIJ8cnVVQCZ8zkRWwCK65eCUes,part_385,2026-09-20 20:31:27
Rana bhavan(pawan),Property Developers,Housing development,Housing development,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,,,"Police Station, 120 31, near Koderma, Koderma, Nawalsahi, Jharkhand 825418",825418,24.429195,85.766295,ChIJW3ZmWQCZ8zkRO45AhVkEYEE,https://www.google.com/maps/place/?q=place_id:ChIJW3ZmWQCZ8zkRO45AhVkEYEE,part_385,2026-09-20 20:31:27
Afjal home,Property Developers,Housing development,Housing development,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,4.0,,"CRHC+7M, Kumardih, Murukmanai, Jharkhand 825418",825418,24.4286349,85.8203918,ChIJefAiO4SX8zkRbA-m07U-9ss,https://www.google.com/maps/place/?q=place_id:ChIJefAiO4SX8zkRbA-m07U-9ss,part_385,2026-09-20 20:31:27
Laxman Yadav (House),Property Developers,Housing society,Housing society,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,5.0,,"CQV5+QJV, Koderma - Domchanch Rd, Koderma, Paharpur, Jharkhand 825418",825418,24.4444751,85.7590536,ChIJf7eNTgCZ8zkRrn9Ld9cv9Wk,https://www.google.com/maps/place/?q=place_id:ChIJf7eNTgCZ8zkRrn9Ld9cv9Wk,part_385,2026-09-20 20:31:27
Sunil's House,Property Developers,Housing development,Housing development,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,5.0,,"FP4R+799, Nawada, Jharkhand 825418",825418,24.455659999999998,85.7409796,ChIJ10TXMACZ8zkRcyz-MZl8V2Q,https://www.google.com/maps/place/?q=place_id:ChIJ10TXMACZ8zkRcyz-MZl8V2Q,part_385,2026-09-20 20:31:27
Hussain Khan house,Property Developers,Housing development,Housing development,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,4.8,,"CQHX+RG2, Devipur, Jharkhand 825418",825418,24.429301799999998,85.79818569999999,ChIJAR5dNACX8zkRSQ-s1P7CEGs,https://www.google.com/maps/place/?q=place_id:ChIJAR5dNACX8zkRSQ-s1P7CEGs,part_385,2026-09-20 20:31:27
Karmachowk,Property Developers,Housing society,Housing society,825418,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Domchanch Bazar SO, Arkhango BO, Bagro BO",N/A,N/A,3.5,,"CRFP+X89, Karmachouk, Murukmanai, Jharkhand 825418",Karmachouk,24.4249184,85.8358578,ChIJT3P2PiOX8zkRXTB0o3O2oks,https://www.google.com/maps/place/?q=place_id:ChIJT3P2PiOX8zkRXTB0o3O2oks,part_385,2026-09-20 20:31:27
