business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Shadiwale Events Dhanbad,Event Planners/Wedding Planners,Party planner,Party planner,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",N/A,N/A,4.6,,"Co-operative colony, BCCL TOWNSHOP, Nutandih, Kusum Vihar, Koyla Nagar, Dhanbad, Jharkhand 826007","Nutandih, Kusum Vihar, Koyla Nagar",23.80228,86.4561457,ChIJGwcozXa99jkR5pgsJKHV4wg,https://www.google.com/maps/place/?q=place_id:ChIJGwcozXa99jkR5pgsJKHV4wg,part_385,2026-09-20 20:32:36
P S Event Planner,Event Planners/Wedding Planners,Event planner,Event planner,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",+91 96938 81556,N/A,4.5,,"Shop N o. 3 Aakash Emase Apartment, near SBI Branch, Dhaiya, Dhanbad, Jharkhand 826010",Dhaiya,23.8271995,86.4343863,ChIJt5MkIbe79jkR5bF5wY70e8Y,https://www.google.com/maps/place/?q=place_id:ChIJt5MkIbe79jkR5bF5wY70e8Y,part_385,2026-09-20 20:32:36
Samantrana Events,Event Planners/Wedding Planners,Event management company,Event management company,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",N/A,https://samantranaevents.com/,,,"Balaji Nagar, near Dayal Aata Chakki, near Law College, Kasturba Nagar, Dhanbad, Jharkhand 826001",Kasturba Nagar,23.797100999999998,86.4343093,ChIJkXx92ga99jkRuTPpVhzwcII,https://www.google.com/maps/place/?q=place_id:ChIJkXx92ga99jkRuTPpVhzwcII,part_385,2026-09-20 20:32:36
Siddhi Events & Catering,Event Planners/Wedding Planners,Event management company,Event management company,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",N/A,N/A,,,"Hotel Kuber, Luby Circular Rd, behind Women college, Kasturba Nagar, Dhanbad, Jharkhand 826007",Kasturba Nagar,23.799608199999998,86.435158,ChIJOagabLm99jkRglkjE8EZ6yM,https://www.google.com/maps/place/?q=place_id:ChIJOagabLm99jkRglkjE8EZ6yM,part_385,2026-09-20 20:32:36
Moonlight Marriage Hall,Event Planners/Wedding Planners,Marriage celebrant,Marriage celebrant,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",N/A,N/A,4.0,,"Aman Society Rd, Azad Nagar, sector 1, Bhuli, Dhanbad, Jharkhand 828104","Azad Nagar, sector 1, Bhuli",23.8063069,86.4010466,ChIJg8ncIXej9jkRce3QhLRXnLQ,https://www.google.com/maps/place/?q=place_id:ChIJg8ncIXej9jkRce3QhLRXnLQ,part_385,2026-09-20 20:32:36
USHA KUNJ MARRIAGE HALL,Event Planners/Wedding Planners,Marriage celebrant,Marriage celebrant,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",N/A,N/A,4.7,,"RFF4+G79, KUNJ VIHAR NEAR SUGIYADIH KARMIK NAGAR, near KUNJ VIHAR COLONY, Jharkhand 826010",Kunj Vihar,23.823779299999998,86.45575,ChIJgyTMtci79jkRRYEBkaaK420,https://www.google.com/maps/place/?q=place_id:ChIJgyTMtci79jkRRYEBkaaK420,part_385,2026-09-20 20:32:36
Theme The Event Planner,Event Planners/Wedding Planners,Wedding planner,Wedding planner,826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",+91 94311 58788,N/A,4.9,20.0,"Gyan Mukherjee Road, Hirapur, Pandey Muhalla, Dhanbad, Jharkhand 826007","Hirapur, Pandey Muhalla",23.7970641,86.4412301,ChIJN7pjq5W89jkRIuJFOsKdtHM,https://www.google.com/maps/place/?q=place_id:ChIJN7pjq5W89jkRIuJFOsKdtHM,part_385,2026-09-20 20:32:37
Friend Forever Event Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service",826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",+91 98358 84303,https://friend-forever-event.grexa.site/,5.0,25.0,"I deliver services at customer location, Bank Colony, Kusum Vihar, Murli Nagar, Dhanbad, Jharkhand 828127","Bank Colony, Kusum Vihar, Murli Nagar",23.8119288,86.46170169999999,ChIJURGfkzSj9jkR_ObltDAKksg,https://www.google.com/maps/place/?q=place_id:ChIJURGfkzSj9jkR_ObltDAKksg,part_385,2026-09-20 20:32:37
MUNIMA WEDDING PLANNER'S,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service",826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",N/A,https://sites.google.com/view/munimaweddingdecoration/home,4.9,91.0,"Ward No: 29, near Bccc Quater, Steel Gate, New, Murli Nagar, Saraidhella, Dhanbad, Jharkhand 826007","Steel Gate, New, Murli Nagar",23.8137919,86.4612839,ChIJxXtFDre99jkRTls8-rnpXyM,https://www.google.com/maps/place/?q=place_id:ChIJxXtFDre99jkRTls8-rnpXyM,part_385,2026-09-20 20:32:37
The Wedding Partners,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Entertainment agency, Event planner, Party planner, Tent House Supplier, Wedding photographer, Event management company, Wedding service, Wedding venue",826001,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Dhanbad HO, Cmpf SO, Cmrs SO",+91 87894 81170,N/A,5.0,30.0,"Gurudwara, Nirsa Bazaar, Lane, Nirsa, Jharkhand 828205",826001,23.7850838,86.7077485,ChIJxeabbBPD9jkR-RC1UA7X9C0,https://www.google.com/maps/place/?q=place_id:ChIJxeabbBPD9jkR-RC1UA7X9C0,part_385,2026-09-20 20:32:37
