business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shyamal Enterprises by Freshify Cleaning Solutions,Housekeeping Services,Cleaning products supplier,Cleaning products supplier,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 82987 20706,N/A,5.0,,"New, Murli Nagar, Saraidhella, Dhanbad, Jharkhand 828127","Nutandih, Kusum Vihar, Murli Nagar",23.8044829,86.4583203,ChIJJ4r2N0y99jkRY85QjI1GnLE,https://www.google.com/maps/place/?q=place_id:ChIJJ4r2N0y99jkRY85QjI1GnLE,part_385,2026-09-20 20:34:04
Smart Care Facility Management,Housekeeping Services,Cleaning products supplier,Cleaning products supplier,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 75577 79009,http://www.scfm.co.in/,5.0,,"04th Floor, Sarita Tower, Barwadda Road, above bandhan Bank, near CIMFR Main Gate, Bartand, Dhaiya, Dhanbad, Jharkhand 826001","Bartand, Dhaiya",23.8118031,86.4328357,ChIJ4zZ0QA699jkRMZKSYC2H1Ww,https://www.google.com/maps/place/?q=place_id:ChIJ4zZ0QA699jkRMZKSYC2H1Ww,part_385,2026-09-20 20:34:04
AMRSAM Services,Housekeeping Services,Water Tank Cleaners,Water Tank Cleaners,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 95706 25000,N/A,2.3,,"Shop No.-4 Barwadda, Loharbarwa, Dhanbad, Barajamua, Jharkhand 826004",Loharbarwa,23.8541344,86.421416,ChIJp_BVni279jkR9iBJYPgP3uU,https://www.google.com/maps/place/?q=place_id:ChIJp_BVni279jkR9iBJYPgP3uU,part_385,2026-09-20 20:34:04
Kartavya Maid Solution,Housekeeping Services,Home health care service,"Home health care service, House sitter",826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 95721 61302,N/A,3.5,,"Shanti Bhawan, Gomati Apartment, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.788093699999997,86.418098,ChIJl4JpH8Sj9jkRtxRdJgYDdF4,https://www.google.com/maps/place/?q=place_id:ChIJl4JpH8Sj9jkRtxRdJgYDdF4,part_385,2026-09-20 20:34:04
Wash & shine Dryclean & Laundry,Housekeeping Services,Laundry,Laundry,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 84091 47111,https://washnshinelaundry.com/,5.0,,"At lower Ground floor, Aayan complex, beside of Shanti Niketan, near pragati nursing home, Kusum Vihar, Murli Nagar, Saraidhella, Dhanbad, Jharkhand 828127","Kusum Vihar, Murli Nagar",23.811588099999998,86.45722339999999,ChIJjWLhAAC99jkRmLpHbtVGsJM,https://www.google.com/maps/place/?q=place_id:ChIJjWLhAAC99jkRmLpHbtVGsJM,part_385,2026-09-20 20:34:04
VERINITO XPRESS -Live Dry Clean Studio,Housekeeping Services,Laundry service,Laundry service,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 99058 85868,http://www.verinito.com/,4.7,,"Shop no. 208 Citycentre, Luby Circular Rd, Dhanbad, Jharkhand 826007","Jay Prakash Nagar, Jharudih",23.8055244,86.4307954,ChIJe_x4LPq99jkRY_S7w_FTMRM,https://www.google.com/maps/place/?q=place_id:ChIJe_x4LPq99jkRY_S7w_FTMRM,part_385,2026-09-20 20:34:04
URBAN HOME SERVICE,Housekeeping Services,Cleaning Services,Cleaning Services,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",N/A,N/A,5.0,2.0,"Steelgate, Lohar Kulli, Saraidhella, Dhanbad, Jharkhand 828127","Steelgate, Lohar Kulli",23.8163143,86.45969,ChIJWffo9by99jkRizVdmJ8Qoa8,https://www.google.com/maps/place/?q=place_id:ChIJWffo9by99jkRizVdmJ8Qoa8,part_385,2026-09-20 20:34:04
Pick My Laundry Dhanbad,Housekeeping Services,Laundry service,Laundry service,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 87689 82001,https://pickmylaundry.in/,5.0,23.0,"Saraidhela Rd, Mandal para, Lohar Kulli, Dhanbad, Jharkhand 826001","Mandal para, Lohar Kulli",23.8120929,86.4558806,ChIJaT7eFhW99jkRNXoIQelhzd4,https://www.google.com/maps/place/?q=place_id:ChIJaT7eFhW99jkRNXoIQelhzd4,part_385,2026-09-20 20:34:04
Tumbledry Dry Clean & Laundry Service,Housekeeping Services,Dry cleaner,"Dry cleaner, Carpet cleaning service, Laundry, Laundry service, Shoe repair shop",826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",+91 76772 50250,https://tumbledry.in/store-locations/tumbledry-dry-clean-laundry-store-susnilewa-dhanbad/,4.4,37.0,"Shop No - 01 & 02, Lower Ground Floor, Central Plaza, Memco More, Dhaiya Rd, opposite Rita Verma Petrol Pump, Chanchani Colony, Susnilewa, Jharkhand 826010",Chanchani Colony,23.8324946,86.4319707,ChIJ1RGMpMC79jkRs6xqNXDNAKU,https://www.google.com/maps/place/?q=place_id:ChIJ1RGMpMC79jkRs6xqNXDNAKU,part_385,2026-09-20 20:34:04
Rajesh Rajak's Laundry,Housekeeping Services,Laundry,Laundry,826004,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Indian School Of Mines SO, Damodarpur BO, Kalyanpur BO",N/A,N/A,5.0,1.0,"near RCM Store, behind basant mistan bhandhar, Bekarbandh, Forest Colony, Dhanbad, Jharkhand 826001","Bekarbandh, Forest Colony",23.8004605,86.4262607,ChIJgbgGiDi99jkRwAMZk8g_TX4,https://www.google.com/maps/place/?q=place_id:ChIJgbgGiDi99jkRwAMZk8g_TX4,part_385,2026-09-20 20:34:04
