business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Riddhi Siddhi Architect,Architects,Architect,Architect,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 88262 43157,http://www.riddhisiddhiarchitect.in/,4.8,,"Chira Chas, CMCE Campus Lane, near Daffodils International Public School, near KK Singh Colony, Gandhajore, Bokaro Steel City, Jharkhand 827013",Gandhajore,23.6491607,86.18824,ChIJ4erQN4gh9DkRX0lRplXlUbY,https://www.google.com/maps/place/?q=place_id:ChIJ4erQN4gh9DkRX0lRplXlUbY,part_387,2026-09-20 20:19:33,2188
Makan build your dream,Architects,Building consultant,Building consultant,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 79798 44078,N/A,3.0,,"Sector 9, Bokaro Steel City, Jharkhand 827009",Sector 9,23.7013489,86.1635257,ChIJ-ZJlxfoj9DkRSgNBlOHaIkA,https://www.google.com/maps/place/?q=place_id:ChIJ-ZJlxfoj9DkRSgNBlOHaIkA,part_387,2026-09-20 20:19:33,2189
Lumiara Home Planner,Architects,Interior architect office,Interior architect office,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 82941 33144,N/A,5.0,,"near Gas Agency, Raghunathpuram, Peterbar, Jharkhand 829121",Raghunathpuram,23.6158428,85.86067419999999,ChIJtyZj5wJB9DkRsqATeWVubuo,https://www.google.com/maps/place/?q=place_id:ChIJtyZj5wJB9DkRsqATeWVubuo,part_387,2026-09-20 20:19:33,2190
dhanbad home designer,Architects,Architectural designer,Architectural designer,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 77392 56595,https://www.dhanbadhomedesigner.in/,5.0,,"kolakusma koradih, near maruti suzuki service center, unit 2, Dhanbad, Jharkhand 828127",unit 2,23.855556,86.40829,ChIJkyFVVACl9jkRMQZdyp13h90,https://www.google.com/maps/place/?q=place_id:ChIJkyFVVACl9jkRMQZdyp13h90,part_387,2026-09-20 20:19:33,2191
Sattva Design Consultancy,Architects,Architect,"Architect, Civil engineering company, Building consultant, Building designer, Building restoration service, Real Estate Builders & Construction Company, Home builder, Interior designer",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 81475 23253,https://sattvadesignconsultancy.com/,4.9,,"Shop no-14, 1st Floor Zila Parishad Market Kutchery, Railway crossing Road, Jail Hata Rd, Medininagar, Jharkhand 822101",Forest Colony,24.041002499999998,84.0698748,ChIJUw6Wh3F3jDkRQSCdclM3QZc,https://www.google.com/maps/place/?q=place_id:ChIJUw6Wh3F3jDkRQSCdclM3QZc,part_387,2026-09-20 20:19:33,2192
Sattva Design Consultancy,Architects,Architect,"Architect, Architectural designer, Architecture firm, Civil engineer, Civil engineering company, Interior architect office, Interior construction contractor, Interior Decorator, Interior designer",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 81475 23253,http://sattvadesignconsultancy.com/,5.0,,"3rd floor, Sunita complex, Shivdayal Nagar, Argora, Bypass Rd, opposite V mart, Harmu Housing Colony, Harmu, Ranchi, Jharkhand 834002","Shiv Dayal Nagar, Harmu Housing Colony, Harmu",23.354201099999997,85.2998662,ChIJnTKSoBbh9DkRGB6qjxR27Xg,https://www.google.com/maps/place/?q=place_id:ChIJnTKSoBbh9DkRGB6qjxR27Xg,part_387,2026-09-20 20:19:33,2193
JAVA BHOOMI AVTAR CONSTRUCTION,Architects,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,3.9,,"yamuna Hotel, Check Post, Main Rd, Chas, Bokaro Steel City, Jharkhand 827013",Chas,23.6380369,86.1601307,ChIJp0QWr_cj9DkR1EvB8LhWJK0,https://www.google.com/maps/place/?q=place_id:ChIJp0QWr_cj9DkR1EvB8LhWJK0,part_387,2026-09-20 20:19:33,2194
SKYLINE DESIGN AND CONSTRUCTION ( Naksha Ghar),Architects,Architect,Architect,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 73196 64760,N/A,5.0,,"Mahendra Genuine Spares, Bus Stand Bijuliya, N.H-33, Bus Stand Rd, near New, cantt, Ramgarh Cantonment, Jharkhand 829122",cantt,23.620315599999998,85.5188616,ChIJ_6xFlBT19DkRCjErdFQFVeI,https://www.google.com/maps/place/?q=place_id:ChIJ_6xFlBT19DkRCjErdFQFVeI,part_387,2026-09-20 20:20:11,7558
Ratna Homes,Architects,Architecture firm,"Architecture firm, Building designer, Civil engineer, Structural engineer",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,https://www.ratnahomes.in/,5.0,,"Rajrappa Road, near Post office, Gola, Jharkhand 829110",829105,23.534757199999998,85.7223758,ChIJQWhtCwtb9DkRvGGBlg4cJCg,https://www.google.com/maps/place/?q=place_id:ChIJQWhtCwtb9DkRvGGBlg4cJCg,part_387,2026-09-20 20:20:11,7559
CHITRANSH ENGINEERING CONSULTANT PRIVATE LIMITED,Architects,Architecture firm,"Architecture firm, Architectural designer, Consultant, Building consultant, Civil engineering company, Real Estate Builders & Construction Company, Engineering consultant, Repair service, Vastu consultant",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 79797 45642,N/A,4.9,,"Jara Tola, near Government Middle School, Ramgarh Cantonment, Jharkhand 829122",829105,23.610937999999997,85.5141488,ChIJSUYqacfz9DkR6CzyV63KWmE,https://www.google.com/maps/place/?q=place_id:ChIJSUYqacfz9DkR6CzyV63KWmE,part_387,2026-09-20 20:20:11,7560
