business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Santosh Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 94305 33439,N/A,4.5,,"Amar Quator no 147, Sector 3, Bokaro Steel City, Jharkhand 827003",Sector 3,23.656602,86.1459907,ChIJiTUgc7Aj9DkR_OG1JyWWtPM,https://www.google.com/maps/place/?q=place_id:ChIJiTUgc7Aj9DkR_OG1JyWWtPM,part_387,2026-09-20 20:19:42,3291
Online Cyber Cafe,Internet Cafe,Computer store,Computer store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 94313 76864,https://www.instagram.com/vikash_kr_2004?igsh=YXNiZWF6MTd3MDJ5,5.0,,"near Mansha Mandir, Kargali Bazar, Bokaro Steel City, Phusro, Jharkhand 825102",Kargali Bazar,23.7696272,85.9848394,ChIJgSLdZKUV9DkRBT0LMJ6YqsQ,https://www.google.com/maps/place/?q=place_id:ChIJgSLdZKUV9DkRBT0LMJ6YqsQ,part_387,2026-09-20 20:19:42,3292
ITB HUB - (Online Services),Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99054 38864,N/A,5.0,,"75, Cooperative Colony, Bokaro Steel City, Jharkhand 827001",Cooperative Colony,23.6509811,86.136748,ChIJz9zT4H4j9DkR1Z5Rb26Tyyk,https://www.google.com/maps/place/?q=place_id:ChIJz9zT4H4j9DkR1Z5Rb26Tyyk,part_387,2026-09-20 20:19:42,3293
Ganga Xerox,Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 62026 71494,N/A,5.0,,"007, Phusro, Jharkhand 825102",829104,23.765352099999998,85.9992319,ChIJWR61ugkV9DkRGgasvX3pvjI,https://www.google.com/maps/place/?q=place_id:ChIJWR61ugkV9DkRGgasvX3pvjI,part_387,2026-09-20 20:19:42,3294
GANESH ONLINE SERVICES,Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 62052 74359,N/A,5.0,,"Near, Patel chowk, Shastri Nagar, Phusro, Jharkhand 829144",Shastri Nagar,23.762333299999998,85.99842799999999,ChIJsX8_JvkV9DkRfs-RKFCc4lI,https://www.google.com/maps/place/?q=place_id:ChIJsX8_JvkV9DkRfs-RKFCc4lI,part_387,2026-09-20 20:19:42,3295
ATS GROUP - प्रज्ञा केंद्र।,Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 90603 89875,http://g.page/atsgroupphusro,5.0,,"प्रज्ञा केंद्र, ATS GROUP, near PATEL CHOWK, PATEL CHOWK, Phusro, Jharkhand 829144",PATEL CHOWK,23.7619893,85.99842939999999,ChIJna0ohw4V9DkR9tX0v9GVBfc,https://www.google.com/maps/place/?q=place_id:ChIJna0ohw4V9DkR9tX0v9GVBfc,part_387,2026-09-20 20:19:42,3296
PRAKASH DIGITAL HUB,Internet Cafe,Internet cafe,"Internet cafe, Travel agency, Unemployment office",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 79798 91735,http://www.prakashdigitalhub.com/,4.9,,"Sector-11/D, Sector 11/D, Sector 11, Bokaro Steel City, Jharkhand 827009","Sector-11/D, Sector 11/D, Sector 11",23.6965348,86.1743956,ChIJjar2P04j9DkRwiYichQSBWw,https://www.google.com/maps/place/?q=place_id:ChIJjar2P04j9DkRwiYichQSBWw,part_387,2026-09-20 20:19:42,3297
Cyber Cafe,Internet Cafe,Computer support and services,Computer support and services,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 70615 81649,N/A,5.0,,"Bishnugarh, Main Rd, Chas, Bokaro Steel City, Jharkhand 827013",Chas,23.635109699999997,86.1746328,ChIJ_UFvk2kj9DkREp2JQ_-hI9w,https://www.google.com/maps/place/?q=place_id:ChIJ_UFvk2kj9DkREp2JQ_-hI9w,part_387,2026-09-20 20:19:42,3298
Aman Digital,Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99057 44045,N/A,4.0,,"Angwali, Jharkhand 829144",829104,23.7291745,85.98719129999999,ChIJM4U6pwoV9DkRJfRTwBC6zK4,https://www.google.com/maps/place/?q=place_id:ChIJM4U6pwoV9DkRJfRTwBC6zK4,part_387,2026-09-20 20:19:42,3299
Pk Cyber Zone,Internet Cafe,Internet cafe,Internet cafe,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 72770 71551,N/A,4.3,,"M29J+JQR, Jena, Tanrmohanpur, Jharkhand 829301",Jena,23.6691045,86.03187849999999,ChIJQVOQcco99DkRWrA8pGqkqg4,https://www.google.com/maps/place/?q=place_id:ChIJQVOQcco99DkRWrA8pGqkqg4,part_387,2026-09-20 20:19:42,3300
