business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SSDC DANCE STUDIO,Music and Dance Academy,Dance school,Dance school,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 91172 89335,https://youtube.com/channel/UCxMY7gMPPh8mvJIOfSVOIfg,4.8,17.0,"Tracker stand dhurva more, near Hanuman Mandir, Gumia, Jharkhand 829111",829104,23.802645899999998,85.8247008,ChIJqdgU6hpv9DkR-u-46jJbNp0,https://www.google.com/maps/place/?q=place_id:ChIJqdgU6hpv9DkR-u-46jJbNp0,part_387,2026-09-20 20:19:41,3245
Bokaro Sangeet Kala Academy,Music and Dance Academy,Music school,Music school,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,3.9,28.0,"Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6737447,86.15068939999999,ChIJX8i4H0oi9DkRJOPpV4Vd_Yo,https://www.google.com/maps/place/?q=place_id:ChIJX8i4H0oi9DkRJOPpV4Vd_Yo,part_387,2026-09-20 20:19:41,3246
Maverix Dance Studio,Music and Dance Academy,Hip Hop Dance Class,Hip Hop Dance Class,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 94705 05853,N/A,5.0,4.0,"Plot no. 126, Police Line, Bokaro Steel City, Jharkhand 827001",Police Line,23.6506592,86.13376029999999,ChIJy-k3U-kj9DkRMorbdUF-fAE,https://www.google.com/maps/place/?q=place_id:ChIJy-k3U-kj9DkRMorbdUF-fAE,part_387,2026-09-20 20:19:41,3247
SR DANCE STUDIO,Music and Dance Academy,Dance school,Dance school,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99558 61355,N/A,4.9,16.0,"opposite sanvika hospital, Chekpost, Kunwar Singh Colony, Chas, Bokaro Steel City, Jharkhand 827013","Chekpost, Kunwar Singh Colony",23.637092799999998,86.16053149999999,ChIJbU7hR8Qj9DkRTdFyqZEUnh4,https://www.google.com/maps/place/?q=place_id:ChIJbU7hR8Qj9DkRTdFyqZEUnh4,part_387,2026-09-20 20:19:41,3248
Hip-Hop dance academy,Music and Dance Academy,Dance school,Dance school,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,4.8,17.0,"Dhori staff quater, Phusro, Jharkhand 829144",829104,23.7608812,86.0017823,ChIJGR-nBj0V9DkRnFoN4sJSlSE,https://www.google.com/maps/place/?q=place_id:ChIJGR-nBj0V9DkRnFoN4sJSlSE,part_387,2026-09-20 20:19:41,3249
RR DANCE ACADEMY,Music and Dance Academy,Dance club,Dance club,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 83406 89979,N/A,,,"3rd floor, Plot no - KA/3A, near Jai Jawan Petrol Pump, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6650013,86.15169089999999,ChIJcx-mIsMj9DkRdY1BArDx7B4,https://www.google.com/maps/place/?q=place_id:ChIJcx-mIsMj9DkRdY1BArDx7B4,part_387,2026-09-20 20:19:41,3250
INDIAN MUSIC SCHOOL,Music and Dance Academy,Music school,Music school,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 70705 82197,https://www.youtube.com/@INDIANMUSICSCHOOL25,4.6,13.0,"plot-111, Street 2, Bari Co-operative Colony, Siwandih, Bokaro Steel City, Tentulia, Jharkhand 827010","Bari Co-operative Colony, Siwandih",23.6380105,86.1211885,ChIJE3389Coj9DkR6zE6fTNfrB8,https://www.google.com/maps/place/?q=place_id:ChIJE3389Coj9DkR6zE6fTNfrB8,part_387,2026-09-20 20:19:41,3251
Sarit School of Music,Music and Dance Academy,Music school,Music school,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 93343 74776,https://www.instagram.com/saritschoolofmusic.bokaro?igsh=eDJ4ajZ4NTh0NnB2,5.0,125.0,"Centre Market, Sec 5, near chinmaya vidalaya, Sector 5, Bokaro Steel City, Jharkhand 827001",Sector 5,23.666905099999997,86.16943719999999,ChIJ68IW7TYj9DkRqBR1K3Z6i7s,https://www.google.com/maps/place/?q=place_id:ChIJ68IW7TYj9DkRqBR1K3Z6i7s,part_387,2026-09-20 20:19:41,3252
ELSA Dance Music Painting Guitar Martial Arts Classes,Music and Dance Academy,Dance school,"Dance school, Art center, Art school, Art studio",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 93046 91655,https://www.facebook.com/Edifying-Life-Skills-Academy-ELSA-108045510699260/?modal=admin_todo_tour,4.6,17.0,"Edifying Life Skills Academy 2nd Floor, Sector 12/A, Centre Market Dev Mandap Building, Bokaro Steel City, Jharkhand 827012",Sector 12,23.6397546,86.14360459999999,ChIJlXU-hj0j9DkR7LHvarkpCIs,https://www.google.com/maps/place/?q=place_id:ChIJlXU-hj0j9DkR7LHvarkpCIs,part_387,2026-09-20 20:19:41,3253
Orama Dance Institute,Music and Dance Academy,Hip Hop Dance Class,Hip Hop Dance Class,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 70041 26257,N/A,4.6,32.0,"1st floor, City Centre, near The Bokaro Mall Road, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.667154099999998,86.1465099,ChIJURQy51wj9DkRUvIgt5iS020,https://www.google.com/maps/place/?q=place_id:ChIJURQy51wj9DkRUvIgt5iS020,part_387,2026-09-20 20:19:41,3254
