business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Arbi Foods,Organic Food Store,Manufacturer,Manufacturer,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,5.0,8.0,"A-1/3, Biada Street, Balidih, Bokaro Steel City, Jharkhand 827014",Balidih,23.679451999999998,86.06665199999999,ChIJFanBZAA99DkRwuVlEO2avUU,https://www.google.com/maps/place/?q=place_id:ChIJFanBZAA99DkRwuVlEO2avUU,part_387,2026-09-20 20:19:16,277
Patanjali Store,Organic Food Store,Health food store,"Health food store, Indian grocery store, Herbal medicine store",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99737 64958,https://patanjalistores.patanjaliayurved.org/?search=825102,4.3,34.0,"QX8Q+R49, Phusro, Jharkhand 825102",829104,23.7670483,85.98788449999999,ChIJyb9fNAsV9DkRYUc04n8sqro,https://www.google.com/maps/place/?q=place_id:ChIJyb9fNAsV9DkRYUc04n8sqro,part_387,2026-09-20 20:19:16,278
Mr and Mrs Mushroom,Organic Food Store,Farm,Farm,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 87091 79336,N/A,5.0,66.0,"Adarsh Colony Rd, Yadubansh Nagar, Adrash Colony, Chas, Bokaro Steel City, Jharkhand 827013","Yadubansh Nagar, Adrash Colony",23.628998799999998,86.1606371,ChIJ-Vve1Xoj9DkRPNqhj7LLe6M,https://www.google.com/maps/place/?q=place_id:ChIJ-Vve1Xoj9DkRPNqhj7LLe6M,part_387,2026-09-20 20:19:16,279
Daily Mart,Organic Food Store,Grocery store,Grocery store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99398 12789,N/A,3.8,109.0,"Sector-5, Plot No.1-D/09, Centre Market, Bokaro Steel City, Jharkhand 827006",Sector 5,23.6677441,86.1684817,ChIJ-y0YOtMj9DkRcFQUwmCuNe0,https://www.google.com/maps/place/?q=place_id:ChIJ-y0YOtMj9DkRcFQUwmCuNe0,part_387,2026-09-20 20:19:16,280
Ganesh Marketplace,Organic Food Store,Supermarket,Supermarket,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99395 18318,N/A,3.9,16.0,"Phusro, Jharkhand 829144",829104,23.7660798,86.0052178,ChIJg5pJmi4U9DkR8c_JAVyC_Vw,https://www.google.com/maps/place/?q=place_id:ChIJg5pJmi4U9DkR8c_JAVyC_Vw,part_387,2026-09-20 20:19:16,281
Poonam Shringar Store,Organic Food Store,Cosmetics store,Cosmetics store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 88629 78986,N/A,5.0,50.0,"R.s Complex, Phusro, Jharkhand 829144",829104,23.7647054,85.9972765,ChIJ5-tw-IcV9DkRsxo8NUzXPIU,https://www.google.com/maps/place/?q=place_id:ChIJ5-tw-IcV9DkRsxo8NUzXPIU,part_387,2026-09-20 20:19:16,282
Swastik Shringar Store,Organic Food Store,Cosmetics store,Cosmetics store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 72506 73725,N/A,4.8,19.0,"Station Road, near Sabji Mandi, Phusro, Jharkhand 829144",829104,23.7663208,86.0027978,ChIJbURTkq0V9DkR6D8z9oiVMT8,https://www.google.com/maps/place/?q=place_id:ChIJbURTkq0V9DkR6D8z9oiVMT8,part_387,2026-09-20 20:19:16,283
Raju vegetables and hot salad,Organic Food Store,Produce market,Produce market,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99311 07811,N/A,4.0,1.0,"laxmi market, sector 4A, opposite Hanuman mandir, Bokaro Steel City, Jharkhand 827004",Sector 4,23.672286099999997,86.1479409,ChIJe1hq6GUj9DkRC1HsuglwM24,https://www.google.com/maps/place/?q=place_id:ChIJe1hq6GUj9DkRC1HsuglwM24,part_387,2026-09-20 20:19:17,284
Chandan Mushrooms,Organic Food Store,Produce market,Produce market,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,5.0,3.0,"Plot number 181, Co-operative Colony Rd, Police Line, Bokaro Steel City, Jharkhand 827001",Police Line,23.648011,86.1342837,ChIJFeSFdgoj9DkRWIClSb41mfQ,https://www.google.com/maps/place/?q=place_id:ChIJFeSFdgoj9DkRWIClSb41mfQ,part_387,2026-09-20 20:19:17,285
SPS BAZAR,Organic Food Store,Supermarket,"Supermarket, Department store",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 92043 30034,N/A,5.0,3.0,"plot no - 313, near Durga temple, beside of JR MADICAL, Bari Co-operative Colony, Siwandih, Bokaro Steel City, Tentulia, Jharkhand 827010","Bari Co-operative Colony, Siwandih",23.636998199999997,86.1195769,ChIJWwUzUUkj9DkRm1deiqlQ-8I,https://www.google.com/maps/place/?q=place_id:ChIJWwUzUUkj9DkRm1deiqlQ-8I,part_387,2026-09-20 20:19:17,286
Unique Organic Food Grain Store,Organic Food Store,Supermarket,Supermarket,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,5.0,5.0,"ward 10, Sainik awaas, Bhatia Basti, Adityapur, Jamshedpur, Jharkhand 832109","Bhatia Basti, Adityapur",22.797655,86.14254,ChIJUWHZonLl9TkR7CD69Sv1Se0,https://www.google.com/maps/place/?q=place_id:ChIJUWHZonLl9TkR7CD69Sv1Se0,part_387,2026-09-20 20:19:17,287
Prajapati Beej Bhandar,Organic Food Store,Agricultural Seed Store,Agricultural Seed Store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 87892 30934,N/A,4.7,6.0,"Ramgarh City Rd, Ranchi Road, Marar, Ramgarh Cantonment, Jharkhand 829117",Ranchi Road,23.6613626,85.51392799999999,ChIJG3yBjGTz9DkR2sgge8WsC8E,https://www.google.com/maps/place/?q=place_id:ChIJG3yBjGTz9DkR2sgge8WsC8E,part_387,2026-09-20 20:19:53,4347
Sana Herbal India,Organic Food Store,Herbal medicine store,Herbal medicine store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,5.0,4.0,"J9V7+W97, Bhurkunda, Jharkhand 829105",829105,23.6447765,85.36343389999999,ChIJvQ8JEn3s9DkRybqJzcuOPLI,https://www.google.com/maps/place/?q=place_id:ChIJvQ8JEn3s9DkRybqJzcuOPLI,part_387,2026-09-20 20:19:53,4348
Patanjali Arogya Kendra,Organic Food Store,Department store,Department store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 98353 92818,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-grocery-stores-ramgarh-cantt-ramgarh-268536/Home?utm_source=locator&utm_medium=googleplaces,4.9,13.0,"Ground Floor, Gola Rd, near UCO Bank, Ramgarh Cantonment, Jharkhand 829122",829105,23.6276823,85.52396139999999,ChIJDVpBSwv09DkR3LDbxVpaW_c,https://www.google.com/maps/place/?q=place_id:ChIJDVpBSwv09DkR3LDbxVpaW_c,part_387,2026-09-20 20:19:53,4349
BOMBAY LADIES CORNER,Organic Food Store,Cosmetics store,Cosmetics store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,5.0,1.0,"Main Rd, opposite bans garah mines, near laxmi tent house, Bhurkunda, Ramgarh, Jharkhand 829106",829105,23.6535773,85.35703629999999,ChIJ36kedynt9DkRqKomRDaJxOw,https://www.google.com/maps/place/?q=place_id:ChIJ36kedynt9DkRqKomRDaJxOw,part_387,2026-09-20 20:19:53,4350
Bazar Samiti Ramgarh,Organic Food Store,Wholesale market,Wholesale market,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 74881 81382,http://www.superrani.com/,4.4,18.0,"Bazaar samiti, Ramgarh Cantonment, Jharkhand 829122",829105,23.6245956,85.5346045,ChIJT83236H19DkR-nDWa4LzPTQ,https://www.google.com/maps/place/?q=place_id:ChIJT83236H19DkR-nDWa4LzPTQ,part_387,2026-09-20 20:19:53,4351
Rameshwar General Store,Organic Food Store,Indian grocery store,Indian grocery store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 94315 34717,N/A,5.0,1.0,"Katiya More, near New Market, New Market, Patratu, Jharkhand 829119",New Market,23.635622299999998,85.27551509999999,ChIJkRaXVRfr9DkRjrKVtsjQtrE,https://www.google.com/maps/place/?q=place_id:ChIJkRaXVRfr9DkRjrKVtsjQtrE,part_387,2026-09-20 20:19:53,4352
Charan hotel,Organic Food Store,Tea store,"Tea store, Breakfast restaurant, Restaurant, Tea house",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 87091 24718,N/A,4.6,34.0,"Giddi Basti, patrakar chowk, Religara, Gidi, Jharkhand 829108","Giddi Basti, patrakar chowk",23.6786246,85.3754052,ChIJ26FHQrjs9DkReQGF4MmgjcE,https://www.google.com/maps/place/?q=place_id:ChIJ26FHQrjs9DkReQGF4MmgjcE,part_387,2026-09-20 20:19:53,4353
Maa Bhadrakali Sringar Store,Organic Food Store,Cosmetics store,Cosmetics store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 99315 25535,N/A,4.1,16.0,"Bhurkunda, Jharkhand 829106",829105,23.6481215,85.3634751,ChIJV7HWl4fs9DkRRKL0I7zMcdU,https://www.google.com/maps/place/?q=place_id:ChIJV7HWl4fs9DkRRKL0I7zMcdU,part_387,2026-09-20 20:19:53,4354
Bablu Machhli Shop,Organic Food Store,Grocery store,"Grocery store, Supermarket",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 76448 71319,N/A,4.8,34.0,"Topa BOI ATM, Orla, Jharkhand 825330",829105,23.7317546,85.47967799999999,ChIJX2JszLiN9DkRHm08eZzJ6-E,https://www.google.com/maps/place/?q=place_id:ChIJX2JszLiN9DkRHm08eZzJ6-E,part_387,2026-09-20 20:19:53,4355
Chitarpur Bazaar,Organic Food Store,Farmers' market,Farmers' market,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 70153 27638,N/A,4.0,363.0,"HMG2+5FR, NH 23, Jharkhand 825101",829105,23.5754828,85.6511469,ChIJs0-mshtZ9DkRpY586G66Wrc,https://www.google.com/maps/place/?q=place_id:ChIJs0-mshtZ9DkRpY586G66Wrc,part_387,2026-09-20 20:19:53,4356
Vishal Mega Mart,Organic Food Store,Hypermarket,"Hypermarket, Baby clothing store, Clothing store, Grocery store, T-shirt store, Tuxedo shop",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 72178 88252,https://stores.vishalmegamart.com/shopping-mart-ramgarh-cantonment-ramgarh-30300/home?utm_source=GMB,3.9,2816.0,"Satkaudi Complex, Thana Chowk, Ramgarh Cantonment, Jharkhand 829122",829105,23.635647799999997,85.5135213,ChIJn3xl547z9DkRIkwaEtx_9x8,https://www.google.com/maps/place/?q=place_id:ChIJn3xl547z9DkRIkwaEtx_9x8,part_387,2026-09-20 20:19:53,4357
