business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"SMART SERVICES ,",RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Air filter supplier, Filtration plant, Mineral water company, Water softening equipment supplier",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 92040 40001,http://www.smartservicesro.in/,4.9,39.0,"Be side Egg shop, J.K.Market, NH-33, Main road, opp. Football ground, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.6234537,85.516785,ChIJTWnEpG7z9DkRWUdec5L9Te8,https://www.google.com/maps/place/?q=place_id:ChIJTWnEpG7z9DkRWUdec5L9Te8,part_387,2026-09-20 20:19:33,2238
Drop Purity,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 62996 36929,https://droppurity.in/,2.7,7.0,"Shivpuri Colony, Chas, Bokaro Steel City, Jharkhand 827013",Shivpuri Colony,23.6274513,86.1806561,ChIJ2w2yc7Ah9DkRqFeIyOd5Buk,https://www.google.com/maps/place/?q=place_id:ChIJ2w2yc7Ah9DkRqFeIyOd5Buk,part_387,2026-09-20 20:19:33,2239
KUMAR RO FILTER SALE & SERVICE,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 97092 35801,N/A,5.0,1.0,"J589+WXP, Narayanpur, Jharkhand 827013",829104,23.6174233,86.1697318,ChIJrxjGQAAl9DkRoXMB3fZ1x_0,https://www.google.com/maps/place/?q=place_id:ChIJrxjGQAAl9DkRoXMB3fZ1x_0,part_387,2026-09-20 20:19:33,2240
Cool Refrigeration Ac Repair Inverter water filter,RO Water Purifier Sales and Service,Home health care service,Home health care service,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,,,"J4XV+W55, St 8, Sector 2, Bokaro Steel City, Jharkhand 827001",Sector 2,23.649454199999997,86.14372589999999,ChIJL5m1dQAj9DkRY2tmBNb5kTs,https://www.google.com/maps/place/?q=place_id:ChIJL5m1dQAj9DkRY2tmBNb5kTs,part_387,2026-09-20 20:19:33,2241
Bokaro RO Water Filter Service Center,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 87091 01058,N/A,5.0,9.0,"near maa bhawani medicals, Bhojpur Colony, Chas, Bokaro Steel City, Jharkhand 827013",Bhojpur Colony,23.6427893,86.16504069999999,ChIJIQInZZ8j9DkROHOTKyoohKE,https://www.google.com/maps/place/?q=place_id:ChIJIQInZZ8j9DkROHOTKyoohKE,part_387,2026-09-20 20:19:33,2242
"Jyoti Enterprises, Athorized Kent Ro Service And Sales",RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 94701 49093,N/A,4.7,30.0,"1, Adarsh Colony Rd, Telidih, Adrash Colony, Chas, Bokaro Steel City, Jharkhand 827013","Telidih, Adrash Colony",23.629320999999997,86.162291,ChIJdTitqmMj9DkRhBvPebwj7LQ,https://www.google.com/maps/place/?q=place_id:ChIJdTitqmMj9DkRhBvPebwj7LQ,part_387,2026-09-20 20:19:33,2243
Aqua Ro Water purifier sales and service,RO Water Purifier Sales and Service,Home health care service,Home health care service,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,,,"Omkar Sadan, Main Rd, Chira Chas, Bokaro Steel City, Jharkhand 827015",Chira Chas,23.657037199999998,86.17534549999999,ChIJx32gW-Mh9DkR6_hMi6O0jnw,https://www.google.com/maps/place/?q=place_id:ChIJx32gW-Mh9DkR6_hMi6O0jnw,part_387,2026-09-20 20:19:33,2244
AMAN R.O sale & service,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 98521 51947,N/A,4.6,5.0,"near rudra priya apartment & saheli mill, Chira Chas, Bokaro Steel City, Jharkhand 827015",Chira Chas,23.6523452,86.1732827,ChIJAz_pyIUj9DkRY0RuAF6AfPc,https://www.google.com/maps/place/?q=place_id:ChIJAz_pyIUj9DkRY0RuAF6AfPc,part_387,2026-09-20 20:19:33,2245
HOPE RO WATER PURIFIER,RO Water Purifier Sales and Service,Water treatment plant,Water treatment plant,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99118 98884,http://www.hopero.in/,5.0,22.0,"Shop no. 16, Adarsh shopping centre, behind sector 12, Bokaro Steel City, Jharkhand 827013",829104,23.623349599999997,86.1401558,ChIJW7ZWAHIj9DkRPV5jeI_PUgc,https://www.google.com/maps/place/?q=place_id:ChIJW7ZWAHIj9DkRPV5jeI_PUgc,part_387,2026-09-20 20:19:33,2246
Livpure Services Center,RO Water Purifier Sales and Service,Water damage restoration service,Water damage restoration service,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99054 53534,N/A,3.3,22.0,"Telidih, Main Rd, More, Chas, Bokaro Steel City, Jharkhand 827013","More, Chas",23.632367,86.1676215,ChIJpSbvpaYj9DkRf-gzH7zELu4,https://www.google.com/maps/place/?q=place_id:ChIJpSbvpaYj9DkRf-gzH7zELu4,part_387,2026-09-20 20:19:33,2247
